;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
36702210;0,746;1,129;4,121;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 11:42,740;9,50404;14,37217;20,48137;9,9314
36722211;0,785;1,284;4,157;0,785;49,5;32,1;49,4;50,2;63,5;1274;1273;497;1270; 12:5,398;10,0009;16,34532;20,66029;9,9695
36742212;0,775;1,204;4,154;0,785;49,5;32,1;49,4;50,2;63,5;1273;1273;497;1270; 12:26,617;9,86575;15,32692;20,64538;9,9695
36762213;0,755;1,158;4,154;0,782;49,6;32,2;49,4;50,2;63,5;1274;1273;497;1270; 12:48,723;9,6187;14,74134;20,64538;9,9314
36782214;0,768;1,191;4,125;0,782;49,6;32,2;49,3;50,2;63,5;1274;1273;497;1270; 13:10,776;9,78432;15,16143;20,50125;9,9314
36802215;1,39;3,006;4,303;0,775;49,5;32,2;49,4;50,2;63,5;1270;1268;497;1268; 13:32,336;17,653;38,11608;21,38591;9,827
36822216;0,788;1,297;4,141;0,772;49,5;32,2;49,3;50,2;63,4;1274;1273;497;1270; 13:53,703;10,03912;16,51081;20,58077;9,8044
36842217;0,785;1,287;4,121;0,775;49,5;32,2;49,4;50,2;63,5;1274;1273;497;1270; 14:15,39;10,0009;16,38351;20,48137;9,8425
36862218;0,788;1,363;4,128;0,811;49,5;32,2;49,4;50,2;63,5;1273;1272;497;1269; 14:36,455;10,03124;17,33736;20,51616;10,29159
36882219;0,611;0,911;4,128;0,782;49,5;32,2;49,4;50,2;63,5;1274;1274;497;1270; 14:58,225;7,78414;11,60614;20,51616;9,9314
36902220;0,589;0,884;4,121;0,778;49,5;32,2;49,4;50,2;63,5;1274;1274;497;1270; 15:20,167;7,50386;11,26216;20,48137;9,8806
36922221;0,589;0,884;4,121;0,778;49,5;32,2;49,4;50,2;63,5;1275;1274;497;1270; 15:43,460;7,50975;11,26216;20,48137;9,8806
36942222;0,589;0,881;4,134;0,778;49,6;32,1;49,4;50,2;63,5;1275;1273;497;1270; 16:5,258;7,50975;11,21513;20,54598;9,8806
36962223;0,585;0,875;4,128;0,775;49,6;32,1;49,4;50,2;63,5;1274;1274;497;1270; 16:26,833;7,4529;11,1475;20,51616;9,8425
36982224;0,589;0,881;4,144;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 16:48,773;7,50386;11,21513;20,59568;9,9314
37002225;0,589;0,884;4,16;0,782;49,5;32,1;49,4;50,2;63,5;1274;1273;497;1270; 17:11,262;7,50386;11,25332;20,6752;9,9314
37022226;0,585;0,875;4,16;0,782;49,6;32,1;49,3;50,2;63,5;1274;1273;497;1270; 17:33,88;7,4529;11,13875;20,6752;9,9314
37042227;0,585;0,875;4,144;0,782;49,6;32,2;49,3;50,2;63,5;1274;1273;497;1270; 17:55,466;7,4529;11,13875;20,59568;9,9314
37062228;0,585;0,875;4,125;0,782;49,6;32,2;49,3;50,1;63,5;1274;1274;497;1270; 18:17,173;7,4529;11,1475;20,50125;9,9314
37082229;0,585;0,878;4,157;0,782;49,6;32,2;49,3;50,1;63,5;1275;1274;497;1270; 18:39,322;7,45875;11,18572;20,66029;9,9314
37102230;0,589;0,881;4,144;0,782;49,6;32,2;49,3;50,2;63,5;1274;1273;497;1270; 19:1,339;7,50386;11,21513;20,59568;9,9314
37122231;0,585;0,878;4,128;0,782;49,5;32,1;49,3;50,2;63,5;1274;1274;497;1270; 19:22,749;7,4529;11,18572;20,51616;9,9314
37142232;0,585;0,878;4,128;0,782;49,5;32,1;49,3;50,2;63,5;1275;1274;497;1270; 19:44,668;7,45875;11,18572;20,51616;9,9314
37162233;0,585;0,875;4,154;0,782;49,5;32,1;49,3;50,2;63,5;1274;1274;497;1270; 20:8,517;7,4529;11,1475;20,64538;9,9314
37182234;0,585;0,875;4,154;0,782;49,5;32,1;49,3;50,2;63,5;1274;1274;497;1271; 20:30,465;7,4529;11,1475;20,64538;9,93922
37202235;0,585;0,875;4,108;0,785;49,5;32,1;49,3;50,2;63,5;1274;1274;497;1270; 20:51,740;7,4529;11,1475;20,41676;9,9695
37222236;0,589;0,881;4,102;0,785;49,5;32,1;49,3;50,2;63,5;1274;1274;497;1270; 21:13,160;7,50386;11,22394;20,38694;9,9695
37242237;0,585;0,878;4,095;0,778;49,5;32,1;49,3;50,1;63,5;1275;1274;497;1270; 21:34,752;7,45875;11,18572;20,35215;9,8806
37262238;0,585;0,878;4,121;0,775;49,5;32,1;49,3;50,1;63,5;1274;1274;497;1271; 21:56,284;7,4529;11,18572;20,48137;9,85025
37282239;0,595;0,888;4,105;0,775;49,5;32,2;49,3;50,1;63,5;1274;1274;497;1270; 22:17,920;7,5803;11,31312;20,40185;9,8425
37302240;0,585;0,875;4,121;0,775;49,5;32,1;49,3;50,1;63,5;1274;1274;497;1270; 22:39,472;7,4529;11,1475;20,48137;9,8425
37322241;0,585;0,878;4,112;0,775;49,5;32,2;49,3;50,1;63,5;1275;1273;497;1271; 23:0,829;7,45875;11,17694;20,43664;9,85025
37342242;0,589;0,881;4,095;0,775;49,5;32,2;49,3;50,1;63,5;1274;1274;497;1270; 23:22,70;7,50386;11,22394;20,35215;9,8425
37362243;0,589;0,881;4,128;0,778;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1270; 23:45,6;7,50386;11,21513;20,51616;9,8806
37382244;0,585;0,881;4,141;0,778;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1270; 24:6,547;7,4529;11,21513;20,58077;9,8806
37402245;0,585;0,878;4,144;0,775;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1271; 24:28,765;7,4529;11,17694;20,59568;9,85025
37422246;0,585;0,875;4,144;0,778;49,5;32,2;49,3;50,1;63,6;1274;1274;497;1270; 24:50,609;7,4529;11,1475;20,59568;9,8806
37442247;0,589;0,884;4,15;0,778;49,5;32,2;49,3;50,1;63,5;1274;1273;497;1270; 25:11,942;7,50386;11,25332;20,6255;9,8806
37462248;0,589;0,881;4,141;0,775;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 25:33,512;7,50975;11,22394;20,58077;9,85025
37482249;0,589;0,881;4,134;0,775;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1270; 25:55,148;7,50386;11,21513;20,54598;9,8425
37502250;0,585;0,875;4,108;0,775;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1270; 26:16,550;7,45875;11,1475;20,41676;9,8425
37522251;0,589;0,881;4,134;0,775;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 26:38,745;7,50975;11,22394;20,54598;9,85025
37542252;0,585;0,878;4,141;0,778;49,5;32,2;49,3;50,1;63,6;1275;1273;497;1270; 27:0,57;7,45875;11,17694;20,58077;9,8806
37562253;0,595;0,888;4,128;0,778;49,5;32,2;49,3;50,1;63,5;1274;1274;497;1270; 27:21,811;7,5803;11,31312;20,51616;9,8806
37582254;0,585;0,875;4,128;0,782;49,5;32,2;49,3;50,1;63,6;1275;1273;497;1270; 27:44,507;7,45875;11,13875;20,51616;9,9314
37602255;0,585;0,875;4,134;0,782;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1270; 28:5,821;7,45875;11,1475;20,54598;9,9314
37622256;0,589;0,878;4,134;0,782;49,5;32,2;49,3;50,1;63,6;1274;1274;497;1271; 28:27,98;7,50386;11,18572;20,54598;9,93922
37642257;0,589;0,881;4,137;0,775;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 28:49,31;7,50975;11,22394;20,56089;9,85025
37662258;0,585;0,875;4,154;0,782;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 29:10,538;7,45875;11,1475;20,64538;9,93922
37682259;0,585;0,875;4,144;0,778;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 29:33,756;7,45875;11,1475;20,59568;9,88838
37702260;0,589;0,881;4,154;0,782;49,5;32,2;49,3;50,1;63,6;1274;1274;497;1270; 29:56,697;7,50386;11,22394;20,64538;9,9314
37722261;0,585;0,875;4,16;0,782;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1271; 30:18,256;7,45875;11,1475;20,6752;9,93922
37742262;0,589;0,881;4,16;0,782;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1270; 30:41,549;7,50386;11,21513;20,6752;9,9314
37762263;0,589;0,881;4,121;0,782;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1271; 31:3,96;7,50386;11,21513;20,48137;9,93922
37782264;0,585;0,875;4,128;0,778;49,5;32,2;49,3;50,1;63,6;1274;1273;497;1270; 31:25,929;7,4529;11,13875;20,51616;9,8806
37802265;0,585;0,878;4,131;0,782;49,5;32,2;49,3;50,1;63,6;1275;1274;497;1270; 31:47,373;7,45875;11,18572;20,53107;9,9314
36702210;0,746;1,129;4,121;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 11:42,740;9,50404;14,37217;20,48137;9,9314
36722211;0,785;1,284;4,157;0,785;49,5;32,1;49,4;50,2;63,5;1274;1273;497;1270; 12:5,398;10,0009;16,34532;20,66029;9,9695
36742212;0,775;1,204;4,154;0,785;49,5;32,1;49,4;50,2;63,5;1273;1273;497;1270; 12:26,617;9,86575;15,32692;20,64538;9,9695
36762213;0,755;1,158;4,154;0,782;49,6;32,2;49,4;50,2;63,5;1274;1273;497;1270; 12:48,723;9,6187;14,74134;20,64538;9,9314
36782214;0,768;1,191;4,125;0,782;49,6;32,2;49,3;50,2;63,5;1274;1273;497;1270; 13:10,776;9,78432;15,16143;20,50125;9,9314
36802215;1,39;3,006;4,303;0,775;49,5;32,2;49,4;50,2;63,5;1270;1268;497;1268; 13:32,336;17,653;38,11608;21,38591;9,827
36822216;0,788;1,297;4,141;0,772;49,5;32,2;49,3;50,2;63,4;1274;1273;497;1270; 13:53,703;10,03912;16,51081;20,58077;9,8044
36842217;0,785;1,287;4,121;0,775;49,5;32,2;49,4;50,2;63,5;1274;1273;497;1270; 14:15,39;10,0009;16,38351;20,48137;9,8425
36862218;0,788;1,363;4,128;0,811;49,5;32,2;49,4;50,2;63,5;1273;1272;497;1269; 14:36,455;10,03124;17,33736;20,51616;10,29159
36882219;0,611;0,911;4,128;0,782;49,5;32,2;49,4;50,2;63,5;1274;1274;497;1270; 14:58,225;7,78414;11,60614;20,51616;9,9314
36902220;0,589;0,884;4,121;0,778;49,5;32,2;49,4;50,2;63,5;1274;1274;497;1270; 15:20,167;7,50386;11,26216;20,48137;9,8806
36922221;0,589;0,884;4,121;0,778;49,5;32,2;49,4;50,2;63,5;1275;1274;497;1270; 15:43,460;7,50975;11,26216;20,48137;9,8806
36942222;0,589;0,881;4,134;0,778;49,6;32,1;49,4;50,2;63,5;1275;1273;497;1270; 16:5,258;7,50975;11,21513;20,54598;9,8806
36962223;0,585;0,875;4,128;0,775;49,6;32,1;49,4;50,2;63,5;1274;1274;497;1270; 16:26,833;7,4529;11,1475;20,51616;9,8425
36982224;0,589;0,881;4,144;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 16:48,773;7,50386;11,21513;20,59568;9,9314
37002225;0,589;0,884;4,16;0,782;49,5;32,1;49,4;50,2;63,5;1274;1273;497;1270; 17:11,262;7,50386;11,25332;20,6752;9,9314
