;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
29369278;0,788;1,35;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1274;1272;497;1270; 9:29,461;10,03912;17,172;20,45155;9,8425
29389279;0,788;1,34;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 9:52,132;10,03124;17,0448;20,45155;9,8425
29409280;0,788;1,35;4,121;0,772;49,6;32,1;49,5;50,2;63,5;1273;1272;497;1270; 10:14,258;10,03124;17,172;20,48137;9,8044
29429281;0,788;1,353;4,112;0,775;49,6;32,1;49,4;50,2;63,4;1273;1272;497;1270; 10:35,943;10,03124;17,21016;20,43664;9,8425
29449282;0,788;1,337;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 10:57,627;10,03124;17,00664;20,45155;9,8425
29469283;0,788;1,356;4,112;0,772;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 11:19,618;10,03124;17,24832;20,43664;9,8044
29489284;0,788;1,353;4,112;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 11:41,331;10,03124;17,21016;20,43664;9,8425
29509285;0,788;1,35;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 12:3,259;10,03124;17,172;20,45155;9,8425
29529286;0,788;1,356;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 12:25,227;10,03124;17,24832;20,45155;9,8425
29549287;0,788;1,346;4,108;0,772;49,6;32,1;49,5;50,2;63,4;1274;1273;497;1270; 12:46,956;10,03912;17,13458;20,41676;9,8044
29569288;0,788;1,35;4,115;0,775;49,7;32,1;49,5;50,2;63,5;1273;1273;497;1270; 13:8,522;10,03124;17,1855;20,45155;9,8425
29589289;0,788;1,353;4,115;0,775;49,6;32,1;49,5;50,2;63,5;1274;1272;497;1270; 13:30,248;10,03912;17,21016;20,45155;9,8425
29609290;0,788;1,356;4,112;0,775;49,6;32,1;49,5;50,2;63,5;1273;1272;497;1270; 13:51,995;10,03124;17,24832;20,43664;9,8425
29629291;0,788;1,356;4,112;0,772;49,6;32,1;49,5;50,2;63,5;1273;1272;497;1270; 14:13,947;10,03124;17,24832;20,43664;9,8044
29649292;0,788;1,346;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 14:35,781;10,03124;17,12112;20,45155;9,8425
29669293;0,788;1,33;4,121;0,775;49,6;32,1;49,5;50,2;63,4;1273;1273;497;1270; 14:57,660;10,03124;16,9309;20,48137;9,8425
29689294;0,788;1,356;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 15:19,734;10,03124;17,24832;20,45155;9,8425
29709295;0,788;1,356;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1273;1272;497;1270; 15:41,750;10,03124;17,24832;20,45155;9,8425
29729296;0,788;1,356;4,112;0,775;49,6;32,1;49,4;50,2;63,4;1273;1272;497;1270; 16:3,876;10,03124;17,24832;20,43664;9,8425
29749297;0,788;1,356;4,112;0,775;49,6;32,1;49,4;50,2;63,4;1274;1272;497;1270; 16:26,425;10,03912;17,24832;20,43664;9,8425
29769298;0,788;1,356;4,108;0,775;49,6;32,1;49,4;50,2;63,4;1273;1272;497;1270; 16:48,21;10,03124;17,24832;20,41676;9,8425
29789299;0,788;1,353;4,108;0,775;49,7;32,1;49,5;50,2;63,4;1273;1272;497;1270; 17:9,826;10,03124;17,21016;20,41676;9,8425
29809300;0,785;1,31;4,115;0,775;49,7;32,1;49,4;50,2;63,4;1273;1272;497;1270; 17:31,979;9,99305;16,6632;20,45155;9,8425
29829301;0,785;1,31;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1274;1272;497;1270; 17:54,603;10,0009;16,6632;20,45155;9,8425
29849302;0,785;1,304;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1274;1272;497;1270; 18:17,78;10,0009;16,58688;20,45155;9,8425
29869303;0,785;1,313;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1273;1272;497;1270; 18:39,570;9,99305;16,70136;20,45155;9,8425
29889304;0,788;1,353;4,115;0,775;49,6;32,1;49,4;50,2;63,5;1273;1272;497;1270; 19:1,695;10,03124;17,21016;20,45155;9,8425
29909305;0,788;1,317;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1274;1272;497;1270; 19:24,24;10,03912;16,75224;20,45155;9,8425
29929306;0,785;1,31;4,115;0,775;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 19:45,950;10,0009;16,6763;20,45155;9,8425
29949307;0,785;1,307;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1274;1273;497;1270; 20:7,634;10,0009;16,63811;20,45155;9,8425
29969308;0,785;1,31;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1273;497;1270; 20:29,689;9,99305;16,6763;20,45155;9,8425
29989309;0,788;1,313;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1274;1272;497;1270; 20:52,291;10,03912;16,70136;20,45155;9,8425
30009310;0,785;1,304;4,115;0,775;49,6;32,1;49,5;50,2;63,4;1273;1272;497;1270; 21:14,975;9,99305;16,58688;20,45155;9,8425
30029311;0,785;1,29;4,115;0,775;49,6;32,1;49,5;50,3;63,4;1274;1272;497;1270; 21:37,271;10,0009;16,4088;20,45155;9,8425
30049312;0,785;1,304;4,121;0,775;49,5;32,1;49,5;50,3;63,4;1274;1273;497;1270; 22:0,836;10,0009;16,59992;20,48137;9,8425
30069313;0,785;1,307;4,115;0,775;49,5;32,1;49,5;50,3;63,5;1274;1272;497;1270; 23:13,972;10,0009;16,62504;20,45155;9,8425
30089314;0,785;1,304;4,115;0,775;49,5;32;49,5;50,3;63,5;1274;1273;497;1270; 23:35,456;10,0009;16,59992;20,45155;9,8425
30109315;0,785;1,31;4,115;0,775;49,5;32;49,5;50,3;63,4;1274;1272;497;1270; 23:56,729;10,0009;16,6632;20,45155;9,8425
30129316;0,785;1,307;4,115;0,775;49,6;32;49,5;50,3;63,4;1274;1272;497;1270; 24:18,782;10,0009;16,62504;20,45155;9,8425
30149317;0,788;1,31;4,115;0,775;49,5;32;49,5;50,3;63,4;1273;1272;497;1270; 24:42,502;10,03124;16,6632;20,45155;9,8425
30169318;0,788;1,307;4,118;0,775;49,5;32;49,5;50,3;63,5;1273;1272;497;1269; 25:4,420;10,03124;16,62504;20,46646;9,83475
30189319;0,788;1,31;4,108;0,775;49,6;32,1;49,5;50,2;63,5;1273;1272;497;1270; 25:26,197;10,03124;16,6632;20,41676;9,8425
30209320;0,785;1,297;4,112;0,775;49,6;32,1;49,4;50,2;63,4;1274;1273;497;1270; 25:48,297;10,0009;16,51081;20,43664;9,8425
30229321;0,785;1,31;4,115;0,775;49,6;32,1;49,4;50,2;63,4;1274;1272;497;1270; 26:10,223;10,0009;16,6632;20,45155;9,8425
