;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
39988499;0,582;0,861;4,108;0,782;49,6;32,1;49,4;50,1;63,5;1275;1274;497;1271; 6:29,66;7,4205;10,96914;20,41676;9,93922
40008500;0,582;0,861;4,105;0,782;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 6:50,825;7,4205;10,96914;20,40185;9,9314
40028501;0,582;0,861;4,125;0,782;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 7:12,102;7,4205;10,96914;20,50125;9,9314
40048502;0,582;0,861;4,128;0,782;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 7:35,297;7,4205;10,96914;20,51616;9,9314
40068503;0,585;0,865;4,108;0,778;49,6;32,1;49,3;50,1;63,5;1274;1274;497;1270; 7:56,276;7,4529;11,0201;20,41676;9,8806
40088504;0,589;0,871;4,095;0,775;49,6;32,1;49,3;50,1;63,5;1274;1274;497;1270; 8:17,413;7,50386;11,09654;20,35215;9,8425
40108505;0,582;0,861;4,157;0,785;49,6;32,2;49,3;50,1;63,6;1275;1274;497;1270; 8:39,334;7,4205;10,96914;20,66029;9,9695
40128506;0,582;0,865;4,102;0,778;49,6;32,1;49,3;50,1;63,6;1275;1274;497;1270; 9:0,955;7,4205;11,0201;20,38694;9,8806
40148507;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 9:22,726;7,4205;10,96914;20,35215;9,8425
40168508;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,1;63,6;1274;1274;497;1271; 9:44,505;7,41468;10,96914;20,35215;9,85025
40188509;0,582;0,861;4,095;0,782;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 10:6,270;7,4205;10,96914;20,35215;9,9314
40208510;0,582;0,861;4,095;0,782;49,6;32,1;49,3;50,1;63,6;1275;1274;497;1271; 10:28,48;7,4205;10,96914;20,35215;9,93922
40228511;0,582;0,865;4,102;0,782;49,6;32,1;49,3;50,1;63,6;1275;1274;497;1271; 10:49,813;7,4205;11,0201;20,38694;9,93922
40248512;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 11:12,212;7,4205;10,96914;20,35215;9,8425
40268513;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,1;63,5;1275;1274;497;1270; 11:33,359;7,4205;10,96914;20,35215;9,8425
40288514;0,582;0,861;4,095;0,778;49,6;32,1;49,3;50,1;63,6;1275;1273;497;1270; 11:55,131;7,4205;10,96053;20,35215;9,8806
40308515;0,582;0,865;4,121;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 12:17,186;7,4205;11,0201;20,48137;9,9314
40328516;0,582;0,861;4,112;0,782;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1271; 12:39,493;7,4205;10,96914;20,43664;9,93922
40348517;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,2;63,6;1274;1274;497;1270; 13:1,4;7,41468;10,96914;20,35215;9,8425
40368518;0,582;0,865;4,095;0,775;49,6;32,1;49,3;50,2;63,5;1275;1274;497;1271; 13:22,321;7,4205;11,0201;20,35215;9,85025
40388519;0,585;0,871;4,154;0,782;49,6;32,1;49,3;50,2;63,6;1274;1274;497;1270; 13:45,399;7,4529;11,09654;20,64538;9,9314
40408520;0,582;0,865;4,099;0,778;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1270; 14:6,426;7,4205;11,0201;20,37203;9,8806
40428521;0,582;0,861;4,102;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 14:27,909;7,4205;10,96914;20,38694;9,9314
40448522;0,582;0,865;4,099;0,778;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 14:49,310;7,4205;11,0201;20,37203;9,8806
40468523;0,582;0,865;4,095;0,775;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 15:11,393;7,4205;11,0201;20,35215;9,8425
40488524;0,582;0,865;4,095;0,775;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1271; 15:34,580;7,4205;11,0201;20,35215;9,85025
40508525;0,582;0,861;4,095;0,775;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1271; 15:55,481;7,4205;10,96914;20,35215;9,85025
40528526;0,582;0,861;4,108;0,782;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1270; 16:18,275;7,4205;10,96914;20,41676;9,9314
40548527;0,582;0,861;4,108;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 16:39,803;7,4205;10,96914;20,41676;9,9314
40568528;0,582;0,865;4,154;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1271; 17:0,953;7,4205;11,0201;20,64538;9,93922
40588529;0,582;0,865;4,16;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 17:23,503;7,4205;11,0201;20,6752;9,9314
40608530;0,582;0,861;4,16;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 17:44,724;7,4205;10,96914;20,6752;9,9314
40628531;0,582;0,861;4,095;0,775;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1271; 18:7,53;7,4205;10,96914;20,35215;9,85025
40648532;0,582;0,865;4,095;0,782;49,6;32,1;49,4;50,2;63,6;1274;1274;497;1271; 18:28,359;7,41468;11,0201;20,35215;9,93922
40668533;0,585;0,868;4,16;0,782;49,6;32,1;49,4;50,2;63,6;1274;1274;497;1271; 18:51,113;7,4529;11,05832;20,6752;9,93922
40688534;0,582;0,861;4,095;0,775;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1271; 19:11,910;7,4205;10,96914;20,35215;9,85025
40708535;0,582;0,861;4,099;0,775;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1271; 19:33,526;7,4205;10,96914;20,37203;9,85025
40728536;0,585;0,865;4,099;0,775;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 19:54,764;7,45875;11,0201;20,37203;9,8425
40748537;0,582;0,861;4,099;0,775;49,6;32,1;49,4;50,2;63,6;1274;1274;497;1270; 20:16,453;7,41468;10,96914;20,37203;9,8425
40768538;0,582;0,861;4,102;0,775;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1270; 20:41,257;7,4205;10,96914;20,38694;9,8425
40788539;0,582;0,865;4,102;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1271; 21:2,416;7,4205;11,0201;20,38694;9,93922
40808540;0,582;0,861;4,099;0,775;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 21:24,376;7,4205;10,96914;20,37203;9,8425
40828541;0,582;0,861;4,095;0,775;49,5;32,1;49,4;50,2;63,6;1275;1274;497;1271; 21:46,194;7,4205;10,96914;20,35215;9,85025
