Time	Watts	AveWatts	Volts	Amps	WattHrs	AveWttHrs	Cost	Avg_Kwh	Mo_Cost	Max_Wts	Max_Vlt	Max_Amp	Min_Wts	Min_Vlt	Min_Amp	Pwr_Fct	Dty_Cyc	Pwr_Cyc	Log_Start	Log_Stop	R1	R2
42145.54642839	103.70	103.70	223.200	0.394	401.30	401.30	0.000	81.14	0.000	109.40	0.00	0.000	103.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	1.000000000000000000	0.000000000000000000
42145.54665979	103.10	103.40	222.800	0.396	401.90	401.60	0.000	81.13	0.000	108.50	0.00	0.000	102.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54689138	103.30	103.37	222.500	0.394	402.50	401.90	0.000	81.12	0.000	109.10	0.00	0.000	102.50	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54712284	103.40	103.38	223.000	0.394	403.10	402.20	0.000	81.11	0.000	103.40	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54735446	103.90	103.48	222.600	0.397	403.60	402.48	0.000	81.10	0.000	111.30	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54758603	112.00	104.90	222.700	0.450	404.20	402.77	0.000	81.09	0.000	112.00	0.00	0.000	103.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54781750	103.50	104.70	222.700	0.400	404.80	403.06	0.000	81.08	0.000	117.60	0.00	0.000	102.60	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54804913	103.80	104.59	222.500	0.403	405.40	403.35	0.000	81.07	0.000	104.20	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54828060	109.50	105.13	221.800	0.436	406.00	403.64	0.000	81.06	0.000	109.50	0.00	0.000	102.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54851209	103.10	104.93	223.000	0.401	406.50	403.93	0.000	81.05	0.000	109.50	0.00	0.000	102.50	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54874356	103.60	104.81	222.700	0.399	407.10	404.22	0.000	81.04	0.000	103.80	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54897521	103.20	104.67	222.600	0.394	407.70	404.51	0.000	81.03	0.000	104.00	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54920669	103.50	104.58	222.300	0.395	408.20	404.79	0.000	81.02	0.000	103.50	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54943836	103.50	104.51	221.900	0.391	408.80	405.08	0.000	81.01	0.000	110.00	0.00	0.000	103.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54966984	103.30	104.43	222.000	0.398	409.40	405.37	0.000	81.00	0.000	109.80	0.00	0.000	102.90	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.54990132	103.20	104.35	222.200	0.396	410.00	405.66	0.000	80.99	0.000	103.30	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55013281	103.60	104.31	222.000	0.399	410.60	405.95	0.000	80.98	0.000	103.80	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55036429	103.50	104.26	222.700	0.394	411.10	406.23	0.000	80.97	0.000	103.90	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55059579	103.60	104.23	221.900	0.399	411.70	406.52	0.000	80.96	0.000	112.00	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55082741	103.50	104.19	222.200	0.394	412.30	406.81	0.000	80.95	0.000	104.10	0.00	0.000	103.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55105888	103.30	104.15	221.600	0.398	412.80	407.10	0.000	80.94	0.000	103.80	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55129050	104.80	104.18	221.500	0.395	413.40	407.38	0.000	80.93	0.000	108.90	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55152199	105.20	104.22	221.500	0.406	414.00	407.67	0.000	80.92	0.000	117.70	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55175360	104.00	104.21	222.000	0.418	414.60	407.96	0.000	80.91	0.000	105.20	0.00	0.000	103.60	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55198509	103.20	104.17	222.200	0.409	415.20	408.25	0.000	80.90	0.000	104.00	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55221668	103.50	104.15	221.900	0.399	415.70	408.53	0.000	80.89	0.000	111.60	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55244817	103.00	104.10	222.400	0.405	416.30	408.82	0.000	80.88	0.000	109.20	0.00	0.000	101.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55267978	103.10	104.07	222.100	0.398	416.90	409.11	0.000	80.87	0.000	109.70	0.00	0.000	102.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55291128	103.40	104.04	222.700	0.402	417.50	409.40	0.000	80.86	0.000	103.90	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55314288	103.50	104.03	221.900	0.403	418.00	409.69	0.000	80.86	0.000	103.70	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55337436	103.50	104.02	222.400	0.393	418.60	410.26	0.000	80.84	0.000	104.20	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55360584	107.00	104.15	222.500	0.392	419.20	410.84	0.000	80.84	0.000	108.60	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55383734	103.80	104.17	222.200	0.398	419.80	411.42	0.000	80.83	0.000	107.00	0.00	0.000	103.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55406900	103.90	104.18	221.900	0.402	420.30	411.99	0.000	80.82	0.000	104.10	0.00	0.000	103.70	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55430065	103.70	104.18	221.700	0.401	420.90	412.57	0.000	80.81	0.000	104.30	0.00	0.000	103.70	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55453213	103.30	103.89	220.800	0.403	421.50	413.14	0.000	80.80	0.000	103.80	0.00	0.000	103.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55476380	103.90	103.90	220.800	0.404	422.10	413.72	0.000	80.79	0.000	109.50	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55499528	103.40	103.89	221.900	0.396	422.70	414.30	0.000	80.78	0.000	118.30	0.00	0.000	101.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55522689	103.00	103.67	221.700	0.398	423.20	414.87	0.000	80.77	0.000	108.90	0.00	0.000	102.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55545837	103.20	103.67	222.100	0.397	423.80	415.45	0.000	80.76	0.000	103.30	0.00	0.000	103.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55568984	109.00	103.85	221.900	0.413	424.40	416.02	0.000	80.76	0.000	109.50	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55592134	103.10	103.85	222.300	0.395	424.90	416.60	0.000	80.75	0.000	109.00	0.00	0.000	102.70	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55615279	103.20	103.84	221.800	0.395	425.50	417.17	0.000	80.74	0.000	103.30	0.00	0.000	103.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55638425	103.60	103.84	222.400	0.391	426.10	417.75	0.000	80.73	0.000	103.90	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55661571	103.50	103.85	222.700	0.397	426.70	418.33	0.000	80.72	0.000	109.50	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55684716	104.70	103.90	222.600	0.396	427.20	418.90	0.000	80.71	0.000	108.40	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55707858	103.70	103.90	222.200	0.396	427.80	419.47	0.000	80.70	0.000	104.70	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55730987	103.40	103.90	222.000	0.398	428.40	420.05	0.000	80.69	0.000	103.70	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55754135	103.50	103.90	221.900	0.405	429.00	420.63	0.000	80.68	0.000	103.60	0.00	0.000	103.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55777284	103.70	103.90	221.700	0.395	429.50	421.20	0.000	80.67	0.000	104.10	0.00	0.000	103.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55800425	103.30	103.90	221.100	0.401	430.10	421.78	0.000	80.66	0.000	110.10	0.00	0.000	103.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55823573	103.10	103.85	221.600	0.399	430.70	422.35	0.000	80.65	0.000	109.70	0.00	0.000	102.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55846721	104.50	103.82	221.900	0.396	431.30	422.93	0.000	80.65	0.000	119.20	0.00	0.000	103.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42145.55869862	103.60	103.81	222.400	0.398	431.80	423.50	0.000	80.64	0.000	104.50	0.00	0.000	103.50	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
