;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
41033206;0,592;0,878;4,944;0,775;49,5;32,5;49,1;49,9;63,5;1274;1273;495;1270; 23:53,751;7,54208;11,17694;24,4728;9,8425
41053207;0,791;1,419;4,374;0,775;49,5;32,5;49,2;49,9;63,4;1272;1271;497;1269; 24:17,415;10,06152;18,03549;21,73878;9,83475
41073208;1,436;2,732;4,128;0,818;49,5;32,5;49,3;49,9;63,4;1270;1268;497;1267; 24:40,742;18,2372;34,64176;20,51616;10,36406
41093209;1,442;2,805;4,128;0,824;49,5;32,5;49,3;49,9;63,4;1269;1267;497;1268; 25:3,389;18,29898;35,53935;20,51616;10,44832
41113210;1,442;2,831;4,128;0,818;49,5;32,5;49,3;49,9;63,3;1269;1267;497;1267; 25:25,302;18,29898;35,86877;20,51616;10,36406
41133211;1,445;2,848;4,125;0,814;49,4;32,6;49,3;49,9;63,3;1269;1267;497;1267; 25:49,351;18,33705;36,08416;20,50125;10,31338
41153212;1,445;2,864;4,128;0,818;49,4;32,6;49,3;49,9;63,3;1270;1267;497;1268; 26:14,621;18,3515;36,28688;20,51616;10,37224
41173213;1,455;2,894;4,125;0,818;49,4;32,6;49,3;49,9;63,3;1269;1267;497;1268; 26:39,368;18,46395;36,66698;20,50125;10,37224
41193214;1,458;2,894;4,125;0,804;49,4;32,6;49,3;49,9;63,3;1269;1267;497;1268; 27:1,853;18,50202;36,66698;20,50125;10,19472
41213215;1,462;2,914;4,125;0,804;49,3;32,6;49,3;49,9;63,3;1270;1267;497;1268; 27:24,55;18,5674;36,92038;20,50125;10,19472
41233216;1,462;2,924;4,128;0,804;49,3;32,6;49,2;49,9;63,3;1270;1268;497;1268; 27:47,534;18,5674;37,07632;20,51616;10,19472
41253217;1,468;2,93;4,125;0,798;49,3;32,7;49,2;49,9;63,3;1269;1267;497;1268; 28:10,373;18,62892;37,1231;20,50125;10,11864
41273218;1,426;2,732;4,115;0,785;49,3;32,7;49,2;49,8;63,3;1270;1268;497;1268; 28:33,875;18,1102;34,64176;20,45155;9,9538
41293219;1,403;2,607;4,102;0,778;49,3;32,7;49,1;49,8;63,3;1271;1269;497;1268; 28:58,302;17,83213;33,08283;20,38694;9,86504
41313220;1,403;2,62;4,099;0,778;49,3;32,7;49,1;49,8;63,4;1271;1269;497;1268; 29:21,764;17,83213;33,2478;20,37203;9,86504
41333221;1,409;2,643;4,108;0,778;49,3;32,7;49,1;49,8;63,3;1270;1269;497;1268; 29:44,290;17,8943;33,53967;20,41676;9,86504
41353222;1,468;2,96;4,128;0,795;49,3;32,7;49,1;49,8;63,4;1269;1267;497;1268; 30:9,576;18,62892;37,5032;20,51616;10,0806
41373223;1,472;2,993;4,141;0,814;49,3;32,7;49,1;49,8;63,4;1269;1267;497;1268; 30:34,336;18,67968;37,92131;20,58077;10,32152
41393224;1,475;3;4,218;0,85;49,3;32,7;49;49,8;63,4;1269;1267;497;1268; 31:0,661;18,71775;38,01;20,96346;10,778
41413225;1,475;3,006;4,209;0,837;49,2;32,8;49;49,8;63,4;1269;1267;497;1268; 31:24,190;18,71775;38,08602;20,91873;10,61316
41433226;1,472;3,016;4,209;0,84;49,2;32,8;49;49,8;63,4;1269;1267;497;1267; 31:49,29;18,67968;38,21272;20,91873;10,6428
41453227;1,472;3,016;4,183;0,834;49,2;32,8;49;49,8;63,5;1269;1267;497;1267; 32:11,160;18,67968;38,21272;20,78951;10,56678
41473228;1,472;3,01;4,154;0,814;49,2;32,8;49;49,8;63,4;1269;1267;497;1268; 32:35,653;18,67968;38,1367;20,64538;10,32152
41493229;1,472;3,019;4,141;0,808;49,2;32,8;49;49,8;63,4;1269;1267;497;1268; 32:58,961;18,67968;38,25073;20,58077;10,24544
41513230;1,468;3,01;4,144;0,801;49,2;32,8;49;49,8;63,5;1269;1267;497;1268; 33:21,340;18,62892;38,1367;20,59568;10,15668
41533231;1,472;3,029;4,196;0,84;49,2;32,8;49,1;49,8;63,5;1269;1267;497;1267; 33:44,548;18,67968;38,37743;20,85412;10,6428
41553232;1,462;2,963;4,196;0,827;49,2;32,9;49,1;49,8;63,5;1269;1267;497;1268; 34:7,123;18,55278;37,54121;20,85412;10,48636
41573233;1,403;2,653;4,134;0,778;49,2;32,8;49,1;49,8;63,5;1271;1269;497;1268; 34:29,778;17,83213;33,66657;20,54598;9,86504
41593234;1,403;2,653;4,134;0,778;49,2;32,8;49,1;49,8;63,5;1270;1269;497;1269; 34:52,262;17,8181;33,66657;20,54598;9,87282
41613235;1,403;2,637;4,137;0,778;49,2;32,8;49,1;49,8;63,5;1270;1269;497;1268; 35:16,29;17,8181;33,46353;20,56089;9,86504
41633236;1,455;2,888;4,176;0,804;49,2;32,8;49,1;49,8;63,4;1269;1268;497;1268; 35:39,346;18,46395;36,61984;20,75472;10,19472
41653237;1,475;3;4,176;0,827;49,2;32,8;49,2;49,8;63,5;1269;1267;497;1268; 36:1,974;18,71775;38,01;20,75472;10,48636
41673238;1,472;2,986;4,16;0,821;49,2;32,8;49,2;49,9;63,5;1269;1267;497;1267; 36:27,91;18,67968;37,83262;20,6752;10,40207
41693239;1,472;2,986;4,167;0,824;49,3;32,8;49,2;49,9;63,4;1269;1267;497;1268; 36:49,833;18,67968;37,83262;20,70999;10,44832
41713240;1,472;2,986;4,176;0,827;49,3;32,8;49,2;49,9;63,4;1269;1267;497;1267; 37:12,613;18,67968;37,83262;20,75472;10,47809
41733241;1,475;2,973;4,176;0,827;49,3;32,8;49,2;49,9;63,4;1269;1267;497;1267; 37:35,87;18,71775;37,66791;20,75472;10,47809
41753242;1,472;2,97;4,183;0,831;49,3;32,8;49,2;49,9;63,4;1269;1267;497;1267; 37:57,176;18,67968;37,6299;20,78951;10,52877
41773243;1,472;2,97;4,183;0,831;49,3;32,8;49,3;49,9;63,5;1269;1267;497;1267; 38:19,251;18,67968;37,6299;20,78951;10,52877
41793244;1,472;2,95;4,183;0,834;49,3;32,8;49,3;49,9;63,4;1269;1267;497;1267; 38:41,370;18,67968;37,3765;20,78951;10,56678
41813245;1,475;2,963;4,167;0,831;49,3;32,8;49,3;49,9;63,4;1269;1267;497;1267; 39:5,64;18,71775;37,54121;20,70999;10,52877
41833246;1,475;2,973;4,167;0,831;49,3;32,8;49,3;49,9;63,4;1269;1267;497;1267; 39:27,881;18,71775;37,66791;20,70999;10,52877
41853247;1,409;2,647;4,128;0,782;49,3;32,8;49,3;49,9;63,4;1270;1268;497;1268; 39:50,494;17,8943;33,56396;20,51616;9,91576
41873248;1,39;2,488;4,137;0,778;49,3;32,8;49,3;49,9;63,4;1271;1269;497;1269; 40:12,511;17,6669;31,57272;20,56089;9,87282
41893249;0,795;1,452;4,299;0,788;49,3;32,8;49,3;49,9;63,4;1273;1272;497;1269; 40:34,469;10,12035;18,46944;21,36603;9,99972
41913250;0,795;1,445;4,299;0,782;49,3;32,7;49,2;49,9;63,4;1273;1271;497;1269; 40:56,648;10,12035;18,36595;21,36603;9,92358
41933251;0,795;1,462;4,299;0,778;49,3;32,7;49,2;49,9;63,4;1272;1271;497;1269; 41:18,889;10,1124;18,58202;21,36603;9,87282
41953252;0,589;0,888;4,964;0,778;49,3;32,7;49,2;49,9;63,4;1274;1273;495;1270; 41:40,758;7,50386;11,30424;24,5718;9,8806
41973253;0,598;0,894;4,931;0,778;49,3;32,6;49,2;49,9;63,3;1274;1273;495;1270; 42:3,77;7,61852;11,38062;24,40845;9,8806
41993254;0,589;0,881;4,973;0,778;49,3;32,6;49,1;49,9;63,4;1274;1273;495;1270; 42:25,17;7,50386;11,21513;24,61635;9,8806
42013255;0,589;0,881;4,928;0,778;49,3;32,6;49,1;49,9;63,3;1274;1273;495;1270; 42:46,672;7,50386;11,21513;24,3936;9,8806
42033256;0,589;0,881;4,944;0,775;49,3;32,6;49,1;49,9;63,4;1274;1273;495;1270; 43:8,910;7,50386;11,21513;24,4728;9,8425
42053257;0,592;0,881;4,925;0,778;49,3;32,6;49,1;49,9;63,4;1274;1273;495;1270; 43:31,375;7,54208;11,21513;24,37875;9,8806
42073258;0,589;0,875;4,915;0,775;49,3;32,6;49;49,9;63,3;1274;1273;495;1270; 43:53,422;7,50386;11,13875;24,32925;9,8425
42093259;0,589;0,878;4,922;0,775;49,3;32,5;49;49,9;63,3;1274;1273;495;1270; 44:15,948;7,50386;11,17694;24,3639;9,8425
43714734;0,788;1,393;4,351;1,586;49,2;32,6;48,9;49,8;63,6;1273;1272;496;1267; 8:35,326;10,03124;17,71896;21,58096;20,09462
43734735;0,592;0,888;5,294;0,762;49,3;32,6;48,9;49,8;63,6;1274;1273;494;1270; 8:57,718;7,54208;11,30424;26,15236;9,6774
43754736;0,795;1,468;4,604;0,768;49,3;32,5;48,9;49,8;63,6;1272;1271;496;1269; 9:20,643;10,1124;18,65828;22,83584;9,74592
43774737;1,439;2,845;4,371;0,782;49,2;32,6;48,9;49,8;63,6;1270;1268;497;1268; 9:42,797;18,2753;36,0746;21,72387;9,91576
43794738;1,436;2,848;4,38;0,785;49,2;32,6;49;49,8;63,7;1270;1268;497;1268; 10:4,823;18,2372;36,11264;21,7686;9,9538
43814739;1,439;2,881;4,371;0,791;49,2;32,7;49;49,8;63,6;1270;1268;497;1268; 10:27,175;18,2753;36,53108;21,72387;10,02988
43834740;1,436;2,854;4,374;0,785;49,2;32,7;49;49,8;63,6;1270;1268;497;1268; 10:49,269;18,2372;36,18872;21,73878;9,9538
43854741;1,439;2,881;4,368;0,788;49,2;32,7;49;49,8;63,6;1270;1267;497;1268; 11:11,361;18,2753;36,50227;21,70896;9,99184
43874742;1,452;2,917;4,374;0,785;49,2;32,7;49;49,8;63,6;1269;1267;497;1268; 11:33,757;18,42588;36,95839;21,73878;9,9538
43894743;1,455;2,914;4,368;0,785;49,2;32,8;49;49,8;63,6;1269;1267;497;1268; 11:56,683;18,46395;36,92038;21,70896;9,9538
43914744;1,458;2,924;4,361;0,782;49,2;32,8;49,1;49,8;63,6;1269;1268;497;1268; 12:19,375;18,50202;37,07632;21,67417;9,91576
43934745;1,462;2,94;4,361;0,778;49,2;32,8;49,1;49,9;63,6;1269;1268;497;1268; 12:41,883;18,55278;37,2792;21,67417;9,86504
43954746;1,462;2,93;4,361;0,778;49,2;32,8;49,1;49,9;63,6;1269;1267;497;1268; 13:4,234;18,55278;37,1231;21,67417;9,86504
43974747;1,429;2,746;4,351;0,772;49,3;32,8;49,2;49,9;63,6;1270;1268;497;1268; 13:26,479;18,1483;34,81928;21,62447;9,78896
43994748;1,403;2,617;4,348;0,765;49,3;32,8;49,2;49,9;63,6;1270;1269;497;1268; 13:49,768;17,8181;33,20973;21,60956;9,7002
44014749;1,403;2,597;4,351;0,768;49,3;32,8;49,2;49,9;63,6;1271;1269;497;1269; 14:12,196;17,83213;32,95593;21,62447;9,74592
44034750;1,406;2,607;4,348;0,768;49,3;32,8;49,2;49,9;63,6;1270;1269;497;1268; 14:34,518;17,8562;33,08283;21,60956;9,73824
44054751;1,468;2,95;4,351;0,788;49,2;32,8;49,2;49,9;63,6;1269;1267;497;1267; 14:56,978;18,62892;37,3765;21,62447;9,98396
44074752;1,472;2,97;4,361;0,791;49,3;32,8;49,2;49,9;63,6;1269;1267;497;1268; 15:19,433;18,67968;37,6299;21,67417;10,02988
44094753;1,472;2,973;4,368;0,795;49,3;32,8;49,2;49,9;63,6;1269;1267;497;1267; 15:41,909;18,67968;37,66791;21,70896;10,07265
44114754;1,472;2,944;4,426;0,827;49,2;32,8;49,2;49,9;63,6;1269;1267;497;1268; 16:4,732;18,67968;37,30048;21,99722;10,48636
44134755;1,472;2,954;4,442;0,837;49,3;32,8;49,2;49,9;63,6;1269;1267;497;1267; 16:27,132;18,67968;37,42718;22,07674;10,60479
44154756;1,472;2,963;4,439;0,837;49,3;32,8;49,2;49,9;63,5;1269;1267;497;1268; 16:52,380;18,67968;37,54121;22,06183;10,61316
44174757;1,475;2,97;4,413;0,827;49,3;32,8;49,2;49,9;63,5;1269;1267;497;1268; 17:18,23;18,71775;37,6299;21,93261;10,48636
44194758;1,472;2,97;4,397;0,824;49,3;32,8;49,2;49,9;63,5;1269;1267;497;1268; 17:41,63;18,67968;37,6299;21,85309;10,44832
44214759;1,465;2,937;4,368;0,795;49,3;32,8;49,2;49,9;63,5;1269;1267;497;1268; 18:4,691;18,59085;37,21179;21,70896;10,0806
