;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
27883510;0,795;1,459;4,134;0,765;49,5;32,2;49,3;50,3;63,6;1272;1271;497;1269; 44:43,951;10,1124;18,54389;20,54598;9,70785
27903511;0,788;1,369;4,128;0,768;49,6;32,2;49,4;50,2;63,6;1273;1272;497;1270; 45:8,977;10,03124;17,41368;20,51616;9,7536
27923512;0,795;1,475;4,144;0,765;49,6;32,2;49,4;50,2;63,6;1272;1272;497;1269; 45:31,771;10,1124;18,762;20,59568;9,70785
27943513;0,795;1,475;4,154;0,765;49,6;32,2;49,4;50,2;63,6;1273;1272;497;1270; 45:58,387;10,12035;18,762;20,64538;9,7155
27963514;0,795;1,475;4,144;0,765;49,6;32,2;49,3;50,2;63,6;1273;1272;497;1269; 46:33,694;10,12035;18,762;20,59568;9,70785
27983515;0,791;1,475;4,163;0,762;49,6;32,2;49,3;50,2;63,6;1272;1271;497;1270; 47:4,56;10,06152;18,74725;20,69011;9,6774
28003516;0,795;1,478;4,157;0,765;49,6;32,2;49,3;50,2;63,5;1272;1271;497;1269; 47:34,354;10,1124;18,78538;20,66029;9,70785
28023517;0,795;1,478;4,144;0,765;49,6;32,2;49,3;50,2;63,6;1272;1271;497;1269; 47:57,865;10,1124;18,78538;20,59568;9,70785
28043518;1,406;2,508;4,316;0,778;49,6;32,2;49,4;50,2;63,6;1271;1269;497;1268; 48:20,830;17,87026;31,82652;21,45052;9,86504
28063519;1,4;2,521;4,325;0,778;49,6;32,3;49,3;50,2;63,6;1270;1269;497;1268; 48:43,189;17,78;31,99149;21,49525;9,86504
28083520;1,396;2,482;4,316;0,778;49,6;32,3;49,4;50,2;63,5;1271;1269;496;1268; 49:5,499;17,74316;31,49658;21,40736;9,86504
28103521;1,419;2,554;4,325;0,782;49,6;32,3;49,3;50,2;63,6;1270;1268;496;1268; 49:27,715;18,0213;32,38472;21,452;9,91576
28123522;1,406;2,531;4,316;0,782;49,6;32,3;49,3;50,2;63,6;1270;1269;497;1268; 49:50,103;17,8562;32,11839;21,45052;9,91576
28143523;1,285;2,366;4,28;0,775;49,6;32,3;49,3;50,2;63,6;1271;1270;497;1269; 50:12,365;16,33235;30,0482;21,2716;9,83475
28163524;1,4;2,521;4,299;0,775;49,5;32,3;49,3;50,2;63,6;1270;1269;497;1268; 50:35,422;17,78;31,99149;21,36603;9,827
28183525;1,396;2,508;4,299;0,782;49,5;32,3;49,3;50,2;63,6;1270;1269;497;1268; 50:57,747;17,7292;31,82652;21,36603;9,91576
28203526;1,403;2,531;4,299;0,782;49,6;32,3;49,4;50,2;63,6;1270;1269;496;1268; 51:20,24;17,8181;32,11839;21,32304;9,91576
28223527;0,886;2,033;4,28;0,778;49,6;32,3;49,4;50,2;63,6;1272;1270;497;1269; 51:42,380;11,26992;25,8191;21,2716;9,87282
28243528;1,396;2,515;4,299;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;496;1268; 52:4,927;17,74316;31,91535;21,32304;9,91576
28263529;1,403;2,521;4,299;0,782;49,6;32,3;49,4;50,2;63,6;1270;1269;497;1268; 52:27,582;17,8181;31,99149;21,36603;9,91576
28283530;1,4;2,521;4,293;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;496;1268; 52:50,237;17,794;31,99149;21,29328;9,91576
28303531;1,396;2,508;4,293;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;497;1268; 53:12,517;17,74316;31,82652;21,33621;9,91576
28323532;1,403;2,531;4,293;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;497;1268; 53:34,922;17,83213;32,11839;21,33621;9,91576
28343533;1,396;2,465;4,293;0,782;49,5;32,3;49,4;50,2;63,6;1271;1269;497;1268; 53:57,265;17,74316;31,28085;21,33621;9,91576
28363534;1,39;2,426;4,293;0,782;49,5;32,3;49,4;50,2;63,5;1271;1269;497;1269; 54:19,842;17,6669;30,78594;21,33621;9,92358
28383535;1,396;2,488;4,293;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;496;1268; 54:42,856;17,74316;31,57272;21,29328;9,91576
28403536;0,948;2,142;4,274;0,775;49,6;32,3;49,4;50,2;63,5;1271;1269;497;1269; 55:5,417;12,04908;27,18198;21,24178;9,83475
28423537;1,396;2,482;4,29;0,782;49,6;32,3;49,4;50,2;63,5;1271;1269;497;1269; 55:27,947;17,74316;31,49658;21,3213;9,92358
28443538;1,331;2,376;4,274;0,778;49,6;32,3;49,4;50,2;63,5;1271;1269;497;1268; 55:50,368;16,91701;30,15144;21,24178;9,86504
28463539;1,403;2,511;4,28;0,782;49,6;32,3;49,4;50,2;63,6;1271;1269;497;1268; 56:12,913;17,83213;31,86459;21,2716;9,91576
28483540;1,39;2,412;4,287;0,782;49,6;32,3;49,4;50,2;63,6;1271;1270;497;1269; 56:36,457;17,6669;30,6324;21,30639;9,92358
28503541;1,396;2,495;4,28;0,778;49,5;32,3;49,4;50,2;63,6;1271;1269;497;1268; 56:59,487;17,74316;31,66155;21,2716;9,86504
28523542;1,403;2,518;4,299;0,782;49,5;32,4;49,4;50,2;63,5;1271;1269;497;1268; 57:22,189;17,83213;31,95342;21,36603;9,91576
28543543;1,305;2,343;4,267;0,775;49,5;32,3;49,4;50,2;63,5;1271;1269;497;1269; 57:44,810;16,58655;29,73267;21,20699;9,83475
28563544;1,275;2,33;4,274;0,782;49,5;32,3;49,4;50,2;63,5;1271;1269;497;1269; 58:7,10;16,20525;29,5677;21,24178;9,92358
28583545;1,122;2,277;4,274;0,775;49,5;32,3;49,4;50,2;63,5;1271;1270;497;1269; 58:29,507;14,26062;28,9179;21,24178;9,83475
28603546;1,239;2,33;4,27;0,778;49,5;32,3;49,4;50,2;63,5;1271;1270;497;1269; 58:52,19;15,74769;29,591;21,2219;9,87282
28623547;1,292;2,35;4,274;0,778;49,5;32,3;49,4;50,3;63,5;1271;1269;497;1269; 59:14,906;16,42132;29,8215;21,24178;9,87282
28643548;0,886;2,026;4,251;0,775;49,5;32,3;49,4;50,3;63,5;1271;1270;497;1269; 59:37,777;11,26106;25,7302;21,12747;9,83475
28663549;1,396;2,495;4,287;0,782;49,5;32,3;49,5;50,3;63,5;1271;1269;497;1268; 0:0,476;17,74316;31,66155;21,30639;9,91576
28683550;1,318;2,356;4,27;0,778;49,5;32,3;49,5;50,3;63,6;1271;1270;497;1269; 0:22,911;16,75178;29,9212;21,2219;9,87282
28703551;0,981;2,175;4,274;0,778;49,5;32,3;49,4;50,2;63,5;1271;1270;497;1269; 0:45,423;12,46851;27,6225;21,24178;9,87282
28723552;1,331;2,363;4,274;0,782;49,5;32,3;49,4;50,2;63,5;1271;1269;497;1268; 1:8,44;16,91701;29,98647;21,24178;9,91576
28743553;0,925;2,125;4,27;0,778;49,5;32,3;49,4;50,2;63,5;1271;1270;497;1269; 1:30,619;11,75675;26,9875;21,2219;9,87282
28763554;1,213;2,31;4,27;0,778;49,6;32,3;49,5;50,3;63,5;1271;1269;497;1268; 1:52,975;15,41723;29,3139;21,2219;9,86504
28783555;1,076;2,241;4,27;0,775;49,6;32,3;49,5;50,3;63,5;1271;1270;496;1269; 2:15,518;13,67596;28,4607;21,1792;9,83475
28803556;1,396;2,488;4,287;0,782;49,6;32,3;49,5;50,3;63,5;1271;1269;497;1268; 2:37,921;17,74316;31,57272;21,30639;9,91576
28823557;0,837;1,703;4,251;0,775;49,6;32,3;49,5;50,3;63,5;1272;1270;497;1269; 3:0,214;10,64664;21,6281;21,12747;9,83475
28843558;0,831;1,597;4,251;0,775;49,6;32,3;49,5;50,3;63,5;1272;1270;497;1269; 3:23,724;10,57032;20,2819;21,12747;9,83475
28863559;0,785;1,313;4,121;0,768;49,6;32,3;49,5;50,3;63,5;1273;1273;497;1270; 3:45,907;9,99305;16,71449;20,48137;9,7536
28883560;0,785;1,313;4,121;0,772;49,5;32,3;49,5;50,3;63,5;1274;1273;497;1270; 4:8,357;10,0009;16,71449;20,48137;9,8044
34909423;0,667;0,98;4,134;0,778;49,7;32,2;49,5;50,2;63,4;1273;1273;497;1270; 41:49,975;8,49091;12,4754;20,54598;9,8806
34929424;0,798;1,436;4,141;0,775;49,7;32,2;49,6;50,3;63,4;1272;1270;497;1269; 42:14,485;10,15056;18,2372;20,58077;9,83475
34949425;1,207;2,185;4,137;0,775;49,7;32,2;49,6;50,3;63,4;1271;1270;497;1269; 42:35,617;15,34097;27,7495;20,56089;9,83475
34969426;1,419;2,353;4,137;0,775;49,7;32,2;49,6;50,3;63,4;1270;1269;497;1268; 42:56,874;18,0213;29,85957;20,56089;9,827
34989427;1,436;2,429;4,141;0,775;49,7;32,2;49,6;50,3;63,4;1271;1269;497;1268; 43:19,461;18,25156;30,82401;20,58077;9,827
35009428;1,442;2,442;4,141;0,778;49,7;32,2;49,6;50,3;63,3;1270;1269;497;1268; 43:40,349;18,3134;30,98898;20,58077;9,86504
35029429;1,462;2,498;4,141;0,775;49,6;32,3;49,5;50,3;63,3;1270;1269;497;1268; 44:1,118;18,5674;31,69962;20,58077;9,827
35049430;1,491;2,534;4,134;0,778;49,6;32,3;49,5;50,2;63,3;1270;1268;497;1268; 44:22,159;18,9357;32,13112;20,54598;9,86504
35069431;1,481;2,544;4,134;0,775;49,6;32,3;49,5;50,2;63,4;1270;1268;497;1268; 44:43,665;18,8087;32,25792;20,54598;9,827
35089432;1,462;2,528;4,144;0,778;49,6;32,3;49,4;50,2;63,3;1270;1269;497;1268; 45:5,438;18,5674;32,08032;20,59568;9,86504
35109433;1,472;2,554;4,154;0,778;49,6;32,3;49,4;50,2;63,3;1270;1269;497;1268; 45:27,211;18,6944;32,41026;20,64538;9,86504
35129434;1,465;2,548;4,141;0,775;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 45:48,982;18,6055;32,33412;20,58077;9,827
35149435;1,478;2,577;4,141;0,778;49,5;32,3;49,4;50,2;63,4;1270;1268;497;1268; 46:17,649;18,7706;32,67636;20,58077;9,86504
35169436;1,452;2,548;4,144;0,778;49,6;32,3;49,4;50,2;63,4;1270;1269;497;1268; 46:49,167;18,4404;32,33412;20,59568;9,86504
35189437;1,458;2,564;4,144;0,778;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 47:21,281;18,5166;32,53716;20,59568;9,86504
35209438;1,452;2,558;4,144;0,778;49,5;32,3;49,4;50,2;63,4;1270;1268;497;1268; 47:53,810;18,4404;32,43544;20,59568;9,86504
35229439;1,462;2,577;4,163;0,778;49,6;32,3;49,4;50,2;63,4;1270;1269;497;1269; 48:15,934;18,5674;32,70213;20,69011;9,87282
35249440;1,455;2,571;4,141;0,775;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 48:37,169;18,4785;32,62599;20,58077;9,827
35269441;1,462;2,591;4,144;0,775;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 48:58,199;18,5674;32,87979;20,59568;9,827
35289442;1,452;2,577;4,154;0,778;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 49:19,453;18,4404;32,70213;20,64538;9,86504
35309443;1,458;2,574;4,154;0,778;49,5;32,3;49,4;50,2;63,4;1270;1269;497;1268; 49:40,668;18,5166;32,66406;20,64538;9,86504
