;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
27111460;0,638;0,934;4,099;0,772;49,8;31,9;49,5;50,3;63,6;1274;1274;498;1270; 31:51,846;8,12812;11,89916;20,41302;9,8044
27131461;0,621;0,914;4,095;0,772;49,7;31,9;49,5;50,3;63,5;1274;1274;497;1270; 32:17,312;7,91154;11,64436;20,35215;9,8044
27151462;0,585;0,878;4,095;0,772;49,8;31,9;49,5;50,3;63,5;1274;1273;497;1270; 32:39,830;7,4529;11,17694;20,35215;9,8044
27171463;0,585;0,878;4,095;0,772;49,8;31,9;49,5;50,3;63,5;1275;1273;497;1270; 33:2,586;7,45875;11,17694;20,35215;9,8044
27191464;0,585;0,875;4,099;0,772;49,8;31,9;49,5;50,3;63,5;1274;1274;497;1270; 33:27,380;7,4529;11,1475;20,37203;9,8044
27211465;0,585;0,881;4,121;0,775;49,8;31,9;49,5;50,3;63,6;1275;1274;497;1270; 33:50,857;7,45875;11,22394;20,48137;9,8425
27231466;0,585;0,875;4,134;0,778;49,8;31,9;49,5;50,3;63,5;1275;1274;497;1270; 34:13,797;7,45875;11,1475;20,54598;9,8806
27251467;0,595;0,881;4,134;0,782;49,8;31,9;49,5;50,3;63,5;1274;1274;497;1270; 34:36,251;7,5803;11,22394;20,54598;9,9314
27271468;0,585;0,875;4,121;0,775;49,7;31,9;49,5;50,3;63,5;1275;1274;497;1271; 34:58,814;7,45875;11,1475;20,48137;9,85025
27291469;0,585;0,878;4,095;0,772;49,7;31,9;49,5;50,3;63,5;1275;1274;497;1270; 35:22,227;7,45875;11,18572;20,35215;9,8044
27311470;0,585;0,875;4,095;0,772;49,7;31,9;49,5;50,3;63,5;1274;1274;497;1271; 35:44,866;7,4529;11,1475;20,35215;9,81212
27331471;0,585;0,875;4,095;0,772;49,7;31,9;49,5;50,3;63,5;1274;1274;497;1270; 36:7,604;7,4529;11,1475;20,35215;9,8044
27351472;0,589;0,881;4,095;0,772;49,7;31,9;49,5;50,3;63,5;1275;1273;497;1271; 36:30,988;7,50975;11,21513;20,35215;9,81212
27371473;0,585;0,871;4,095;0,768;49,7;31,9;49,5;50,3;63,6;1274;1273;497;1270; 36:53,875;7,4529;11,08783;20,35215;9,7536
27391474;0,585;0,875;4,092;0,772;49,7;31,9;49,5;50,3;63,6;1275;1274;497;1270; 37:16,898;7,45875;11,1475;20,33724;9,8044
27411475;0,585;0,871;4,095;0,768;49,6;31,9;49,5;50,3;63,6;1274;1274;497;1270; 37:40,35;7,4529;11,09654;20,35215;9,7536
27431476;0,585;0,875;4,092;0,768;49,6;31,9;49,5;50,3;63,6;1275;1274;497;1271; 38:2,721;7,45875;11,1475;20,33724;9,76128
27451477;0,585;0,875;4,095;0,772;49,6;31,9;49,5;50,3;63,6;1275;1274;497;1270; 38:25,398;7,45875;11,1475;20,35215;9,8044
27471478;0,585;0,875;4,095;0,775;49,6;32;49,5;50,3;63,6;1275;1274;497;1270; 38:48,316;7,45875;11,1475;20,35215;9,8425
27491479;0,585;0,875;4,115;0,768;49,6;32;49,5;50,3;63,6;1274;1274;497;1271; 39:11,277;7,4529;11,1475;20,45155;9,76128
27511480;0,585;0,875;4,134;0,772;49,6;32;49,5;50,3;63,6;1274;1274;497;1270; 39:33,926;7,4529;11,1475;20,54598;9,8044
27531481;0,585;0,871;4,121;0,768;49,6;32;49,5;50,3;63,6;1275;1273;497;1270; 39:58,32;7,45875;11,08783;20,48137;9,7536
27551482;0,592;0,881;4,115;0,768;49,6;32;49,4;50,3;63,6;1275;1273;497;1270; 40:21,452;7,548;11,21513;20,45155;9,7536
27571483;0,589;0,875;4,079;0,768;49,6;32;49,4;50,3;63,6;1274;1273;497;1270; 40:44,618;7,50386;11,13875;20,27263;9,7536
27591484;0,585;0,878;4,095;0,768;49,6;32;49,4;50,3;63,6;1275;1274;497;1271; 41:6,965;7,45875;11,18572;20,35215;9,76128
27611485;0,585;0,875;4,092;0,772;49,6;32;49,4;50,3;63,6;1274;1274;498;1270; 41:29,813;7,4529;11,1475;20,37816;9,8044
27631486;0,585;0,875;4,095;0,772;49,6;32;49,4;50,3;63,6;1275;1274;497;1271; 41:52,487;7,45875;11,1475;20,35215;9,81212
27651487;0,582;0,865;4,095;0,772;49,7;32;49,4;50,2;63,6;1275;1274;497;1271; 42:15,382;7,4205;11,0201;20,35215;9,81212
27671488;0,589;0,878;4,121;0,768;49,7;32;49,4;50,2;63,6;1275;1274;497;1270; 42:37,801;7,50975;11,18572;20,48137;9,7536
27691489;0,585;0,875;4,15;0,775;49,6;32;49,4;50,2;63,6;1275;1274;497;1270; 42:59,979;7,45875;11,1475;20,6255;9,8425
27711490;0,585;0,875;4,154;0,775;49,6;32;49,4;50,2;63,6;1274;1274;497;1271; 43:22,72;7,4529;11,1475;20,64538;9,85025
27731491;0,585;0,871;4,121;0,772;49,6;32;49,4;50,3;63,6;1275;1274;497;1271; 43:44,39;7,45875;11,09654;20,48137;9,81212
27751492;0,585;0,875;4,134;0,775;49,6;32;49,4;50,2;63,6;1275;1274;497;1270; 44:6,648;7,45875;11,1475;20,54598;9,8425
27771493;0,585;0,875;4,144;0,775;49,6;32;49,4;50,2;63,6;1274;1274;497;1270; 44:30,89;7,4529;11,1475;20,59568;9,8425
27791494;0,585;0,865;4,108;0,768;49,6;32;49,4;50,2;63,6;1275;1274;497;1271; 44:52,703;7,45875;11,0201;20,41676;9,76128
27811495;0,585;0,875;4,121;0,768;49,6;32;49,4;50,2;63,6;1275;1274;497;1271; 45:15,325;7,45875;11,1475;20,48137;9,76128
27831496;0,589;0,881;4,128;0,772;49,6;32;49,4;50,2;63,6;1274;1274;497;1270; 45:37,977;7,50386;11,22394;20,51616;9,8044
27851497;0,585;0,875;4,125;0,775;49,6;32;49,4;50,3;63,6;1275;1274;497;1271; 46:0,672;7,45875;11,1475;20,50125;9,85025
27871498;0,585;0,875;4,128;0,775;49,6;32;49,4;50,3;63,6;1274;1274;497;1271; 46:23,580;7,4529;11,1475;20,51616;9,85025
27891499;0,585;0,868;4,128;0,772;49,6;32;49,4;50,2;63,6;1275;1274;497;1271; 46:46,332;7,45875;11,05832;20,51616;9,81212
27911500;0,585;0,875;4,125;0,772;49,7;32;49,4;50,2;63,6;1274;1273;497;1270; 47:8,525;7,4529;11,13875;20,50125;9,8044
27931501;0,585;0,878;4,125;0,772;49,7;32;49,5;50,3;63,6;1274;1274;497;1271; 47:31,317;7,4529;11,18572;20,50125;9,81212
27951502;0,585;0,868;4,128;0,775;49,7;32;49,5;50,3;63,6;1275;1274;497;1270; 47:54,21;7,45875;11,05832;20,51616;9,8425
27971503;0,585;0,875;4,128;0,775;49,6;32;49,5;50,3;63,6;1275;1274;497;1270; 48:16,601;7,45875;11,1475;20,51616;9,8425
27991504;0,585;0,865;4,125;0,775;49,6;32;49,5;50,3;63,6;1275;1273;497;1270; 48:39,698;7,45875;11,01145;20,50125;9,8425
