#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"94","21-5-2015 13:26:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678115600000000/"
"94","21-5-2015 13:25:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678115400000000/"
"94","21-5-2015 13:25:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678115200000000/"
"94","21-5-2015 13:25:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678115000000000/"
"95","21-5-2015 13:24:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678114800000000/"
"94","21-5-2015 13:24:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678114600000000/"
"94","21-5-2015 13:24:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678114400000000/"
"95","21-5-2015 13:23:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678114200000000/"
"94","21-5-2015 13:23:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678114000000000/"
"94","21-5-2015 13:23:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678113800000000/"
"94","21-5-2015 13:22:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678113600000000/"
"94","21-5-2015 13:22:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678113400000000/"
"94","21-5-2015 13:22:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678113200000000/"
"94","21-5-2015 13:21:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678113000000000/"
"94","21-5-2015 13:21:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678112800000000/"
"94","21-5-2015 13:21:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678112600000000/"
"94","21-5-2015 13:20:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678112400000000/"
"94","21-5-2015 13:20:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678112200000000/"
"93","21-5-2015 13:20:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678112000000000/"
"93","21-5-2015 13:19:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678111800000000/"
"95","21-5-2015 13:19:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678111600000000/"
"93","21-5-2015 13:19:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678111400000000/"
"94","21-5-2015 13:18:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678111200000000/"
"94","21-5-2015 13:18:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678111000000000/"
"94","21-5-2015 13:18:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678110800000000/"
"94","21-5-2015 13:17:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678110600000000/"
"94","21-5-2015 13:17:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678110400000000/"
"94","21-5-2015 13:17:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678110200000000/"
"94","21-5-2015 13:16:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678110000000000/"
"94","21-5-2015 13:16:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678109800000000/"
"94","21-5-2015 13:16:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678109600000000/"
"94","21-5-2015 13:15:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678109400000000/"
"94","21-5-2015 13:15:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678109200000000/"
"94","21-5-2015 13:15:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678109000000000/"
"94","21-5-2015 13:14:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678108800000000/"
"95","21-5-2015 13:14:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678108600000000/"
"94","21-5-2015 13:14:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678108400000000/"
"94","21-5-2015 13:13:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678108200000000/"
"94","21-5-2015 13:13:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678108000000000/"
"94","21-5-2015 13:13:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678107800000000/"
"94","21-5-2015 13:12:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678107600000000/"
"94","21-5-2015 13:12:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635678107400000000/"
