#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"63","21-5-2015 12:34:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678084800000000/"
"20","21-5-2015 12:34:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678084600000000/"
"32","21-5-2015 12:34:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678084400000000/"
"0","21-5-2015 12:33:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678084200000000/"
"147","21-5-2015 12:33:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678084000000000/"
"253","21-5-2015 12:33:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678083800000000/"
"0","21-5-2015 12:32:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678083600000000/"
"20","21-5-2015 12:32:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678083400000000/"
"20","21-5-2015 12:32:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678083200000000/"
"63","21-5-2015 12:31:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678083000000000/"
"83","21-5-2015 12:31:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678082800000000/"
"19","21-5-2015 12:31:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678082600000000/"
"0","21-5-2015 12:30:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678082400000000/"
"83","21-5-2015 12:30:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678082200000000/"
"20","21-5-2015 12:30:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678082000000000/"
"0","21-5-2015 12:29:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678081800000000/"
"77","21-5-2015 12:29:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678081600000000/"
