"TimeStamp","CPU","POWER","MEM"
"21-5-2015 13:02:00","0.33","97","11.34"
"21-5-2015 13:01:40","0.28","97","11.34"
"21-5-2015 13:01:20","0.28","96","11.34"
"21-5-2015 13:01:00","0.32","96","11.34"
"21-5-2015 13:00:40","0.41","97","11.34"
"21-5-2015 13:00:20","0.68","97","11.34"
"21-5-2015 13:00:00","0.36","98","11.34"
"21-5-2015 12:59:40","0.24","96","11.34"
"21-5-2015 12:59:20","0.42","96","11.34"
"21-5-2015 12:59:00","0.4","97","11.34"
"21-5-2015 12:58:40","0.48","97","11.34"
"21-5-2015 12:58:20","0.36","96","11.34"
"21-5-2015 12:58:00","0.26","96","11.34"
"21-5-2015 12:57:40","0.34","95","11.34"
"21-5-2015 12:57:20","0.27","95","11.34"
"21-5-2015 12:57:00","0.32","95","11.34"
"21-5-2015 12:56:40","0.22","95","11.34"
"21-5-2015 12:56:20","0.27","95","11.34"
"21-5-2015 12:56:00","0.25","94","11.34"
"21-5-2015 12:55:40","0.16","95","11.34"
"21-5-2015 12:55:20","0.23","95","11.34"
"21-5-2015 12:55:00","0.11","95","11.34"
"21-5-2015 12:54:40","0.24","94","11.34"
"21-5-2015 12:54:20","0.16","95","11.34"
"21-5-2015 12:54:00","0.32","96","11.34"
"21-5-2015 12:53:40","0.54","96","11.34"
"21-5-2015 12:53:20","0.23","95","11.34"
"21-5-2015 12:53:00","0.23","95","11.34"
"21-5-2015 12:52:40","0.14","94","11.34"
"21-5-2015 12:52:20","0.34","94","11.34"
"21-5-2015 12:52:00","0.17","95","11.34"
"21-5-2015 12:51:40","0.34","96","11.34"
"21-5-2015 12:51:20","0.27","95","11.34"
"21-5-2015 12:51:00","0.29","95","11.34"
"21-5-2015 12:50:40","0.29","95","11.34"
"21-5-2015 12:50:20","0.21","95","11.34"
"21-5-2015 12:50:00","0.16","94","11.34"
"21-5-2015 12:49:40","0.32","95","11.34"
"21-5-2015 12:49:20","0.45","94","11.34"
"21-5-2015 12:49:00","0.27","95","11.34"
"21-5-2015 12:48:40","0.12","96","11.34"
"21-5-2015 12:48:20","0.57","96","11.34"
"21-5-2015 12:48:00","0.24","95","11.34"
"21-5-2015 12:47:40","0.12","95","11.34"
"21-5-2015 12:47:20","0.32","95","11.34"
"21-5-2015 12:47:00","1.34","95","11.34"
