"TimeStamp","CPU","POWER","MEM"
"7-5-2015 14:29:20","0.19","100","19.72"
"7-5-2015 14:29:00","0.89","101","19.72"
"7-5-2015 14:28:40","0.25","101","19.72"
"7-5-2015 14:28:20","0.33","101","19.72"
"7-5-2015 14:28:00","0.25","102","19.72"
"7-5-2015 14:27:40","0.23","104","19.73"
"7-5-2015 14:27:20","0.32","105","19.72"
"7-5-2015 14:27:00","0.31","102","19.72"
"7-5-2015 14:26:40","0.16","101","19.72"
"7-5-2015 14:26:20","0.27","101","19.72"
"7-5-2015 14:26:00","0.42","107","19.72"
"7-5-2015 14:25:40","2.15","109","19.72"
"7-5-2015 14:25:20","0.68","109","19.72"
"7-5-2015 14:25:00","1.01","113","19.72"
"7-5-2015 14:24:40","1.85","125","19.72"
"7-5-2015 14:24:20","5.06","132","19.72"
"7-5-2015 14:24:00","28.2","135","19.72"
"7-5-2015 14:23:40","16.64","134","19.72"
"7-5-2015 14:23:20","20.37","135","19.72"
"7-5-2015 14:23:00","21.4","135","19.72"
"7-5-2015 14:22:40","16.79","135","19.72"
"7-5-2015 14:22:20","19.42","130","19.72"
"7-5-2015 14:22:00","37.96","135","19.72"
"7-5-2015 14:21:40","27.97","134","19.72"
"7-5-2015 14:21:20","24.83","134","19.72"
"7-5-2015 14:21:00","33.25","135","19.72"
"7-5-2015 14:20:40","13.94","134","19.72"
"7-5-2015 14:20:20","12.92","126","19.72"
"7-5-2015 14:20:00","5.19","125","19.72"
"7-5-2015 14:19:40","6.71","125","19.72"
"7-5-2015 14:19:20","14.63","127","19.73"
"7-5-2015 14:19:00","17.38","134","19.72"
"7-5-2015 14:18:40","26.97","134","19.72"
"7-5-2015 14:18:20","30.61","135","19.7"
"7-5-2015 14:18:00","13.82","134","19.69"
"7-5-2015 14:17:40","53.27","135","19.67"
"7-5-2015 14:17:20","23.97","130","19.66"
"7-5-2015 14:17:00","27.25","135","19.64"
"7-5-2015 14:16:40","18.76","134","19.63"
"7-5-2015 14:16:20","17.6","134","19.61"
