"Reads","TimeStamp","Writes"
"84","21-5-2015 10:30:00","0"
"233","21-5-2015 10:29:40","0"
"84","21-5-2015 10:29:20","0"
"32","21-5-2015 10:29:00","0"
"65","21-5-2015 10:28:40","0"
"13","21-5-2015 10:28:20","0"
"19","21-5-2015 10:28:00","0"
"0","21-5-2015 10:27:40","0"
"89","21-5-2015 10:27:20","0"
"84","21-5-2015 10:27:00","0"
"0","21-5-2015 10:26:40","0"
"13","21-5-2015 10:26:20","0"
"19","21-5-2015 10:26:00","0"
"0","21-5-2015 10:25:40","0"
"147","21-5-2015 10:25:20","0"
"19","21-5-2015 10:25:00","0"
"89","21-5-2015 10:24:40","0"
"164","21-5-2015 10:24:20","0"
"96","21-5-2015 10:24:00","0"
"1","21-5-2015 10:23:40","0"
"77","21-5-2015 10:23:20","0"
"20","21-5-2015 10:23:00","0"
"0","21-5-2015 10:22:40","0"
"90","21-5-2015 10:22:20","0"
"19","21-5-2015 10:22:00","0"
"0","21-5-2015 10:21:40","0"
"84","21-5-2015 10:21:20","0"
"83","21-5-2015 10:21:00","0"
"0","21-5-2015 10:20:40","0"
"19","21-5-2015 10:20:20","0"
"20","21-5-2015 10:20:00","0"
"0","21-5-2015 10:19:40","0"
"380","21-5-2015 10:19:20","0"
"54","21-5-2015 10:19:00","0"
"2","21-5-2015 10:18:40","0"
"20","21-5-2015 10:18:20","0"
"85","21-5-2015 10:18:00","0"
"2","21-5-2015 10:17:40","0"
"90","21-5-2015 10:17:20","0"
"19","21-5-2015 10:17:00","0"
"0","21-5-2015 10:16:40","0"
"83","21-5-2015 10:16:20","0"
"20","21-5-2015 10:16:00","0"
"0","21-5-2015 10:15:40","0"
"83","21-5-2015 10:15:20","0"
"20","21-5-2015 10:15:00","0"
"64","21-5-2015 10:14:40","0"
"20","21-5-2015 10:14:20","0"
"441","21-5-2015 10:14:00","0"
"0","21-5-2015 10:13:40","0"
"144","21-5-2015 10:13:20","0"
"19","21-5-2015 10:13:00","0"
"0","21-5-2015 10:12:40","0"
"26","21-5-2015 10:12:20","0"
"20","21-5-2015 10:12:00","0"
"64","21-5-2015 10:11:40","0"
"77","21-5-2015 10:11:20","0"
"20","21-5-2015 10:11:00","0"
"0","21-5-2015 10:10:40","0"
"84","21-5-2015 10:10:20","0"
"0","21-5-2015 10:30:00","110"
"0","21-5-2015 10:29:40","39"
"0","21-5-2015 10:29:20","54"
"0","21-5-2015 10:29:00","67"
"0","21-5-2015 10:28:40","26"
"0","21-5-2015 10:28:20","44"
"0","21-5-2015 10:28:00","49"
"0","21-5-2015 10:27:40","29"
"0","21-5-2015 10:27:20","142"
"0","21-5-2015 10:27:00","53"
"0","21-5-2015 10:26:40","25"
"0","21-5-2015 10:26:20","43"
"0","21-5-2015 10:26:00","52"
"0","21-5-2015 10:25:40","30"
"0","21-5-2015 10:25:20","46"
"0","21-5-2015 10:25:00","86"
"0","21-5-2015 10:24:40","32"
"0","21-5-2015 10:24:20","57"
"0","21-5-2015 10:24:00","69"
"0","21-5-2015 10:23:40","28"
"0","21-5-2015 10:23:20","50"
"0","21-5-2015 10:23:00","57"
"0","21-5-2015 10:22:40","29"
"0","21-5-2015 10:22:20","56"
"0","21-5-2015 10:22:00","59"
"0","21-5-2015 10:21:40","30"
"0","21-5-2015 10:21:20","60"
"0","21-5-2015 10:21:00","115"
"0","21-5-2015 10:20:40","27"
"0","21-5-2015 10:20:20","56"
"0","21-5-2015 10:20:00","55"
"0","21-5-2015 10:19:40","35"
"0","21-5-2015 10:19:20","55"
"0","21-5-2015 10:19:00","75"
"0","21-5-2015 10:18:40","37"
"0","21-5-2015 10:18:20","62"
"0","21-5-2015 10:18:00","59"
"0","21-5-2015 10:17:40","81"
"0","21-5-2015 10:17:20","58"
"0","21-5-2015 10:17:00","52"
"0","21-5-2015 10:16:40","44"
"0","21-5-2015 10:16:20","53"
"0","21-5-2015 10:16:00","55"
"0","21-5-2015 10:15:40","38"
"0","21-5-2015 10:15:20","52"
"0","21-5-2015 10:15:00","113"
"0","21-5-2015 10:14:40","33"
"0","21-5-2015 10:14:20","73"
"35","21-5-2015 10:14:00","75"
"0","21-5-2015 10:13:40","26"
"0","21-5-2015 10:13:20","50"
"0","21-5-2015 10:13:00","53"
"0","21-5-2015 10:12:40","29"
"0","21-5-2015 10:12:20","59"
"0","21-5-2015 10:12:00","54"
"0","21-5-2015 10:11:40","32"
"0","21-5-2015 10:11:20","55"
"0","21-5-2015 10:11:00","54"
"0","21-5-2015 10:10:40","26"
"0","21-5-2015 10:10:20","52"
"84","21-5-2015 10:30:00","110"
"233","21-5-2015 10:29:40","39"
"84","21-5-2015 10:29:20","55"
"32","21-5-2015 10:29:00","68"
"65","21-5-2015 10:28:40","27"
"14","21-5-2015 10:28:20","44"
"19","21-5-2015 10:28:00","49"
"1","21-5-2015 10:27:40","30"
"89","21-5-2015 10:27:20","142"
"84","21-5-2015 10:27:00","54"
"0","21-5-2015 10:26:40","25"
"14","21-5-2015 10:26:20","43"
"19","21-5-2015 10:26:00","52"
"1","21-5-2015 10:25:40","30"
"148","21-5-2015 10:25:20","46"
"19","21-5-2015 10:25:00","86"
"89","21-5-2015 10:24:40","32"
