#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"101","21-5-2015 10:04:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677994400000000/"
"100","21-5-2015 10:03:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677994200000000/"
"100","21-5-2015 10:03:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677994000000000/"
"103","21-5-2015 10:03:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677993800000000/"
"119","21-5-2015 10:02:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677993600000000/"
"118","21-5-2015 10:02:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677993400000000/"
"121","21-5-2015 10:02:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677993200000000/"
"119","21-5-2015 10:01:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677993000000000/"
"119","21-5-2015 10:01:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677992800000000/"
"119","21-5-2015 10:01:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677992600000000/"
"121","21-5-2015 10:00:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677992400000000/"
"118","21-5-2015 10:00:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677992200000000/"
"119","21-5-2015 10:00:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677992000000000/"
"121","21-5-2015 9:59:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677991800000000/"
"122","21-5-2015 9:59:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677991600000000/"
"119","21-5-2015 9:59:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677991400000000/"
"121","21-5-2015 9:58:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677991200000000/"
"120","21-5-2015 9:58:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677991000000000/"
"120","21-5-2015 9:58:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677990800000000/"
"119","21-5-2015 9:57:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677990600000000/"
"118","21-5-2015 9:57:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677990400000000/"
"122","21-5-2015 9:57:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677990200000000/"
"122","21-5-2015 9:56:40","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677990000000000/"
"120","21-5-2015 9:56:20","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677989800000000/"
"123","21-5-2015 9:56:00","power.power.average","watt","Current power usage","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=power.power.average\\635677989600000000/"
