#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0","7-5-2015 12:08:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665973000000000/"
"0","7-5-2015 12:08:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665972800000000/"
"0","7-5-2015 12:07:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665972600000000/"
"0","7-5-2015 12:07:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665972400000000/"
"0","7-5-2015 12:07:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665972200000000/"
"0","7-5-2015 12:06:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665972000000000/"
"0","7-5-2015 12:06:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665971800000000/"
"0","7-5-2015 12:06:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665971600000000/"
"0","7-5-2015 12:05:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665971400000000/"
"0","7-5-2015 12:05:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","145.108.224.15","HostSystem-host-772","20","naa.600508b1001ca96f7c22259326052c21","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/LongSample=disk.write.average\naa.600508b1001ca96f7c22259326052c21\635665971200000000/"
