"Reads","TimeStamp","Writes"
"20","7-5-2015 12:08:20","0"
"33","7-5-2015 12:08:00","0"
"385","7-5-2015 12:07:40","0"
"998","7-5-2015 12:07:20","0"
"998","7-5-2015 12:07:00","0"
"1114","7-5-2015 12:06:40","0"
"953","7-5-2015 12:06:20","0"
"895","7-5-2015 12:06:00","0"
"1308","7-5-2015 12:05:40","0"
"1263","7-5-2015 12:05:20","0"
"1389","7-5-2015 12:05:00","0"
"1384","7-5-2015 12:04:40","0"
"1359","7-5-2015 12:04:20","0"
"1968","7-5-2015 12:04:00","0"
"1064","7-5-2015 12:03:40","0"
"1419","7-5-2015 12:03:20","0"
"1136","7-5-2015 12:03:00","0"
"1569","7-5-2015 12:02:40","0"
"1347","7-5-2015 12:02:20","0"
"1535","7-5-2015 12:02:00","0"
"1799","7-5-2015 12:01:40","0"
"1276","7-5-2015 12:01:20","0"
"1631","7-5-2015 12:01:00","0"
"1387","7-5-2015 12:00:40","0"
"1464","7-5-2015 12:00:20","0"
"1954","7-5-2015 12:00:00","0"
"1953","7-5-2015 11:59:40","0"
"2344","7-5-2015 11:59:20","0"
"1628","7-5-2015 11:59:00","0"
"1996","7-5-2015 11:58:40","0"
"2126","7-5-2015 11:58:20","0"
"2094","7-5-2015 11:58:00","0"
"2363","7-5-2015 11:57:40","0"
"2777","7-5-2015 11:57:20","0"
"1831","7-5-2015 11:57:00","0"
"3280","7-5-2015 11:56:40","0"
"3026","7-5-2015 11:56:20","0"
"1682","7-5-2015 11:56:00","0"
"2560","7-5-2015 11:55:40","0"
"2975","7-5-2015 11:55:20","0"
"2289","7-5-2015 11:55:00","0"
"3318","7-5-2015 11:54:40","0"
"3022","7-5-2015 11:54:20","0"
"5579","7-5-2015 11:54:00","0"
"5929","7-5-2015 11:53:40","0"
"6757","7-5-2015 11:53:20","0"
"3891","7-5-2015 11:53:00","0"
"1733","7-5-2015 11:52:40","0"
"1709","7-5-2015 11:52:20","0"
"1762","7-5-2015 11:52:00","0"
"1671","7-5-2015 11:51:40","0"
"1663","7-5-2015 11:51:20","0"
"1679","7-5-2015 11:51:00","0"
"1124","7-5-2015 11:50:40","0"
"86","7-5-2015 11:50:20","0"
"1176","7-5-2015 11:50:00","0"
"7318","7-5-2015 11:49:40","0"
"89926","7-5-2015 11:49:20","0"
"93501","7-5-2015 11:49:00","0"
"91740","7-5-2015 11:48:40","0"
"0","7-5-2015 12:08:20","49"
"0","7-5-2015 12:08:00","148"
"2","7-5-2015 12:07:40","4848"
"0","7-5-2015 12:07:20","11963"
"0","7-5-2015 12:07:00","13948"
"0","7-5-2015 12:06:40","6876"
"0","7-5-2015 12:06:20","16222"
"0","7-5-2015 12:06:00","8709"
"0","7-5-2015 12:05:40","12572"
"0","7-5-2015 12:05:20","12436"
"0","7-5-2015 12:05:00","16765"
"0","7-5-2015 12:04:40","11915"
"0","7-5-2015 12:04:20","11199"
"0","7-5-2015 12:04:00","16222"
"0","7-5-2015 12:03:40","8865"
"0","7-5-2015 12:03:20","12261"
"0","7-5-2015 12:03:00","20490"
"0","7-5-2015 12:02:40","10515"
"0","7-5-2015 12:02:20","12042"
"0","7-5-2015 12:02:00","11789"
"0","7-5-2015 12:01:40","17294"
"0","7-5-2015 12:01:20","17126"
"0","7-5-2015 12:01:00","11594"
"0","7-5-2015 12:00:40","11853"
"0","7-5-2015 12:00:20","13738"
"0","7-5-2015 12:00:00","13070"
"0","7-5-2015 11:59:40","10878"
"0","7-5-2015 11:59:20","17028"
"0","7-5-2015 11:59:00","11273"
"0","7-5-2015 11:58:40","12347"
"0","7-5-2015 11:58:20","18473"
"0","7-5-2015 11:58:00","10343"
"0","7-5-2015 11:57:40","13845"
"0","7-5-2015 11:57:20","14528"
"0","7-5-2015 11:57:00","16564"
"0","7-5-2015 11:56:40","18408"
"0","7-5-2015 11:56:20","17691"
"0","7-5-2015 11:56:00","12471"
"0","7-5-2015 11:55:40","13543"
"0","7-5-2015 11:55:20","15562"
"0","7-5-2015 11:55:00","12180"
"0","7-5-2015 11:54:40","15714"
"0","7-5-2015 11:54:20","17220"
"0","7-5-2015 11:54:00","22832"
"0","7-5-2015 11:53:40","18761"
"0","7-5-2015 11:53:20","34798"
"0","7-5-2015 11:53:00","16415"
"0","7-5-2015 11:52:40","968"
"0","7-5-2015 11:52:20","305"
"0","7-5-2015 11:52:00","176"
"0","7-5-2015 11:51:40","167"
"0","7-5-2015 11:51:20","174"
"0","7-5-2015 11:51:00","192"
"0","7-5-2015 11:50:40","71"
"0","7-5-2015 11:50:20","30"
"0","7-5-2015 11:50:00","57"
"0","7-5-2015 11:49:40","32231"
"0","7-5-2015 11:49:20","87106"
"0","7-5-2015 11:49:00","94655"
"0","7-5-2015 11:48:40","93441"
"20","7-5-2015 12:08:20","49"
"33","7-5-2015 12:08:00","148"
"388","7-5-2015 12:07:40","4848"
"998","7-5-2015 12:07:20","11963"
"999","7-5-2015 12:07:00","13949"
"1114","7-5-2015 12:06:40","6876"
"954","7-5-2015 12:06:20","16223"
"896","7-5-2015 12:06:00","8709"
"1308","7-5-2015 12:05:40","12572"
"1264","7-5-2015 12:05:20","12436"
"1389","7-5-2015 12:05:00","16765"
"1385","7-5-2015 12:04:40","11915"
"1359","7-5-2015 12:04:20","11199"
"1968","7-5-2015 12:04:00","16222"
"1064","7-5-2015 12:03:40","8866"
"1420","7-5-2015 12:03:20","12261"
"1136","7-5-2015 12:03:00","20491"
"1569","7-5-2015 12:02:40","10515"
"1348","7-5-2015 12:02:20","12043"
"1535","7-5-2015 12:02:00","11790"
"1800","7-5-2015 12:01:40","17294"
"1276","7-5-2015 12:01:20","17126"
"1631","7-5-2015 12:01:00","11594"
"1387","7-5-2015 12:00:40","11853"
"1465","7-5-2015 12:00:20","13738"
"1954","7-5-2015 12:00:00","13070"
"1953","7-5-2015 11:59:40","10878"
"2344","7-5-2015 11:59:20","17028"
"1628","7-5-2015 11:59:00","11273"
"1997","7-5-2015 11:58:40","12347"
"2126","7-5-2015 11:58:20","18473"
"2095","7-5-2015 11:58:00","10343"
"2363","7-5-2015 11:57:40","13846"
"2778","7-5-2015 11:57:20","14528"
"1832","7-5-2015 11:57:00","16564"
"3280","7-5-2015 11:56:40","18408"
"3027","7-5-2015 11:56:20","17692"
"1682","7-5-2015 11:56:00","12471"
"2561","7-5-2015 11:55:40","13543"
"2975","7-5-2015 11:55:20","15562"
"2289","7-5-2015 11:55:00","12180"
"3318","7-5-2015 11:54:40","15714"
"3023","7-5-2015 11:54:20","17220"
"5580","7-5-2015 11:54:00","22833"
"5929","7-5-2015 11:53:40","18761"
"6758","7-5-2015 11:53:20","34798"
"3891","7-5-2015 11:53:00","16416"
"1734","7-5-2015 11:52:40","968"
"1709","7-5-2015 11:52:20","305"
"1763","7-5-2015 11:52:00","176"
"1671","7-5-2015 11:51:40","168"
"1664","7-5-2015 11:51:20","174"
"1679","7-5-2015 11:51:00","193"
"1124","7-5-2015 11:50:40","71"
"86","7-5-2015 11:50:20","30"
"1176","7-5-2015 11:50:00","58"
"7319","7-5-2015 11:49:40","32231"
"89926","7-5-2015 11:49:20","87106"
"93501","7-5-2015 11:49:00","94655"
"91740","7-5-2015 11:48:40","93442"
"266","21-5-2015 10:04:00","0"
"1","21-5-2015 10:03:40","0"
"71","21-5-2015 10:03:20","0"
"20","21-5-2015 10:03:00","0"
"434","21-5-2015 10:02:40","0"
"819","21-5-2015 10:02:20","0"
"861","21-5-2015 10:02:00","0"
"1315","21-5-2015 10:01:40","0"
"963","21-5-2015 10:01:20","0"
"914","21-5-2015 10:01:00","0"
"1069","21-5-2015 10:00:40","0"
"1208","21-5-2015 10:00:20","0"
"1209","21-5-2015 10:00:00","0"
"1265","21-5-2015 9:59:40","0"
"1763","21-5-2015 9:59:20","0"
"1154","21-5-2015 9:59:00","0"
"1147","21-5-2015 9:58:40","0"
"1267","21-5-2015 9:58:20","0"
"1212","21-5-2015 9:58:00","0"
"1376","21-5-2015 9:57:40","0"
"1149","21-5-2015 9:57:20","0"
"1665","21-5-2015 9:57:00","0"
"1593","21-5-2015 9:56:40","0"
"1405","21-5-2015 9:56:20","0"
"1577","21-5-2015 9:56:00","0"
"1700","21-5-2015 9:55:40","0"
"1908","21-5-2015 9:55:20","0"
"2145","21-5-2015 9:55:00","0"
"1962","21-5-2015 9:54:40","0"
"1614","21-5-2015 9:54:20","0"
"2471","21-5-2015 9:54:00","0"
"2035","21-5-2015 9:53:40","0"
"2539","21-5-2015 9:53:20","0"
"1954","21-5-2015 9:53:00","0"
"2480","21-5-2015 9:52:40","0"
"2676","21-5-2015 9:52:20","0"
"2819","21-5-2015 9:52:00","0"
"2754","21-5-2015 9:51:40","0"
"1659","21-5-2015 9:51:20","0"
"3099","21-5-2015 9:51:00","0"
"2512","21-5-2015 9:50:40","0"
"2978","21-5-2015 9:50:20","0"
"2132","21-5-2015 9:50:00","0"
"3696","21-5-2015 9:49:40","0"
"3194","21-5-2015 9:49:20","0"
"5108","21-5-2015 9:49:00","0"
"2879","21-5-2015 9:48:40","0"
"4461","21-5-2015 9:48:20","0"
"4938","21-5-2015 9:48:00","0"
"1653","21-5-2015 9:47:40","0"
"1817","21-5-2015 9:47:20","0"
"1690","21-5-2015 9:47:00","0"
"1648","21-5-2015 9:46:40","0"
"1657","21-5-2015 9:46:20","0"
"1697","21-5-2015 9:46:00","0"
"1199","21-5-2015 9:45:40","0"
"97","21-5-2015 9:45:20","0"
"2776","21-5-2015 9:45:00","0"
"37342","21-5-2015 9:44:40","0"
"97363","21-5-2015 9:44:20","0"
"0","21-5-2015 10:04:00","74"
"0","21-5-2015 10:03:40","22"
"0","21-5-2015 10:03:20","26"
"0","21-5-2015 10:03:00","64"
"0","21-5-2015 10:02:40","4420"
"0","21-5-2015 10:02:20","13504"
"0","21-5-2015 10:02:00","12254"
"0","21-5-2015 10:01:40","14939"
"0","21-5-2015 10:01:20","7398"
"0","21-5-2015 10:01:00","10450"
"0","21-5-2015 10:00:40","12259"
"0","21-5-2015 10:00:20","11759"
"0","21-5-2015 10:00:00","8997"
"0","21-5-2015 9:59:40","11822"
"0","21-5-2015 9:59:20","12585"
"0","21-5-2015 9:59:00","9882"
"0","21-5-2015 9:58:40","9071"
"0","21-5-2015 9:58:20","14395"
"0","21-5-2015 9:58:00","13107"
"0","21-5-2015 9:57:40","9393"
"0","21-5-2015 9:57:20","10881"
"0","21-5-2015 9:57:00","13606"
"0","21-5-2015 9:56:40","21684"
"0","21-5-2015 9:56:20","15941"
"0","21-5-2015 9:56:00","13586"
"0","21-5-2015 9:55:40","13762"
"0","21-5-2015 9:55:20","10074"
"0","21-5-2015 9:55:00","13296"
"0","21-5-2015 9:54:40","10692"
"0","21-5-2015 9:54:20","12593"
"0","21-5-2015 9:54:00","15206"
"0","21-5-2015 9:53:40","13262"
"0","21-5-2015 9:53:20","11755"
"0","21-5-2015 9:53:00","17030"
"0","21-5-2015 9:52:40","14587"
"0","21-5-2015 9:52:20","14670"
"0","21-5-2015 9:52:00","18034"
"0","21-5-2015 9:51:40","15954"
"0","21-5-2015 9:51:20","9563"
"0","21-5-2015 9:51:00","17273"
"0","21-5-2015 9:50:40","18694"
"0","21-5-2015 9:50:20","10964"
"0","21-5-2015 9:50:00","16491"
"0","21-5-2015 9:49:40","20322"
"0","21-5-2015 9:49:20","16780"
"0","21-5-2015 9:49:00","20918"
"0","21-5-2015 9:48:40","14149"
"0","21-5-2015 9:48:20","23769"
"0","21-5-2015 9:48:00","17266"
"0","21-5-2015 9:47:40","1467"
"0","21-5-2015 9:47:20","191"
"0","21-5-2015 9:47:00","284"
"0","21-5-2015 9:46:40","164"
"0","21-5-2015 9:46:20","180"
"0","21-5-2015 9:46:00","188"
"0","21-5-2015 9:45:40","74"
"0","21-5-2015 9:45:20","51"
"0","21-5-2015 9:45:00","60"
"0","21-5-2015 9:44:40","64660"
"0","21-5-2015 9:44:20","82480"
"266","21-5-2015 10:04:00","74"
"1","21-5-2015 10:03:40","22"
"72","21-5-2015 10:03:20","27"
"20","21-5-2015 10:03:00","64"
"434","21-5-2015 10:02:40","4420"
"819","21-5-2015 10:02:20","13505"
"862","21-5-2015 10:02:00","12254"
"1316","21-5-2015 10:01:40","14939"
"963","21-5-2015 10:01:20","7398"
"915","21-5-2015 10:01:00","10450"
"1069","21-5-2015 10:00:40","12259"
"1208","21-5-2015 10:00:20","11759"
"1209","21-5-2015 10:00:00","8997"
"1266","21-5-2015 9:59:40","11822"
"1763","21-5-2015 9:59:20","12585"
"1154","21-5-2015 9:59:00","9882"
"1147","21-5-2015 9:58:40","9071"
"1267","21-5-2015 9:58:20","14395"
"1213","21-5-2015 9:58:00","13108"
"1376","21-5-2015 9:57:40","9393"
"1150","21-5-2015 9:57:20","10881"
"1665","21-5-2015 9:57:00","13607"
"1594","21-5-2015 9:56:40","21685"
"1406","21-5-2015 9:56:20","15941"
"1578","21-5-2015 9:56:00","13587"
"1701","21-5-2015 9:55:40","13762"
"1908","21-5-2015 9:55:20","10074"
"2146","21-5-2015 9:55:00","13296"
"1962","21-5-2015 9:54:40","10692"
"1615","21-5-2015 9:54:20","12593"
"2471","21-5-2015 9:54:00","15206"
"2035","21-5-2015 9:53:40","13262"
"2539","21-5-2015 9:53:20","11756"
"1955","21-5-2015 9:53:00","17031"
"2481","21-5-2015 9:52:40","14588"
"2676","21-5-2015 9:52:20","14670"
"2820","21-5-2015 9:52:00","18034"
"2754","21-5-2015 9:51:40","15954"
"1660","21-5-2015 9:51:20","9563"
"3099","21-5-2015 9:51:00","17274"
"2512","21-5-2015 9:50:40","18694"
"2978","21-5-2015 9:50:20","10964"
"2132","21-5-2015 9:50:00","16491"
"3697","21-5-2015 9:49:40","20322"
"3194","21-5-2015 9:49:20","16780"
"5109","21-5-2015 9:49:00","20918"
"2879","21-5-2015 9:48:40","14149"
"4462","21-5-2015 9:48:20","23769"
"4938","21-5-2015 9:48:00","17266"
"1654","21-5-2015 9:47:40","1468"
"1817","21-5-2015 9:47:20","191"
"1691","21-5-2015 9:47:00","284"
"1649","21-5-2015 9:46:40","164"
"1657","21-5-2015 9:46:20","180"
"1698","21-5-2015 9:46:00","188"
"1199","21-5-2015 9:45:40","74"
"98","21-5-2015 9:45:20","51"
"2776","21-5-2015 9:45:00","60"
"37343","21-5-2015 9:44:40","64660"
