#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"14,08","21-5-2015 11:20:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678040200000000/"
"14,08","21-5-2015 11:20:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678040000000000/"
"14,08","21-5-2015 11:19:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678039800000000/"
"14,08","21-5-2015 11:19:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678039600000000/"
"14,08","21-5-2015 11:19:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678039400000000/"
"14,09","21-5-2015 11:18:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678039200000000/"
"14,08","21-5-2015 11:18:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678039000000000/"
"14,08","21-5-2015 11:18:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678038800000000/"
"14,14","21-5-2015 11:17:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678038600000000/"
"14,08","21-5-2015 11:17:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678038400000000/"
"14,08","21-5-2015 11:17:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678038200000000/"
"14,14","21-5-2015 11:16:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678038000000000/"
"14,08","21-5-2015 11:16:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678037800000000/"
"14,08","21-5-2015 11:16:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678037600000000/"
"14,16","21-5-2015 11:15:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678037400000000/"
"14,14","21-5-2015 11:15:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678037200000000/"
"14,17","21-5-2015 11:15:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678037000000000/"
"14,29","21-5-2015 11:14:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678036800000000/"
"14,24","21-5-2015 11:14:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678036600000000/"
"14,28","21-5-2015 11:14:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678036400000000/"
"14,38","21-5-2015 11:13:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678036200000000/"
"14,34","21-5-2015 11:13:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678036000000000/"
"14,36","21-5-2015 11:13:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678035800000000/"
"14,5","21-5-2015 11:12:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678035600000000/"
"14,47","21-5-2015 11:12:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678035400000000/"
"14,49","21-5-2015 11:12:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635678035200000000/"
