"TimeStamp","CPU","POWER","MEM"
"7-5-2015 9:51:40","0.29","96","13.94"
"7-5-2015 9:51:20","0.28","95","13.94"
"7-5-2015 9:51:00","0.22","95","13.93"
"7-5-2015 9:50:40","0.17","97","13.93"
"7-5-2015 9:50:20","0.48","95","13.93"
"7-5-2015 9:50:00","0.22","96","13.91"
"7-5-2015 9:49:40","0.14","95","13.88"
"7-5-2015 9:49:20","0.1","95","13.83"
"7-5-2015 9:49:00","0.98","96","13.83"
"7-5-2015 9:48:40","0.3","95","13.83"
"7-5-2015 9:48:20","0.23","95","13.83"
"7-5-2015 9:48:00","0.18","95","13.83"
"7-5-2015 9:47:40","0.11","95","13.83"
"7-5-2015 9:47:20","0.21","95","13.83"
"7-5-2015 9:47:00","0.21","95","13.83"
"7-5-2015 9:46:40","0.18","95","13.83"
"7-5-2015 9:46:20","0.34","96","13.83"
"7-5-2015 9:46:00","0.4","96","13.83"
"7-5-2015 9:45:40","0.17","98","13.83"
"7-5-2015 9:45:20","0.55","96","13.83"
"7-5-2015 9:45:00","0.28","95","13.83"
"7-5-2015 9:44:40","0.09","96","13.83"
"7-5-2015 9:44:20","0.27","96","13.83"
"7-5-2015 9:44:00","1.03","95","13.83"
"7-5-2015 9:43:40","0.21","95","13.83"
"7-5-2015 9:43:20","0.18","96","13.9"
"7-5-2015 9:43:00","0.22","97","13.83"
"7-5-2015 9:42:40","0.26","95","13.83"
"7-5-2015 9:42:20","0.38","95","13.88"
"7-5-2015 9:42:00","0.17","95","13.83"
"7-5-2015 9:41:40","0.38","95","13.83"
"7-5-2015 9:41:20","0.17","96","13.89"
"7-5-2015 9:41:00","0.28","96","13.83"
"7-5-2015 9:40:40","1.4","96","13.86"
"7-5-2015 9:40:20","0.51","96","13.96"
"7-5-2015 9:40:00","0.3","96","13.96"
"7-5-2015 9:39:40","0.27","95","14"
"7-5-2015 9:39:20","0.09","96","14.13"
"7-5-2015 9:39:00","0.76","97","14.09"
"7-5-2015 9:38:40","0.25","95","14.14"
"7-5-2015 9:38:20","0.23","96","14.23"
"7-5-2015 9:38:00","0.36","96","14.19"
"7-5-2015 9:37:40","0.23","95","14.22"
"7-5-2015 9:37:20","0.3","94","14.33"
"7-5-2015 9:37:00","0.32","96","14.29"
"7-5-2015 9:36:40","0.26","96","14.33"
"7-5-2015 9:36:20","1.06","95","14.39"
"7-5-2015 9:36:00","0.28","96","14.34"
"7-5-2015 9:35:40","0.35","96","14.34"
"7-5-2015 9:35:20","0.36","97","14.43"
"7-5-2015 9:35:00","0.45","96","14.43"
"7-5-2015 9:34:40","0.14","95","14.47"
"7-5-2015 9:34:20","0.25","96","14.57"
"7-5-2015 9:34:00","0.21","96","14.57"
"7-5-2015 9:33:40","0.37","96","14.59"
"7-5-2015 9:33:20","0.43","94","14.7"
"7-5-2015 9:33:00","0.18","96","14.66"
"7-5-2015 9:32:40","0.33","97","14.7"
"7-5-2015 9:32:20","0.68","99","14.79"
"7-5-2015 9:32:00","0.17","98","14.73"
"21-5-2015 11:20:20","0.22","94","14.08"
"21-5-2015 11:20:00","0.13","92","14.08"
"21-5-2015 11:19:40","0.14","92","14.08"
"21-5-2015 11:19:20","0.36","92","14.08"
"21-5-2015 11:19:00","0.32","96","14.08"
"21-5-2015 11:18:40","0.42","95","14.09"
"21-5-2015 11:18:20","0.18","94","14.08"
"21-5-2015 11:18:00","0.13","94","14.08"
"21-5-2015 11:17:40","0.24","94","14.14"
"21-5-2015 11:17:20","0.39","95","14.08"
"21-5-2015 11:17:00","0.18","95","14.08"
"21-5-2015 11:16:40","0.32","95","14.14"
"21-5-2015 11:16:20","0.33","95","14.08"
"21-5-2015 11:16:00","0.25","98","14.08"
"21-5-2015 11:15:40","0.56","95","14.16"
"21-5-2015 11:15:20","0.9","95","14.14"
"21-5-2015 11:15:00","0.27","96","14.17"
