#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"27,24","7-5-2015 15:24:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666090600000000/"
"27,29","7-5-2015 15:24:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666090400000000/"
"27,24","7-5-2015 15:23:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666090200000000/"
"27,24","7-5-2015 15:23:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666090000000000/"
"27,29","7-5-2015 15:23:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666089800000000/"
"27,24","7-5-2015 15:22:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666089600000000/"
"27,24","7-5-2015 15:22:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666089400000000/"
"27,29","7-5-2015 15:22:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666089200000000/"
"27,24","7-5-2015 15:21:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666089000000000/"
"27,24","7-5-2015 15:21:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666088800000000/"
"27,28","7-5-2015 15:21:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666088600000000/"
"27,24","7-5-2015 15:20:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666088400000000/"
"27,24","7-5-2015 15:20:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666088200000000/"
"27,29","7-5-2015 15:20:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666088000000000/"
"27,24","7-5-2015 15:19:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666087800000000/"
"27,24","7-5-2015 15:19:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666087600000000/"
"27,29","7-5-2015 15:19:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666087400000000/"
"27,25","7-5-2015 15:18:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666087200000000/"
"27,24","7-5-2015 15:18:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666087000000000/"
"27,27","7-5-2015 15:18:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666086800000000/"
"27,24","7-5-2015 15:17:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666086600000000/"
"27,24","7-5-2015 15:17:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666086400000000/"
"27,26","7-5-2015 15:17:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666086200000000/"
"27,24","7-5-2015 15:16:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666086000000000/"
"27,24","7-5-2015 15:16:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666085800000000/"
"27,26","7-5-2015 15:16:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666085600000000/"
"27,24","7-5-2015 15:15:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666085400000000/"
"27,24","7-5-2015 15:15:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666085200000000/"
"27,29","7-5-2015 15:15:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666085000000000/"
"27,24","7-5-2015 15:14:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666084800000000/"
"27,24","7-5-2015 15:14:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666084600000000/"
"27,27","7-5-2015 15:14:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666084400000000/"
"27,24","7-5-2015 15:13:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666084200000000/"
"27,24","7-5-2015 15:13:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666084000000000/"
"27,27","7-5-2015 15:13:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666083800000000/"
"27,24","7-5-2015 15:12:40","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666083600000000/"
"27,24","7-5-2015 15:12:20","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666083400000000/"
"27,26","7-5-2015 15:12:00","mem.usage.average","%","Memory usage as percentage of total configured or available memory","145.108.224.15","HostSystem-host-772","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=mem.usage.average\\635666083200000000/"
