"TimeStamp","CPU","POWER","MEM"
"7-5-2015 15:24:20","1.26","102","27.24"
"7-5-2015 15:24:00","0.53","101","27.29"
"7-5-2015 15:23:40","0.18","102","27.24"
"7-5-2015 15:23:20","0.58","109","27.24"
"7-5-2015 15:23:00","2.53","110","27.29"
"7-5-2015 15:22:40","5.07","112","27.24"
"7-5-2015 15:22:20","11.28","113","27.24"
"7-5-2015 15:22:00","8.09","116","27.29"
"7-5-2015 15:21:40","1.69","116","27.24"
"7-5-2015 15:21:20","2.75","119","27.24"
"7-5-2015 15:21:00","4.88","118","27.28"
"7-5-2015 15:20:40","9.12","122","27.24"
"7-5-2015 15:20:20","5.39","122","27.24"
"7-5-2015 15:20:00","14.77","121","27.29"
"7-5-2015 15:19:40","6.92","123","27.24"
"7-5-2015 15:19:20","7.5","123","27.24"
"7-5-2015 15:19:00","26.29","124","27.29"
"7-5-2015 15:18:40","6.22","124","27.25"
"7-5-2015 15:18:20","7.3","123","27.24"
"7-5-2015 15:18:00","7.08","123","27.27"
"7-5-2015 15:17:40","4.45","123","27.24"
"7-5-2015 15:17:20","6.45","125","27.24"
"7-5-2015 15:17:00","6.55","124","27.26"
"7-5-2015 15:16:40","9.95","123","27.24"
"7-5-2015 15:16:20","8.51","124","27.24"
"7-5-2015 15:16:00","18.49","124","27.26"
"7-5-2015 15:15:40","5.99","123","27.24"
"7-5-2015 15:15:20","28.86","126","27.24"
"7-5-2015 15:15:00","7.59","125","27.29"
"7-5-2015 15:14:40","7.93","123","27.24"
"7-5-2015 15:14:20","6.97","127","27.24"
"7-5-2015 15:14:00","11.21","125","27.27"
"7-5-2015 15:13:40","12.86","125","27.24"
"7-5-2015 15:13:20","8.63","126","27.24"
"7-5-2015 15:13:00","17.17","118","27.27"
"7-5-2015 15:12:40","10.6","128","27.24"
"7-5-2015 15:12:20","3.8","128","27.24"
"7-5-2015 15:12:00","27.92","128","27.26"
"7-5-2015 15:11:40","10.73","126","27.24"
"7-5-2015 15:11:20","15.33","102","27.24"
"7-5-2015 15:11:00","0.35","105","27.27"
"7-5-2015 15:10:40","2.86","122","27.24"
"7-5-2015 15:10:20","21.21","120","27.24"
"7-5-2015 15:10:00","4.78","115","27.27"
"7-5-2015 15:09:40","11.73","112","27.24"
"7-5-2015 15:24:20","0.9","127","27.24"
"7-5-2015 15:24:00","0.91","125","27.24"
"7-5-2015 15:23:40","0.44","125","27.27"
"7-5-2015 15:23:20","0.62","126","27.24"
"7-5-2015 15:23:00","10.34","118","27.24"
"7-5-2015 15:22:40","8.08","128","27.26"
"7-5-2015 15:22:20","2.71","128","27.24"
"7-5-2015 15:22:00","3.37","128","27.24"
"7-5-2015 15:21:40","2.15","126","27.27"
"7-5-2015 15:21:20","5.9","102","27.24"
"7-5-2015 15:21:00","3.43","105","27.24"
"7-5-2015 15:20:40","27.38","122","27.27"
"7-5-2015 15:20:20","13.18","120","27.24"
"7-5-2015 15:20:00","4.82","115","27.27"
"7-5-2015 15:19:40","21.85","112","27.24"
"21-5-2015 12:01:20","0.3","95","26.89"
"21-5-2015 12:01:00","0.11","95","26.9"
"21-5-2015 12:00:40","0.16","96","26.89"
"21-5-2015 12:00:20","0.21","97","26.89"
"21-5-2015 12:00:00","0.33","96","26.89"
"21-5-2015 11:59:40","0.34","96","26.89"
"21-5-2015 11:59:20","0.27","96","26.89"
"21-5-2015 11:59:00","0.24","96","26.89"
"21-5-2015 11:58:40","0.25","96","26.89"
"21-5-2015 11:58:20","0.49","96","26.89"
"21-5-2015 11:58:00","0.2","96","26.89"
"21-5-2015 11:57:40","0.35","96","26.89"
"21-5-2015 11:57:20","0.4","100","26.89"
"21-5-2015 11:57:00","0.37","103","26.9"
"21-5-2015 11:56:40","3.36","102","26.89"
"21-5-2015 11:56:20","2.62","106","26.89"
"21-5-2015 11:56:00","2.49","113","26.89"
"21-5-2015 11:55:40","1.31","103","26.89"
"21-5-2015 11:55:20","0.93","102","26.89"
"21-5-2015 11:55:00","0.36","111","26.89"
"21-5-2015 11:54:40","4.07","115","26.89"
"21-5-2015 11:54:20","4.27","116","26.89"
"21-5-2015 11:54:00","6.04","118","26.89"
"21-5-2015 11:53:40","7.54","110","26.89"
"21-5-2015 11:53:20","2.56","101","26.89"
"21-5-2015 11:53:00","0.73","112","26.9"
"21-5-2015 11:52:40","8.5","122","26.89"
"21-5-2015 11:52:20","6.47","124","26.89"
"21-5-2015 11:52:00","10.34","106","26.89"
"21-5-2015 11:51:40","1.52","102","26.89"
"21-5-2015 11:51:20","1.83","119","26.89"
"21-5-2015 11:51:00","3.13","123","26.89"
"21-5-2015 11:50:40","2.83","123","26.89"
"21-5-2015 11:50:20","2.81","122","26.89"
"21-5-2015 11:50:00","17.47","122","26.89"
"21-5-2015 11:49:40","41.33","123","26.89"
"21-5-2015 11:49:20","7.8","122","26.89"
"21-5-2015 11:49:00","7.7","124","26.89"
"21-5-2015 11:48:40","13.01","122","26.89"
"21-5-2015 11:48:20","7.88","124","26.89"
"21-5-2015 11:48:00","19.2","122","26.89"
"21-5-2015 11:47:40","10.1","124","26.89"
"21-5-2015 11:47:20","4.7","122","26.89"
"21-5-2015 11:47:00","4.08","123","26.89"
"21-5-2015 11:46:40","33.65","124","26.89"
"21-5-2015 12:01:20","0.21","119","26.89"
"21-5-2015 12:01:00","0.35","123","26.89"
"21-5-2015 12:00:40","0.21","123","26.89"
"21-5-2015 12:00:20","0.46","122","26.89"
"21-5-2015 12:00:00","0.51","122","26.89"
"21-5-2015 11:59:40","0.33","123","26.89"
"21-5-2015 11:59:20","0.22","122","26.89"
"21-5-2015 11:59:00","0.25","124","26.89"
"21-5-2015 11:58:40","0.16","122","26.89"
