;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
39988499; 0.582; 0.861; 4.108; 0.782; 49.6; 32.1; 49.4; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1271.0; 6:29.66
40008500; 0.582; 0.861; 4.105; 0.782; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 6:50.825
40028501; 0.582; 0.861; 4.125; 0.782; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 7:12.102
40048502; 0.582; 0.861; 4.128; 0.782; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 7:35.297
40068503; 0.585; 0.865; 4.108; 0.778; 49.6; 32.1; 49.3; 50.1; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 7:56.276
40088504; 0.589; 0.871; 4.095; 0.775; 49.6; 32.1; 49.3; 50.1; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 8:17.413
40108505; 0.582; 0.861; 4.157; 0.785; 49.6; 32.2; 49.3; 50.1; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 8:39.334
40128506; 0.582; 0.865; 4.102; 0.778; 49.6; 32.1; 49.3; 50.1; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 9:0.955
40148507; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 9:22.726
40168508; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.1; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 9:44.505
40188509; 0.582; 0.861; 4.095; 0.782; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 10:6.270
40208510; 0.582; 0.861; 4.095; 0.782; 49.6; 32.1; 49.3; 50.1; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 10:28.48
40228511; 0.582; 0.865; 4.102; 0.782; 49.6; 32.1; 49.3; 50.1; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 10:49.813
40248512; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 11:12.212
40268513; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 11:33.359
40288514; 0.582; 0.861; 4.095; 0.778; 49.6; 32.1; 49.3; 50.1; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 11:55.131
40308515; 0.582; 0.865; 4.121; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 12:17.186
40328516; 0.582; 0.861; 4.112; 0.782; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 12:39.493
40348517; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 13:1.4
40368518; 0.582; 0.865; 4.095; 0.775; 49.6; 32.1; 49.3; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1271.0; 13:22.321
40388519; 0.585; 0.871; 4.154; 0.782; 49.6; 32.1; 49.3; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 13:45.399
40408520; 0.582; 0.865; 4.099; 0.778; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 14:6.426
40428521; 0.582; 0.861; 4.102; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 14:27.909
40448522; 0.582; 0.865; 4.099; 0.778; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 14:49.310
40468523; 0.582; 0.865; 4.095; 0.775; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 15:11.393
40488524; 0.582; 0.865; 4.095; 0.775; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 15:34.580
40508525; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 15:55.481
40528526; 0.582; 0.861; 4.108; 0.782; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 16:18.275
40548527; 0.582; 0.861; 4.108; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 16:39.803
40568528; 0.582; 0.865; 4.154; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 17:0.953
40588529; 0.582; 0.865; 4.16; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 17:23.503
40608530; 0.582; 0.861; 4.16; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 17:44.724
40628531; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 18:7.53
40648532; 0.582; 0.865; 4.095; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 18:28.359
40668533; 0.585; 0.868; 4.16; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1271.0; 18:51.113
40688534; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 19:11.910
40708535; 0.582; 0.861; 4.099; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 19:33.526
40728536; 0.585; 0.865; 4.099; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 19:54.764
40748537; 0.582; 0.861; 4.099; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 20:16.453
40768538; 0.582; 0.861; 4.102; 0.775; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 20:41.257
40788539; 0.582; 0.865; 4.102; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 21:2.416
40808540; 0.582; 0.861; 4.099; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 21:24.376
40828541; 0.582; 0.861; 4.095; 0.775; 49.5; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 21:46.194
40848542; 0.582; 0.861; 4.128; 0.778; 49.5; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 22:6.935
40868543; 0.582; 0.861; 4.128; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 22:29.281
40888544; 0.582; 0.861; 4.128; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 22:50.320
40908545; 0.582; 0.865; 4.095; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 23:11.488
40928546; 0.582; 0.861; 4.125; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 23:32.225
40948547; 0.585; 0.868; 4.125; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 23:53.622
40968548; 0.582; 0.861; 4.102; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 24:16.242
40988549; 0.582; 0.861; 4.102; 0.778; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 24:38.883
41008550; 0.582; 0.865; 4.102; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 24:59.901
41028551; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 25:21.633
41048552; 0.582; 0.861; 4.095; 0.775; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 25:42.568
