;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
36702210; 0.746; 1.129; 4.121; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 11:42.740
36722211; 0.785; 1.284; 4.157; 0.785; 49.5; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 12:5.398
36742212; 0.775; 1.204; 4.154; 0.785; 49.5; 32.1; 49.4; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 12:26.617
36762213; 0.755; 1.158; 4.154; 0.782; 49.6; 32.2; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 12:48.723
36782214; 0.768; 1.191; 4.125; 0.782; 49.6; 32.2; 49.3; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 13:10.776
36802215; 1.39; 3.006; 4.303; 0.775; 49.5; 32.2; 49.4; 50.2; 63.5; 1270.0; 1268.0; 497.0; 1268.0; 13:32.336
36822216; 0.788; 1.297; 4.141; 0.772; 49.5; 32.2; 49.3; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 13:53.703
36842217; 0.785; 1.287; 4.121; 0.775; 49.5; 32.2; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 14:15.39
36862218; 0.788; 1.363; 4.128; 0.811; 49.5; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 14:36.455
36882219; 0.611; 0.911; 4.128; 0.782; 49.5; 32.2; 49.4; 50.2; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 14:58.225
36902220; 0.589; 0.884; 4.121; 0.778; 49.5; 32.2; 49.4; 50.2; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 15:20.167
36922221; 0.589; 0.884; 4.121; 0.778; 49.5; 32.2; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 15:43.460
36942222; 0.589; 0.881; 4.134; 0.778; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1273.0; 497.0; 1270.0; 16:5.258
36962223; 0.585; 0.875; 4.128; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 16:26.833
36982224; 0.589; 0.881; 4.144; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 16:48.773
37002225; 0.589; 0.884; 4.16; 0.782; 49.5; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 17:11.262
37022226; 0.585; 0.875; 4.16; 0.782; 49.6; 32.1; 49.3; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 17:33.88
37042227; 0.585; 0.875; 4.144; 0.782; 49.6; 32.2; 49.3; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 17:55.466
37062228; 0.585; 0.875; 4.125; 0.782; 49.6; 32.2; 49.3; 50.1; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 18:17.173
37082229; 0.585; 0.878; 4.157; 0.782; 49.6; 32.2; 49.3; 50.1; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 18:39.322
37102230; 0.589; 0.881; 4.144; 0.782; 49.6; 32.2; 49.3; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 19:1.339
