;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
32316119; 0.791; 1.389; 4.134; 0.775; 49.6; 32.2; 49.3; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 58:36.460
32336120; 0.791; 1.376; 4.141; 0.772; 49.6; 32.2; 49.3; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 59:0.310
32356121; 0.791; 1.386; 4.128; 0.772; 49.6; 32.2; 49.3; 50.2; 63.5; 1273.0; 1271.0; 497.0; 1269.0; 59:22.48
32376122; 0.791; 1.383; 4.121; 0.772; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 59:43.860
32396123; 0.791; 1.383; 4.121; 0.772; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 0:6.753
32416124; 0.791; 1.369; 4.121; 0.772; 49.7; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 0:28.731
32436125; 0.791; 1.376; 4.121; 0.768; 49.7; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 0:50.560
32456126; 0.791; 1.389; 4.125; 0.768; 49.7; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 1:13.158
32476127; 0.791; 1.393; 4.121; 0.768; 49.7; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 1:35.28
32496128; 0.791; 1.386; 4.134; 0.772; 49.6; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 1:57.300
32516129; 0.795; 1.439; 4.403; 0.775; 49.6; 32.2; 49.4; 50.2; 63.5; 1273.0; 1272.0; 496.0; 1269.0; 2:19.218
32536130; 0.752; 1.181; 4.141; 0.775; 49.7; 32.2; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 2:41.492
32556131; 0.651; 0.96; 4.144; 0.782; 49.6; 32.2; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 3:3.151
32576132; 0.67; 0.987; 4.144; 0.782; 49.6; 32.2; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 3:25.419
32596133; 0.661; 0.98; 4.144; 0.778; 49.6; 32.2; 49.4; 50.2; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 3:47.267
32616134; 0.634; 0.937; 4.134; 0.785; 49.6; 32.2; 49.4; 50.2; 63.5; 1274.0; 1274.0; 497.0; 1270.0; 4:9.341
32636135; 0.634; 0.931; 4.128; 0.785; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 4:31.592
32656136; 0.638; 0.941; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 4:54.301
32676137; 0.644; 0.947; 4.154; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 5:16.203
32696138; 0.615; 0.907; 4.144; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 5:37.464
32716139; 0.621; 0.917; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 5:59.94
32736140; 0.661; 0.97; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 6:21.155
32756141; 0.625; 0.921; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 6:42.764
32776142; 0.625; 0.917; 4.121; 0.785; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 7:4.482
32796143; 0.585; 0.878; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 7:25.897
32816144; 0.585; 0.881; 4.128; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 7:47.403
32836145; 0.585; 0.878; 4.125; 0.778; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1271.0; 8:9.442
32856146; 0.585; 0.878; 4.144; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 8:31.992
32876147; 0.585; 0.871; 4.16; 0.785; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1271.0; 8:53.612
32896148; 0.585; 0.878; 4.154; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 9:16.647
32916149; 0.585; 0.878; 4.134; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 9:38.505
32936150; 0.585; 0.875; 4.108; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 9:59.890
32956151; 0.589; 0.881; 4.125; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1270.0; 10:21.698
32976152; 0.592; 0.884; 4.121; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 10:43.472
32996153; 0.585; 0.868; 4.115; 0.785; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 11:4.931
33016154; 0.585; 0.875; 4.131; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 11:26.732
33036155; 0.585; 0.878; 4.115; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 11:49.549
33056156; 0.585; 0.875; 4.121; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 12:11.359
33076157; 0.589; 0.881; 4.125; 0.782; 49.6; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 12:32.816
33096158; 0.589; 0.878; 4.15; 0.782; 49.6; 32.1; 49.4; 50.2; 63.5; 1275.0; 1274.0; 497.0; 1270.0; 12:55.21
33116159; 0.585; 0.878; 4.154; 0.782; 49.6; 32.1; 49.4; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1271.0; 13:18.296
33136160; 0.592; 0.884; 4.144; 0.775; 49.5; 32.1; 49.4; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 13:39.727
33156161; 0.585; 0.875; 4.141; 0.775; 49.5; 32.1; 49.3; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 14:1.238
33176162; 0.585; 0.878; 4.141; 0.778; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 14:22.628
33196163; 0.585; 0.875; 4.144; 0.778; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 14:44.148
33216164; 0.585; 0.875; 4.128; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 15:6.363
33236165; 0.602; 0.891; 4.144; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 15:28.138
33256166; 0.589; 0.881; 4.154; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 15:52.116
33276167; 0.585; 0.878; 4.15; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1273.0; 497.0; 1270.0; 16:14.358
33296168; 0.585; 0.878; 4.154; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 16:35.686
33316169; 0.585; 0.875; 4.154; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1274.0; 1273.0; 497.0; 1271.0; 16:57.524
33336170; 0.585; 0.878; 4.16; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1270.0; 17:19.541
33356171; 0.585; 0.875; 4.154; 0.782; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 17:41.597
33376172; 0.585; 0.875; 4.154; 0.778; 49.5; 32.1; 49.3; 50.2; 63.6; 1275.0; 1274.0; 497.0; 1271.0; 18:2.836
33396173; 0.585; 0.875; 4.144; 0.775; 49.6; 32.1; 49.3; 50.2; 63.6; 1274.0; 1274.0; 497.0; 1270.0; 18:24.670
