;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
41033206; 0.592; 0.878; 4.944; 0.775; 49.5; 32.5; 49.1; 49.9; 63.5; 1274.0; 1273.0; 495.0; 1270.0; 23:53.751
41053207; 0.791; 1.419; 4.374; 0.775; 49.5; 32.5; 49.2; 49.9; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 24:17.415
41073208; 1.436; 2.732; 4.128; 0.818; 49.5; 32.5; 49.3; 49.9; 63.4; 1270.0; 1268.0; 497.0; 1267.0; 24:40.742
41093209; 1.442; 2.805; 4.128; 0.824; 49.5; 32.5; 49.3; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 25:3.389
41113210; 1.442; 2.831; 4.128; 0.818; 49.5; 32.5; 49.3; 49.9; 63.3; 1269.0; 1267.0; 497.0; 1267.0; 25:25.302
41133211; 1.445; 2.848; 4.125; 0.814; 49.4; 32.6; 49.3; 49.9; 63.3; 1269.0; 1267.0; 497.0; 1267.0; 25:49.351
41153212; 1.445; 2.864; 4.128; 0.818; 49.4; 32.6; 49.3; 49.9; 63.3; 1270.0; 1267.0; 497.0; 1268.0; 26:14.621
41173213; 1.455; 2.894; 4.125; 0.818; 49.4; 32.6; 49.3; 49.9; 63.3; 1269.0; 1267.0; 497.0; 1268.0; 26:39.368
41193214; 1.458; 2.894; 4.125; 0.804; 49.4; 32.6; 49.3; 49.9; 63.3; 1269.0; 1267.0; 497.0; 1268.0; 27:1.853
41213215; 1.462; 2.914; 4.125; 0.804; 49.3; 32.6; 49.3; 49.9; 63.3; 1270.0; 1267.0; 497.0; 1268.0; 27:24.55
41233216; 1.462; 2.924; 4.128; 0.804; 49.3; 32.6; 49.2; 49.9; 63.3; 1270.0; 1268.0; 497.0; 1268.0; 27:47.534
41253217; 1.468; 2.93; 4.125; 0.798; 49.3; 32.7; 49.2; 49.9; 63.3; 1269.0; 1267.0; 497.0; 1268.0; 28:10.373
41273218; 1.426; 2.732; 4.115; 0.785; 49.3; 32.7; 49.2; 49.8; 63.3; 1270.0; 1268.0; 497.0; 1268.0; 28:33.875
41293219; 1.403; 2.607; 4.102; 0.778; 49.3; 32.7; 49.1; 49.8; 63.3; 1271.0; 1269.0; 497.0; 1268.0; 28:58.302
41313220; 1.403; 2.62; 4.099; 0.778; 49.3; 32.7; 49.1; 49.8; 63.4; 1271.0; 1269.0; 497.0; 1268.0; 29:21.764
41333221; 1.409; 2.643; 4.108; 0.778; 49.3; 32.7; 49.1; 49.8; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 29:44.290
41353222; 1.468; 2.96; 4.128; 0.795; 49.3; 32.7; 49.1; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 30:9.576
41373223; 1.472; 2.993; 4.141; 0.814; 49.3; 32.7; 49.1; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 30:34.336
41393224; 1.475; 3.0; 4.218; 0.85; 49.3; 32.7; 49.0; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 31:0.661
41413225; 1.475; 3.006; 4.209; 0.837; 49.2; 32.8; 49.0; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 31:24.190
41433226; 1.472; 3.016; 4.209; 0.84; 49.2; 32.8; 49.0; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 31:49.29
41453227; 1.472; 3.016; 4.183; 0.834; 49.2; 32.8; 49.0; 49.8; 63.5; 1269.0; 1267.0; 497.0; 1267.0; 32:11.160
41473228; 1.472; 3.01; 4.154; 0.814; 49.2; 32.8; 49.0; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 32:35.653
41493229; 1.472; 3.019; 4.141; 0.808; 49.2; 32.8; 49.0; 49.8; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 32:58.961
41513230; 1.468; 3.01; 4.144; 0.801; 49.2; 32.8; 49.0; 49.8; 63.5; 1269.0; 1267.0; 497.0; 1268.0; 33:21.340
41533231; 1.472; 3.029; 4.196; 0.84; 49.2; 32.8; 49.1; 49.8; 63.5; 1269.0; 1267.0; 497.0; 1267.0; 33:44.548
41553232; 1.462; 2.963; 4.196; 0.827; 49.2; 32.9; 49.1; 49.8; 63.5; 1269.0; 1267.0; 497.0; 1268.0; 34:7.123
41573233; 1.403; 2.653; 4.134; 0.778; 49.2; 32.8; 49.1; 49.8; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 34:29.778
41593234; 1.403; 2.653; 4.134; 0.778; 49.2; 32.8; 49.1; 49.8; 63.5; 1270.0; 1269.0; 497.0; 1269.0; 34:52.262
41613235; 1.403; 2.637; 4.137; 0.778; 49.2; 32.8; 49.1; 49.8; 63.5; 1270.0; 1269.0; 497.0; 1268.0; 35:16.29
41633236; 1.455; 2.888; 4.176; 0.804; 49.2; 32.8; 49.1; 49.8; 63.4; 1269.0; 1268.0; 497.0; 1268.0; 35:39.346
41653237; 1.475; 3.0; 4.176; 0.827; 49.2; 32.8; 49.2; 49.8; 63.5; 1269.0; 1267.0; 497.0; 1268.0; 36:1.974
41673238; 1.472; 2.986; 4.16; 0.821; 49.2; 32.8; 49.2; 49.9; 63.5; 1269.0; 1267.0; 497.0; 1267.0; 36:27.91
41693239; 1.472; 2.986; 4.167; 0.824; 49.3; 32.8; 49.2; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1268.0; 36:49.833
41713240; 1.472; 2.986; 4.176; 0.827; 49.3; 32.8; 49.2; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 37:12.613
41733241; 1.475; 2.973; 4.176; 0.827; 49.3; 32.8; 49.2; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 37:35.87
41753242; 1.472; 2.97; 4.183; 0.831; 49.3; 32.8; 49.2; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 37:57.176
41773243; 1.472; 2.97; 4.183; 0.831; 49.3; 32.8; 49.3; 49.9; 63.5; 1269.0; 1267.0; 497.0; 1267.0; 38:19.251
41793244; 1.472; 2.95; 4.183; 0.834; 49.3; 32.8; 49.3; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 38:41.370
41813245; 1.475; 2.963; 4.167; 0.831; 49.3; 32.8; 49.3; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 39:5.64
41833246; 1.475; 2.973; 4.167; 0.831; 49.3; 32.8; 49.3; 49.9; 63.4; 1269.0; 1267.0; 497.0; 1267.0; 39:27.881
41853247; 1.409; 2.647; 4.128; 0.782; 49.3; 32.8; 49.3; 49.9; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 39:50.494
41873248; 1.39; 2.488; 4.137; 0.778; 49.3; 32.8; 49.3; 49.9; 63.4; 1271.0; 1269.0; 497.0; 1269.0; 40:12.511
41893249; 0.795; 1.452; 4.299; 0.788; 49.3; 32.8; 49.3; 49.9; 63.4; 1273.0; 1272.0; 497.0; 1269.0; 40:34.469
41913250; 0.795; 1.445; 4.299; 0.782; 49.3; 32.7; 49.2; 49.9; 63.4; 1273.0; 1271.0; 497.0; 1269.0; 40:56.648
41933251; 0.795; 1.462; 4.299; 0.778; 49.3; 32.7; 49.2; 49.9; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 41:18.889
41953252; 0.589; 0.888; 4.964; 0.778; 49.3; 32.7; 49.2; 49.9; 63.4; 1274.0; 1273.0; 495.0; 1270.0; 41:40.758
41973253; 0.598; 0.894; 4.931; 0.778; 49.3; 32.6; 49.2; 49.9; 63.3; 1274.0; 1273.0; 495.0; 1270.0; 42:3.77
41993254; 0.589; 0.881; 4.973; 0.778; 49.3; 32.6; 49.1; 49.9; 63.4; 1274.0; 1273.0; 495.0; 1270.0; 42:25.17
42013255; 0.589; 0.881; 4.928; 0.778; 49.3; 32.6; 49.1; 49.9; 63.3; 1274.0; 1273.0; 495.0; 1270.0; 42:46.672
42033256; 0.589; 0.881; 4.944; 0.775; 49.3; 32.6; 49.1; 49.9; 63.4; 1274.0; 1273.0; 495.0; 1270.0; 43:8.910
42053257; 0.592; 0.881; 4.925; 0.778; 49.3; 32.6; 49.1; 49.9; 63.4; 1274.0; 1273.0; 495.0; 1270.0; 43:31.375
42073258; 0.589; 0.875; 4.915; 0.775; 49.3; 32.6; 49.0; 49.9; 63.3; 1274.0; 1273.0; 495.0; 1270.0; 43:53.422
42093259; 0.589; 0.878; 4.922; 0.775; 49.3; 32.5; 49.0; 49.9; 63.3; 1274.0; 1273.0; 495.0; 1270.0; 44:15.948
