;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
34909423; 0.667; 0.98; 4.134; 0.778; 49.7; 32.2; 49.5; 50.2; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 41:49.975
34929424; 0.798; 1.436; 4.141; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1272.0; 1270.0; 497.0; 1269.0; 42:14.485
34949425; 1.207; 2.185; 4.137; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1271.0; 1270.0; 497.0; 1269.0; 42:35.617
34969426; 1.419; 2.353; 4.137; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 42:56.874
34989427; 1.436; 2.429; 4.141; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1271.0; 1269.0; 497.0; 1268.0; 43:19.461
35009428; 1.442; 2.442; 4.141; 0.778; 49.7; 32.2; 49.6; 50.3; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 43:40.349
35029429; 1.462; 2.498; 4.141; 0.775; 49.6; 32.3; 49.5; 50.3; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 44:1.118
35049430; 1.491; 2.534; 4.134; 0.778; 49.6; 32.3; 49.5; 50.2; 63.3; 1270.0; 1268.0; 497.0; 1268.0; 44:22.159
35069431; 1.481; 2.544; 4.134; 0.775; 49.6; 32.3; 49.5; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 44:43.665
35089432; 1.462; 2.528; 4.144; 0.778; 49.6; 32.3; 49.4; 50.2; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 45:5.438
35109433; 1.472; 2.554; 4.154; 0.778; 49.6; 32.3; 49.4; 50.2; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 45:27.211
35129434; 1.465; 2.548; 4.141; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 45:48.982
35149435; 1.478; 2.577; 4.141; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 46:17.649
35169436; 1.452; 2.548; 4.144; 0.778; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 46:49.167
35189437; 1.458; 2.564; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 47:21.281
35209438; 1.452; 2.558; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 47:53.810
35229439; 1.462; 2.577; 4.163; 0.778; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1269.0; 48:15.934
35249440; 1.455; 2.571; 4.141; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 48:37.169
35269441; 1.462; 2.591; 4.144; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 48:58.199
35289442; 1.452; 2.577; 4.154; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 49:19.453
35309443; 1.458; 2.574; 4.154; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 49:40.668
35329444; 1.445; 2.554; 4.144; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 50:2.121
35349445; 1.458; 2.564; 4.144; 0.775; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 50:23.621
35369446; 1.455; 2.571; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 50:44.877
35389447; 1.449; 2.564; 4.144; 0.778; 49.5; 32.4; 49.5; 50.3; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 51:5.922
35409448; 0.791; 1.422; 4.141; 0.775; 49.5; 32.3; 49.5; 50.3; 63.4; 1273.0; 1271.0; 497.0; 1269.0; 51:28.347
35429449; 0.788; 1.33; 4.141; 0.778; 49.5; 32.3; 49.5; 50.3; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 51:50.144
35449450; 1.455; 2.564; 4.154; 0.778; 49.5; 32.3; 49.5; 50.3; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 52:11.739
35469451; 1.449; 2.525; 4.134; 0.778; 49.5; 32.3; 49.5; 50.3; 63.5; 1270.0; 1269.0; 497.0; 1268.0; 52:33.356
35489452; 0.801; 1.541; 4.141; 0.778; 49.5; 32.3; 49.5; 50.3; 63.5; 1272.0; 1270.0; 497.0; 1269.0; 52:54.605
35509453; 0.788; 1.366; 4.141; 0.775; 49.6; 32.3; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 53:15.896
35529454; 0.795; 1.412; 4.144; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1269.0; 53:37.156
35549455; 1.39; 2.36; 4.141; 0.775; 49.6; 32.2; 49.5; 50.3; 63.5; 1271.0; 1270.0; 497.0; 1268.0; 53:58.365
35569456; 0.978; 2.115; 4.141; 0.775; 49.6; 32.2; 49.5; 50.3; 63.4; 1271.0; 1270.0; 497.0; 1269.0; 54:20.5
35589457; 0.867; 1.802; 4.134; 0.775; 49.6; 32.2; 49.5; 50.3; 63.5; 1272.0; 1270.0; 497.0; 1269.0; 54:43.572
35609458; 0.791; 1.406; 4.128; 0.775; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1271.0; 497.0; 1269.0; 55:4.444
35629459; 0.788; 1.34; 4.134; 0.775; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 55:26.743
35649460; 0.795; 1.452; 4.137; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 55:48.99
35669461; 0.798; 1.455; 4.141; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 56:9.465
35689462; 0.791; 1.369; 4.144; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1269.0; 56:30.819
35709463; 0.788; 1.33; 4.137; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 56:51.807
35729464; 0.697; 1.023; 4.134; 0.778; 49.6; 32.2; 49.5; 50.3; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 57:14.93
35749465; 0.589; 0.881; 4.141; 0.782; 49.6; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1271.0; 57:35.292
35769466; 0.589; 0.881; 4.128; 0.778; 49.6; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 57:57.664
35789467; 0.589; 0.884; 4.144; 0.785; 49.6; 32.1; 49.5; 50.3; 63.4; 1274.0; 1274.0; 497.0; 1270.0; 58:18.679
35809468; 0.585; 0.875; 4.144; 0.788; 49.7; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 58:40.537
35829469; 0.589; 0.881; 4.128; 0.788; 49.7; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 59:1.647
35849470; 0.589; 0.881; 4.141; 0.782; 49.7; 32.1; 49.6; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 59:22.627
35869471; 0.585; 0.875; 4.141; 0.782; 49.7; 32.0; 49.6; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 59:43.902
35889472; 0.589; 0.881; 4.144; 0.785; 49.7; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 0:5.307
35909473; 0.585; 0.875; 4.141; 0.785; 49.7; 32.0; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 0:27.395
35929474; 0.585; 0.868; 4.144; 0.785; 49.7; 32.0; 49.5; 50.3; 63.3; 1275.0; 1274.0; 497.0; 1270.0; 0:48.741
