#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,05","21-5-2015 13:02:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678101400000000/"
"0,09","21-5-2015 13:02:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678101200000000/"
"0,08","21-5-2015 13:01:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678101000000000/"
"0,06","21-5-2015 13:01:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678100800000000/"
"0,08","21-5-2015 13:01:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678100600000000/"
"0,03","21-5-2015 13:00:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678100400000000/"
"0,1","21-5-2015 13:00:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678100200000000/"
"0,06","21-5-2015 13:00:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678100000000000/"
"0,08","21-5-2015 12:59:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678099800000000/"
"0,06","21-5-2015 12:59:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678099600000000/"
"0,14","21-5-2015 12:59:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678099400000000/"
"0,07","21-5-2015 12:58:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678099200000000/"
"0,09","21-5-2015 12:58:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678099000000000/"
"0,06","21-5-2015 12:58:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678098800000000/"
"0,07","21-5-2015 12:57:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678098600000000/"
"0,06","21-5-2015 12:57:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678098400000000/"
"0,1","21-5-2015 12:57:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678098200000000/"
"0,06","21-5-2015 12:56:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678098000000000/"
"0,08","21-5-2015 12:56:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678097800000000/"
"0,04","21-5-2015 12:56:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678097600000000/"
"0,1","21-5-2015 12:55:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678097400000000/"
"0,05","21-5-2015 12:55:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678097200000000/"
"0,06","21-5-2015 12:55:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678097000000000/"
"0,08","21-5-2015 12:54:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678096800000000/"
"0,06","21-5-2015 12:54:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678096600000000/"
"0,08","21-5-2015 12:54:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678096400000000/"
"0,07","21-5-2015 12:53:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678096200000000/"
"0,06","21-5-2015 12:53:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678096000000000/"
"0,1","21-5-2015 12:53:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678095800000000/"
"0,08","21-5-2015 12:52:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678095600000000/"
"0,07","21-5-2015 12:52:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678095400000000/"
"0,05","21-5-2015 12:52:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678095200000000/"
"0,08","21-5-2015 12:51:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678095000000000/"
"0,09","21-5-2015 12:51:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678094800000000/"
"0,06","21-5-2015 12:51:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678094600000000/"
"0,07","21-5-2015 12:50:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678094400000000/"
"0,1","21-5-2015 12:50:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678094200000000/"
"0,05","21-5-2015 12:50:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678094000000000/"
"0,06","21-5-2015 12:49:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678093800000000/"
"0,07","21-5-2015 12:49:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678093600000000/"
"0,1","21-5-2015 12:49:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678093400000000/"
"0,05","21-5-2015 12:48:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678093200000000/"
"0,07","21-5-2015 12:48:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678093000000000/"
"0,06","21-5-2015 12:48:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678092800000000/"
"0,1","21-5-2015 12:47:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678092600000000/"
"0,06","21-5-2015 12:47:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678092400000000/"
"0,06","21-5-2015 12:47:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678092200000000/"
"0,06","21-5-2015 12:46:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678092000000000/"
"0,08","21-5-2015 12:46:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678091800000000/"
"0,05","21-5-2015 12:46:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678091600000000/"
"0,08","21-5-2015 12:45:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678091400000000/"
"0,08","21-5-2015 12:45:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678091200000000/"
"0,05","21-5-2015 12:45:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678091000000000/"
"0,08","21-5-2015 12:44:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678090800000000/"
"0,08","21-5-2015 12:44:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678090600000000/"
"0,15","21-5-2015 12:44:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678090400000000/"
"0,06","21-5-2015 12:43:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678090200000000/"
"0,05","21-5-2015 12:43:20","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678090000000000/"
"0,1","21-5-2015 12:43:00","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678089800000000/"
"0,04","21-5-2015 12:42:40","cpu.usage.average","%","CPU usage as a percentage during the interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/FloatSample=cpu.usage.average\\635678089600000000/"
