#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"1","7-5-2015 13:44:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666030600000000/"
"0","7-5-2015 13:44:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666030400000000/"
"0","7-5-2015 13:43:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666030200000000/"
"0","7-5-2015 13:43:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666030000000000/"
"0","7-5-2015 13:43:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666029800000000/"
"0","7-5-2015 13:42:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666029600000000/"
"1","7-5-2015 13:42:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666029400000000/"
"1","7-5-2015 13:42:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666029200000000/"
"0","7-5-2015 13:41:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666029000000000/"
"0","7-5-2015 13:41:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666028800000000/"
"1","7-5-2015 13:41:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666028600000000/"
"0","7-5-2015 13:40:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666028400000000/"
"0","7-5-2015 13:40:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666028200000000/"
"0","7-5-2015 13:40:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666028000000000/"
"11","7-5-2015 13:39:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666027800000000/"
"17","7-5-2015 13:39:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666027600000000/"
"10","7-5-2015 13:39:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666027400000000/"
"10","7-5-2015 13:38:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666027200000000/"
"10","7-5-2015 13:38:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666027000000000/"
"10","7-5-2015 13:38:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666026800000000/"
"10","7-5-2015 13:37:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666026600000000/"
"10","7-5-2015 13:37:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666026400000000/"
"9","7-5-2015 13:37:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666026200000000/"
"10","7-5-2015 13:36:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666026000000000/"
"10","7-5-2015 13:36:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666025800000000/"
"10","7-5-2015 13:36:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666025600000000/"
"10","7-5-2015 13:35:40","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666025400000000/"
"8","7-5-2015 13:35:20","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666025200000000/"
"15","7-5-2015 13:35:00","power.power.average","watt","Current power usage","DS2WebA0","VirtualMachine-vm-780","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-780/LongSample=power.power.average\\635666025000000000/"
