#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,65","21-5-2015 10:55:00","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678025000000000/"
"0,61","21-5-2015 10:54:40","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678024800000000/"
"0,59","21-5-2015 10:54:20","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678024600000000/"
"0,63","21-5-2015 10:54:00","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678024400000000/"
"0,59","21-5-2015 10:53:40","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678024200000000/"
"0,56","21-5-2015 10:53:20","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678024000000000/"
"0,65","21-5-2015 10:53:00","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678023800000000/"
"0,6","21-5-2015 10:52:40","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678023600000000/"
"0,54","21-5-2015 10:52:20","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678023400000000/"
"0,68","21-5-2015 10:52:00","cpu.usage.average","%","CPU usage as a percentage during the interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/FloatSample=cpu.usage.average\\635678023200000000/"
