#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"11","7-5-2015 12:08:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665973000000000/"
"15","7-5-2015 12:08:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665972800000000/"
"32","7-5-2015 12:07:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665972600000000/"
"33","7-5-2015 12:07:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665972400000000/"
"34","7-5-2015 12:07:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665972200000000/"
"32","7-5-2015 12:06:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665972000000000/"
"32","7-5-2015 12:06:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665971800000000/"
"33","7-5-2015 12:06:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665971600000000/"
"33","7-5-2015 12:05:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665971400000000/"
"32","7-5-2015 12:05:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665971200000000/"
"34","7-5-2015 12:05:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665971000000000/"
"34","7-5-2015 12:04:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665970800000000/"
"37","7-5-2015 12:04:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665970600000000/"
"34","7-5-2015 12:04:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665970400000000/"
"33","7-5-2015 12:03:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665970200000000/"
"35","7-5-2015 12:03:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665970000000000/"
"34","7-5-2015 12:03:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665969800000000/"
"33","7-5-2015 12:02:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665969600000000/"
"34","7-5-2015 12:02:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665969400000000/"
"34","7-5-2015 12:02:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665969200000000/"
"36","7-5-2015 12:01:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665969000000000/"
"34","7-5-2015 12:01:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665968800000000/"
"33","7-5-2015 12:01:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665968600000000/"
"31","7-5-2015 12:00:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665968400000000/"
"35","7-5-2015 12:00:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665968200000000/"
"33","7-5-2015 12:00:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665968000000000/"
"37","7-5-2015 11:59:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665967800000000/"
"32","7-5-2015 11:59:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665967600000000/"
"32","7-5-2015 11:59:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665967400000000/"
"37","7-5-2015 11:58:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665967200000000/"
"33","7-5-2015 11:58:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665967000000000/"
"34","7-5-2015 11:58:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665966800000000/"
"38","7-5-2015 11:57:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665966600000000/"
"34","7-5-2015 11:57:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665966400000000/"
"37","7-5-2015 11:57:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665966200000000/"
"39","7-5-2015 11:56:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665966000000000/"
"34","7-5-2015 11:56:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665965800000000/"
"32","7-5-2015 11:56:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665965600000000/"
"35","7-5-2015 11:55:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665965400000000/"
"28","7-5-2015 11:55:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665965200000000/"
"36","7-5-2015 11:55:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665965000000000/"
"35","7-5-2015 11:54:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665964800000000/"
"40","7-5-2015 11:54:20","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665964600000000/"
"40","7-5-2015 11:54:00","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665964400000000/"
"43","7-5-2015 11:53:40","power.power.average","watt","Current power usage","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=power.power.average\\635665964200000000/"
