#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0","21-5-2015 10:04:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677994400000000/"
"1","21-5-2015 10:03:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677994200000000/"
"0","21-5-2015 10:03:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677994000000000/"
"1","21-5-2015 10:03:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677993800000000/"
"369","21-5-2015 10:02:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677993600000000/"
"791","21-5-2015 10:02:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677993400000000/"
"844","21-5-2015 10:02:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677993200000000/"
"1315","21-5-2015 10:01:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677993000000000/"
"886","21-5-2015 10:01:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677992800000000/"
"830","21-5-2015 10:01:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","mailserver0","VirtualMachine-vm-801","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-801/LongSample=disk.read.average\\635677992600000000/"
