#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0","21-5-2015 11:20:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678040200000000/"
"0","21-5-2015 11:20:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678040000000000/"
"0","21-5-2015 11:19:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678039800000000/"
"0","21-5-2015 11:19:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678039600000000/"
"0","21-5-2015 11:19:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678039400000000/"
"0","21-5-2015 11:18:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678039200000000/"
"0","21-5-2015 11:18:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678039000000000/"
"0","21-5-2015 11:18:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678038800000000/"
"0","21-5-2015 11:17:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678038600000000/"
"0","21-5-2015 11:17:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678038400000000/"
"0","21-5-2015 11:17:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678038200000000/"
"0","21-5-2015 11:16:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678038000000000/"
"0","21-5-2015 11:16:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678037800000000/"
"0","21-5-2015 11:16:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678037600000000/"
"0","21-5-2015 11:15:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678037400000000/"
"0","21-5-2015 11:15:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678037200000000/"
"0","21-5-2015 11:15:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678037000000000/"
"0","21-5-2015 11:14:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678036800000000/"
"0","21-5-2015 11:14:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678036600000000/"
"0","21-5-2015 11:14:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678036400000000/"
