#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,56","7-5-2015 15:24:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666090600000000/"
"2,23","7-5-2015 15:24:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666090400000000/"
"0,27","7-5-2015 15:23:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666090200000000/"
"2,86","7-5-2015 15:23:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666090000000000/"
"6,09","7-5-2015 15:23:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666089800000000/"
"8,3","7-5-2015 15:22:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666089600000000/"
"9,08","7-5-2015 15:22:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666089400000000/"
"10,57","7-5-2015 15:22:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666089200000000/"
"11,81","7-5-2015 15:21:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666089000000000/"
"13,01","7-5-2015 15:21:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666088800000000/"
"14,2","7-5-2015 15:21:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666088600000000/"
"15,4","7-5-2015 15:20:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666088400000000/"
"17,86","7-5-2015 15:20:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/FloatSample=cpu.usage.average\\635666088200000000/"
