#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,12","21-5-2015 12:01:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678064800000000/"
"0,09","21-5-2015 12:01:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678064600000000/"
"0,11","21-5-2015 12:00:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678064400000000/"
"0,1","21-5-2015 12:00:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678064200000000/"
"0,12","21-5-2015 12:00:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678064000000000/"
"0,15","21-5-2015 11:59:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678063800000000/"
"0,12","21-5-2015 11:59:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678063600000000/"
"0,18","21-5-2015 11:59:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678063400000000/"
"0,08","21-5-2015 11:58:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678063200000000/"
"0,1","21-5-2015 11:58:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678063000000000/"
"0,14","21-5-2015 11:58:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678062800000000/"
"0,11","21-5-2015 11:57:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678062600000000/"
"0,23","21-5-2015 11:57:20","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678062400000000/"
"0,88","21-5-2015 11:57:00","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678062200000000/"
"0,92","21-5-2015 11:56:40","cpu.usage.average","%","CPU usage as a percentage during the interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/FloatSample=cpu.usage.average\\635678062000000000/"
