#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0","21-5-2015 12:01:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678064800000000/"
"0","21-5-2015 12:01:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678064600000000/"
"0","21-5-2015 12:00:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678064400000000/"
"0","21-5-2015 12:00:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678064200000000/"
"0","21-5-2015 12:00:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678064000000000/"
"0","21-5-2015 11:59:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678063800000000/"
"0","21-5-2015 11:59:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678063600000000/"
"0","21-5-2015 11:59:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678063400000000/"
"0","21-5-2015 11:58:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678063200000000/"
"0","21-5-2015 11:58:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678063000000000/"
"0","21-5-2015 11:58:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678062800000000/"
"0","21-5-2015 11:57:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678062600000000/"
"0","21-5-2015 11:57:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678062400000000/"
"0","21-5-2015 11:57:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678062200000000/"
"0","21-5-2015 11:56:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678062000000000/"
"0","21-5-2015 11:56:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678061800000000/"
"0","21-5-2015 11:56:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678061600000000/"
"0","21-5-2015 11:55:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678061400000000/"
"0","21-5-2015 11:55:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678061200000000/"
"0","21-5-2015 11:55:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678061000000000/"
"0","21-5-2015 11:54:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678060800000000/"
"0","21-5-2015 11:54:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678060600000000/"
"0","21-5-2015 11:54:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678060400000000/"
"0","21-5-2015 11:53:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678060200000000/"
"0","21-5-2015 11:53:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678060000000000/"
"0","21-5-2015 11:53:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678059800000000/"
"0","21-5-2015 11:52:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678059600000000/"
"0","21-5-2015 11:52:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678059400000000/"
"0","21-5-2015 11:52:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678059200000000/"
"0","21-5-2015 11:51:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678059000000000/"
"0","21-5-2015 11:51:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678058800000000/"
"0","21-5-2015 11:51:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678058600000000/"
"0","21-5-2015 11:50:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678058400000000/"
"0","21-5-2015 11:50:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678058200000000/"
"0","21-5-2015 11:50:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678058000000000/"
"0","21-5-2015 11:49:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678057800000000/"
"0","21-5-2015 11:49:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678057600000000/"
"0","21-5-2015 11:49:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678057400000000/"
"0","21-5-2015 11:48:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678057200000000/"
"0","21-5-2015 11:48:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678057000000000/"
"0","21-5-2015 11:48:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678056800000000/"
"0","21-5-2015 11:47:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678056600000000/"
"0","21-5-2015 11:47:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678056400000000/"
"0","21-5-2015 11:47:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678056200000000/"
"0","21-5-2015 11:46:40","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\naa.600508b1001c98c6ebf1781d0b1b6316\635678056000000000/"
"0","21-5-2015 12:01:20","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\\635678064800000000/"
"0","21-5-2015 12:01:00","disk.read.average","KBps","Average number of kilobytes read from the disk each second during the collection interval","OlioDB0","VirtualMachine-vm-777","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-777/LongSample=disk.read.average\\635678064600000000/"
