#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"3","21-5-2015 12:01:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678064800000000/"
"3","21-5-2015 12:01:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678064600000000/"
"3","21-5-2015 12:00:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678064400000000/"
"3","21-5-2015 12:00:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678064200000000/"
"3","21-5-2015 12:00:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678064000000000/"
"3","21-5-2015 11:59:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678063800000000/"
"3","21-5-2015 11:59:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678063600000000/"
"3","21-5-2015 11:59:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678063400000000/"
"4","21-5-2015 11:58:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678063200000000/"
"3","21-5-2015 11:58:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678063000000000/"
"3","21-5-2015 11:58:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678062800000000/"
"4","21-5-2015 11:57:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678062600000000/"
"7","21-5-2015 11:57:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678062400000000/"
"11","21-5-2015 11:57:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678062200000000/"
"11","21-5-2015 11:56:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635678062000000000/"
