"TimeStamp","CPU","POWER","MEM"
"7-5-2015 13:44:20","0.07","3","33.99"
"7-5-2015 13:44:00","0.09","2","41.99"
"7-5-2015 13:43:40","0.06","3","41.99"
"7-5-2015 13:43:20","0.08","3","42.99"
"7-5-2015 13:43:00","0.05","2","42.99"
"7-5-2015 13:42:40","0.07","2","42.99"
"7-5-2015 13:42:20","0.06","3","42.99"
"7-5-2015 13:42:00","0.07","3","44.99"
"7-5-2015 13:41:40","0.06","2","44.99"
"7-5-2015 13:41:20","0.05","2","44.99"
"7-5-2015 13:41:00","0.08","7","46.99"
"7-5-2015 13:40:40","4.59","17","46.99"
"7-5-2015 13:40:20","4.21","18","45.99"
"7-5-2015 13:40:00","4.62","21","45.99"
"7-5-2015 13:39:40","9.93","22","45.99"
"7-5-2015 13:39:20","15.25","24","45.99"
"7-5-2015 13:39:00","24.25","25","43.99"
"7-5-2015 13:38:40","26.12","25","43.99"
"7-5-2015 13:38:20","25.81","25","43.99"
"7-5-2015 13:38:00","25.57","26","48.99"
"7-5-2015 13:37:40","26.09","25","48.99"
"7-5-2015 13:37:20","26.17","26","48.99"
"7-5-2015 13:37:00","26.17","24","44.99"
"7-5-2015 13:36:40","25.75","24","44.99"
"7-5-2015 13:36:20","25.58","24","44.99"
"7-5-2015 13:36:00","25.85","25","44.99"
"7-5-2015 13:35:40","25.84","25","44.99"
"7-5-2015 13:35:20","25.77","21","44.99"
"7-5-2015 13:35:00","17.21","21","45.99"
"7-5-2015 13:34:40","15.56","20","45.99"
"7-5-2015 13:34:20","15.35","21","45.99"
"7-5-2015 13:34:00","17.67","25","45.99"
"7-5-2015 13:33:40","26.06","25","45.99"
"7-5-2015 13:33:20","25.66","25","45.99"
"7-5-2015 13:33:00","25.36","24","45.99"
"7-5-2015 13:32:40","25.98","24","45.99"
"7-5-2015 13:32:20","25.21","24","46.99"
"7-5-2015 13:32:00","25.92","25","46.99"
"7-5-2015 13:31:40","26.23","22","46.99"
"7-5-2015 13:31:20","25.44","24","46.99"
"7-5-2015 13:31:00","25.76","25","48.99"
"7-5-2015 13:30:40","25.88","24","48.99"
"7-5-2015 13:30:20","25.13","23","48.99"
"7-5-2015 13:30:00","23.33","18","54.99"
"7-5-2015 13:29:40","15.21","19","54.99"
