"TimeStamp","POWER"
"7-5-2015 13:44:20","5.0"
"7-5-2015 13:44:00","2.0"
"7-5-2015 13:43:40","4.0"
"7-5-2015 13:43:20","3.0"
"7-5-2015 13:43:00","3.0"
"7-5-2015 13:42:40","3.0"
"7-5-2015 13:42:20","4.0"
"7-5-2015 13:42:00","5.0"
"7-5-2015 13:41:40","2.0"
"7-5-2015 13:41:20","4.0"
"7-5-2015 13:41:00","8.0"
"7-5-2015 13:40:40","17.0"
"7-5-2015 13:40:20","18.0"
"7-5-2015 13:40:00","21.0"
"7-5-2015 13:39:40","33.0"
"7-5-2015 13:39:20","41.0"
"7-5-2015 13:39:00","44.0"
"7-5-2015 13:38:40","45.0"
"7-5-2015 13:38:20","45.0"
"7-5-2015 13:38:00","46.0"
"7-5-2015 13:37:40","45.0"
"7-5-2015 13:37:20","46.0"
"7-5-2015 13:37:00","43.0"
"7-5-2015 13:36:40","43.0"
"7-5-2015 13:36:20","44.0"
"7-5-2015 13:36:00","45.0"
"7-5-2015 13:35:40","45.0"
"7-5-2015 13:35:20","37.0"
"7-5-2015 13:35:00","37.0"
"7-5-2015 13:34:40","35.0"
"7-5-2015 13:34:20","36.0"
"7-5-2015 13:34:00","43.0"
"7-5-2015 13:33:40","45.0"
"7-5-2015 13:33:20","45.0"
"7-5-2015 13:33:00","44.0"
"7-5-2015 13:32:40","43.0"
"7-5-2015 13:32:20","44.0"
"7-5-2015 13:32:00","45.0"
"7-5-2015 13:31:40","39.0"
"7-5-2015 13:31:20","42.0"
"7-5-2015 13:31:00","45.0"
"7-5-2015 13:30:40","43.0"
"7-5-2015 13:30:20","41.0"
"7-5-2015 13:30:00","32.0"
"7-5-2015 13:29:40","32.0"
"7-5-2015 13:29:20","31.0"
"7-5-2015 13:29:00","35.0"
"7-5-2015 13:28:40","42.0"
"7-5-2015 13:28:20","43.0"
"7-5-2015 13:28:00","42.0"
"7-5-2015 13:27:40","43.0"
"7-5-2015 13:27:20","43.0"
"7-5-2015 13:27:00","42.0"
"7-5-2015 13:26:40","32.0"
"7-5-2015 13:26:20","44.0"
"7-5-2015 13:26:00","44.0"
"7-5-2015 13:25:40","44.0"
"7-5-2015 13:25:20","44.0"
"7-5-2015 13:25:00","32.0"
"7-5-2015 13:24:40","6.0"
"7-5-2015 14:29:40","5.0"
"7-5-2015 14:29:20","5.0"
"7-5-2015 14:29:00","3.0"
"7-5-2015 14:28:40","2.0"
"7-5-2015 14:28:20","4.0"
"7-5-2015 14:28:00","3.0"
"7-5-2015 14:27:40","6.0"
"7-5-2015 14:27:20","6.0"
"7-5-2015 14:27:00","2.0"
"7-5-2015 14:26:40","3.0"
"7-5-2015 14:26:20","6.0"
"7-5-2015 14:26:00","9.0"
"7-5-2015 14:25:40","18.0"
"7-5-2015 14:25:20","19.0"
"7-5-2015 14:25:00","22.0"
"7-5-2015 14:24:40","36.0"
"7-5-2015 14:24:20","43.0"
"7-5-2015 14:24:00","45.0"
"7-5-2015 14:23:40","46.0"
"7-5-2015 14:23:20","46.0"
"7-5-2015 14:23:00","46.0"
"7-5-2015 14:22:40","45.0"
"7-5-2015 14:22:20","41.0"
"7-5-2015 14:22:00","46.0"
"7-5-2015 14:21:40","45.0"
"7-5-2015 14:21:20","46.0"
"7-5-2015 14:21:00","46.0"
"7-5-2015 14:20:40","46.0"
"7-5-2015 14:20:20","37.0"
"7-5-2015 14:20:00","36.0"
"7-5-2015 14:19:40","36.0"
"7-5-2015 14:19:20","39.0"
"7-5-2015 14:19:00","45.0"
"7-5-2015 14:18:40","45.0"
"7-5-2015 14:18:20","46.0"
"7-5-2015 14:18:00","45.0"
"7-5-2015 14:17:40","46.0"
"7-5-2015 14:17:20","41.0"
"7-5-2015 14:17:00","46.0"
"7-5-2015 14:16:40","46.0"
"7-5-2015 14:16:20","45.0"
"7-5-2015 14:16:00","45.0"
"7-5-2015 14:15:40","45.0"
"7-5-2015 14:15:20","41.0"
"7-5-2015 14:15:00","35.0"
"7-5-2015 14:14:40","35.0"
"7-5-2015 14:14:20","35.0"
"7-5-2015 14:14:00","39.0"
"7-5-2015 14:13:40","44.0"
"7-5-2015 14:13:20","43.0"
"7-5-2015 14:13:00","43.0"
"7-5-2015 14:12:40","44.0"
"7-5-2015 14:12:20","28.0"
"7-5-2015 14:12:00","42.0"
"7-5-2015 14:11:40","41.0"
"7-5-2015 14:11:20","42.0"
"7-5-2015 14:11:00","42.0"
"7-5-2015 14:10:40","41.0"
"7-5-2015 14:10:20","41.0"
"7-5-2015 14:10:00","28.0"
