"TimeStamp","CPU","POWER","MEM"
"7-5-2015 13:44:20","0.08","1","1.99"
"7-5-2015 13:44:00","0.13","0","1.99"
"7-5-2015 13:43:40","0.09","0","1.99"
"7-5-2015 13:43:20","0.06","0","0"
"7-5-2015 13:43:00","0.08","0","0"
"7-5-2015 13:42:40","0.06","0","0"
"7-5-2015 13:42:20","0.1","1","2.99"
"7-5-2015 13:42:00","0.06","1","2.99"
"7-5-2015 13:41:40","0.06","0","2.99"
"7-5-2015 13:41:20","0.08","0","1.99"
"7-5-2015 13:41:00","0.09","1","1.99"
"7-5-2015 13:40:40","0.09","0","1.99"
"7-5-2015 13:40:20","0.09","0","2.99"
"7-5-2015 13:40:00","0.06","0","2.99"
"7-5-2015 13:39:40","13.27","11","2.99"
"7-5-2015 13:39:20","22.98","17","2.99"
"7-5-2015 13:39:00","22.06","10","2.99"
"7-5-2015 13:38:40","21.9","10","2.99"
"7-5-2015 13:38:20","21.44","10","2.99"
"7-5-2015 13:38:00","21.39","10","2.99"
"7-5-2015 13:37:40","22.04","10","2.99"
"7-5-2015 13:37:20","21.96","10","5.99"
"7-5-2015 13:37:00","22.38","9","5.99"
"7-5-2015 13:36:40","22.27","10","5.99"
"7-5-2015 13:36:20","22.06","10","2.99"
"7-5-2015 13:36:00","21.93","10","2.99"
"7-5-2015 13:35:40","22.3","10","2.99"
"7-5-2015 13:35:20","22.61","8","1.99"
"7-5-2015 13:35:00","24.06","15","1.99"
"7-5-2015 13:34:40","24.53","15","1.99"
"7-5-2015 13:34:20","24.17","15","3.99"
"7-5-2015 13:34:00","23.95","15","3.99"
"7-5-2015 13:33:40","23.13","10","3.99"
"7-5-2015 13:33:20","21.64","10","3.99"
"7-5-2015 13:33:00","21.91","10","3.99"
"7-5-2015 13:32:40","22.11","9","3.99"
"7-5-2015 13:32:20","21.81","10","5.99"
"7-5-2015 13:32:00","22.38","10","5.99"
"7-5-2015 13:31:40","22.18","8","5.99"
"7-5-2015 13:31:20","21.47","9","3.99"
"7-5-2015 13:31:00","21.65","10","3.99"
"7-5-2015 13:30:40","22.07","9","3.99"
"7-5-2015 13:30:20","21.84","9","3.99"
"7-5-2015 13:30:00","22.36","9","3.99"
"7-5-2015 13:29:40","23.66","13","3.99"
"7-5-2015 13:29:20","23.15","13","3.99"
"7-5-2015 13:29:00","23.87","15","3.99"
"7-5-2015 13:28:40","22.35","12","3.99"
"7-5-2015 13:28:20","22.11","10","3.99"
"7-5-2015 13:28:00","22.4","9","2.99"
"7-5-2015 13:27:40","22.75","10","2.99"
"7-5-2015 13:27:20","21.99","10","1.99"
"7-5-2015 13:27:00","23.36","10","1.99"
"7-5-2015 13:26:40","23.31","8","1.99"
"7-5-2015 13:26:20","23.01","11","2.99"
"7-5-2015 13:26:00","23.59","11","2.99"
