"Reads","TimeStamp","Writes"
"0","21-5-2015 10:30:00","89"
"0","21-5-2015 10:29:40","39"
"0","21-5-2015 10:29:20","34"
"0","21-5-2015 10:29:00","33"
"0","21-5-2015 10:28:40","26"
"0","21-5-2015 10:28:20","30"
"0","21-5-2015 10:28:00","29"
"0","21-5-2015 10:27:40","29"
"0","21-5-2015 10:27:20","114"
"0","21-5-2015 10:27:00","33"
"0","21-5-2015 10:26:40","24"
"0","21-5-2015 10:26:20","29"
"0","21-5-2015 10:26:00","32"
"0","21-5-2015 10:25:40","29"
"0","21-5-2015 10:25:20","26"
"0","21-5-2015 10:25:00","65"
"0","21-5-2015 10:24:40","32"
"0","21-5-2015 10:24:20","36"
"0","21-5-2015 10:24:00","35"
"0","21-5-2015 10:23:40","28"
"0","21-5-2015 10:23:20","36"
"0","21-5-2015 10:23:00","36"
"0","21-5-2015 10:22:40","29"
"0","21-5-2015 10:22:20","29"
"0","21-5-2015 10:22:00","39"
"0","21-5-2015 10:21:40","30"
"0","21-5-2015 10:21:20","40"
"0","21-5-2015 10:21:00","91"
"0","21-5-2015 10:20:40","27"
"0","21-5-2015 10:20:20","35"
"0","21-5-2015 10:20:00","34"
"0","21-5-2015 10:19:40","35"
"0","21-5-2015 10:19:20","34"
"21","21-5-2015 10:19:00","41"
"2","21-5-2015 10:18:40","36"
"0","21-5-2015 10:18:20","41"
"2","21-5-2015 10:18:00","38"
"1","21-5-2015 10:17:40","81"
"0","21-5-2015 10:17:20","31"
"0","21-5-2015 10:17:00","32"
"0","21-5-2015 10:16:40","43"
"0","21-5-2015 10:16:20","33"
"0","21-5-2015 10:16:00","34"
"0","21-5-2015 10:15:40","38"
"0","21-5-2015 10:15:20","32"
"0","21-5-2015 10:15:00","93"
"0","21-5-2015 10:14:40","33"
"0","21-5-2015 10:14:20","51"
"0","21-5-2015 10:14:00","39"
"0","21-5-2015 10:13:40","25"
"0","21-5-2015 10:13:20","30"
"0","21-5-2015 10:13:00","33"
"0","21-5-2015 10:12:40","29"
"0","21-5-2015 10:12:20","32"
"0","21-5-2015 10:12:00","33"
"0","21-5-2015 10:11:40","32"
"0","21-5-2015 10:11:20","41"
"0","21-5-2015 10:11:00","33"
"0","21-5-2015 10:10:40","26"
"0","21-5-2015 10:10:20","31"
"0","21-5-2015 10:30:00","89"
"0","21-5-2015 10:29:40","39"
"0","21-5-2015 10:29:20","34"
"0","21-5-2015 10:29:00","33"
"0","21-5-2015 10:28:40","26"
"0","21-5-2015 10:28:20","30"
"0","21-5-2015 10:28:00","29"
"0","21-5-2015 10:27:40","29"
"0","21-5-2015 10:27:20","114"
"0","21-5-2015 10:27:00","33"
"0","21-5-2015 10:26:40","24"
