"Reads","TimeStamp","Writes"
"0","7-5-2015 12:08:20","28"
"0","7-5-2015 12:08:00","115"
"376","7-5-2015 12:07:40","4840"
"972","7-5-2015 12:07:20","11933"
"914","7-5-2015 12:07:00","13927"
"1050","7-5-2015 12:06:40","6875"
"940","7-5-2015 12:06:20","16208"
"875","7-5-2015 12:06:00","8688"
"1244","7-5-2015 12:05:40","12571"
"1250","7-5-2015 12:05:20","12421"
"1369","7-5-2015 12:05:00","16744"
"1320","7-5-2015 12:04:40","11915"
"1340","7-5-2015 12:04:20","11177"
"1638","7-5-2015 12:04:00","16186"
"1064","7-5-2015 12:03:40","8865"
"1399","7-5-2015 12:03:20","12240"
"1116","7-5-2015 12:03:00","20470"
"1441","7-5-2015 12:02:40","10515"
"1327","7-5-2015 12:02:20","12021"
"1516","7-5-2015 12:02:00","11769"
"1798","7-5-2015 12:01:40","17291"
"1257","7-5-2015 12:01:20","17108"
"1547","7-5-2015 12:01:00","11573"
"1323","7-5-2015 12:00:40","11850"
"1450","7-5-2015 12:00:20","13726"
"1860","7-5-2015 12:00:00","13028"
"1888","7-5-2015 11:59:40","10877"
"2330","7-5-2015 11:59:20","17013"
"1356","7-5-2015 11:59:00","11233"
"1931","7-5-2015 11:58:40","12343"
"2101","7-5-2015 11:58:20","18449"
"2010","7-5-2015 11:58:00","10318"
"2363","7-5-2015 11:57:40","13845"
"2756","7-5-2015 11:57:20","14507"
"1812","7-5-2015 11:57:00","16540"
"3215","7-5-2015 11:56:40","18407"
"2950","7-5-2015 11:56:20","17678"
"1662","7-5-2015 11:56:00","12449"
"2559","7-5-2015 11:55:40","13543"
"2956","7-5-2015 11:55:20","15542"
"2205","7-5-2015 11:55:00","12158"
"3254","7-5-2015 11:54:40","15714"
"3009","7-5-2015 11:54:20","17206"
"5491","7-5-2015 11:54:00","22794"
"5749","7-5-2015 11:53:40","18761"
"6675","7-5-2015 11:53:20","34775"
"3872","7-5-2015 11:53:00","16397"
"1669","7-5-2015 11:52:40","967"
"1683","7-5-2015 11:52:20","278"
"1678","7-5-2015 11:52:00","156"
"1671","7-5-2015 11:51:40","167"
"1650","7-5-2015 11:51:20","160"
"1658","7-5-2015 11:51:00","172"
"1060","7-5-2015 11:50:40","71"
"8","7-5-2015 11:50:20","16"
"1144","7-5-2015 11:50:00","20"
"7317","7-5-2015 11:49:40","32179"
"89907","7-5-2015 11:49:20","87085"
"93384","7-5-2015 11:49:00","94651"
"91443","7-5-2015 11:48:40","93441"
"0","7-5-2015 12:08:20","28"
"0","7-5-2015 12:08:00","115"
"376","7-5-2015 12:07:40","4840"
"972","7-5-2015 12:07:20","11933"
"914","7-5-2015 12:07:00","13927"
"1050","7-5-2015 12:06:40","6875"
"940","7-5-2015 12:06:20","16208"
"875","7-5-2015 12:06:00","8688"
"1244","7-5-2015 12:05:40","12571"
"1250","7-5-2015 12:05:20","12421"
"1369","7-5-2015 12:05:00","16744"
"1320","7-5-2015 12:04:40","11915"
"1340","7-5-2015 12:04:20","11177"
"1638","7-5-2015 12:04:00","16186"
"1064","7-5-2015 12:03:40","8865"
"1399","7-5-2015 12:03:20","12240"
"1116","7-5-2015 12:03:00","20470"
"1441","7-5-2015 12:02:40","10515"
"1327","7-5-2015 12:02:20","12021"
"1516","7-5-2015 12:02:00","11769"
"1798","7-5-2015 12:01:40","17291"
"1257","7-5-2015 12:01:20","17108"
"1547","7-5-2015 12:01:00","11573"
"1323","7-5-2015 12:00:40","11850"
"1450","7-5-2015 12:00:20","13726"
"1860","7-5-2015 12:00:00","13028"
"1888","7-5-2015 11:59:40","10877"
"2330","7-5-2015 11:59:20","17013"
"1356","7-5-2015 11:59:00","11233"
"1931","7-5-2015 11:58:40","12343"
"2101","7-5-2015 11:58:20","18449"
"2010","7-5-2015 11:58:00","10318"
"2363","7-5-2015 11:57:40","13845"
"2756","7-5-2015 11:57:20","14507"
"1812","7-5-2015 11:57:00","16540"
"3215","7-5-2015 11:56:40","18407"
"2950","7-5-2015 11:56:20","17678"
"1662","7-5-2015 11:56:00","12449"
"2559","7-5-2015 11:55:40","13543"
"2956","7-5-2015 11:55:20","15542"
"2205","7-5-2015 11:55:00","12158"
"3254","7-5-2015 11:54:40","15714"
"3009","7-5-2015 11:54:20","17206"
"5491","7-5-2015 11:54:00","22794"
"5749","7-5-2015 11:53:40","18761"
"6675","7-5-2015 11:53:20","34775"
"3872","7-5-2015 11:53:00","16397"
"1669","7-5-2015 11:52:40","967"
"1683","7-5-2015 11:52:20","278"
"1678","7-5-2015 11:52:00","156"
"1671","7-5-2015 11:51:40","167"
"1650","7-5-2015 11:51:20","160"
"1658","7-5-2015 11:51:00","172"
"1060","7-5-2015 11:50:40","71"
"8","7-5-2015 11:50:20","16"
"1144","7-5-2015 11:50:00","20"
"7317","7-5-2015 11:49:40","32179"
"89907","7-5-2015 11:49:20","87085"
"93384","7-5-2015 11:49:00","94651"
"91443","7-5-2015 11:48:40","93441"
"0","21-5-2015 10:04:00","40"
"1","21-5-2015 10:03:40","22"
"0","21-5-2015 10:03:20","19"
"1","21-5-2015 10:03:00","44"
"369","21-5-2015 10:02:40","4419"
"791","21-5-2015 10:02:20","13477"
"844","21-5-2015 10:02:00","12233"
"1315","21-5-2015 10:01:40","14939"
"886","21-5-2015 10:01:20","7384"
"830","21-5-2015 10:01:00","10430"
"1069","21-5-2015 10:00:40","12258"
"1188","21-5-2015 10:00:20","11739"
"1115","21-5-2015 10:00:00","8955"
"1202","21-5-2015 9:59:40","11821"
"1686","21-5-2015 9:59:20","12562"
"1114","21-5-2015 9:59:00","9850"
"913","21-5-2015 9:58:40","9070"
"1248","21-5-2015 9:58:20","14375"
"1128","21-5-2015 9:58:00","13083"
"1376","21-5-2015 9:57:40","9393"
"1059","21-5-2015 9:57:20","10854"
"1645","21-5-2015 9:57:00","13586"
"1529","21-5-2015 9:56:40","21682"
"1392","21-5-2015 9:56:20","15929"
"1556","21-5-2015 9:56:00","13566"
"1700","21-5-2015 9:55:40","13762"
"1825","21-5-2015 9:55:20","10053"
"2061","21-5-2015 9:55:00","13275"
"1962","21-5-2015 9:54:40","10692"
"1600","21-5-2015 9:54:20","12579"
"2438","21-5-2015 9:54:00","15168"
"1882","21-5-2015 9:53:40","13262"
"2311","21-5-2015 9:53:20","11712"
"1931","21-5-2015 9:53:00","17028"
"2482","21-5-2015 9:52:40","14587"
"2641","21-5-2015 9:52:20","14639"
"2735","21-5-2015 9:52:00","17998"
"2754","21-5-2015 9:51:40","15968"
"1582","21-5-2015 9:51:20","9549"
"3079","21-5-2015 9:51:00","17252"
"2511","21-5-2015 9:50:40","18694"
"2894","21-5-2015 9:50:20","10941"
"2113","21-5-2015 9:50:00","16472"
"3695","21-5-2015 9:49:40","20321"
"3110","21-5-2015 9:49:20","16759"
"5012","21-5-2015 9:49:00","20882"
"2645","21-5-2015 9:48:40","14149"
"4439","21-5-2015 9:48:20","23744"
"4922","21-5-2015 9:48:00","17249"
"1652","21-5-2015 9:47:40","1467"
"1663","21-5-2015 9:47:20","163"
"1670","21-5-2015 9:47:00","263"
"1648","21-5-2015 9:46:40","164"
"1637","21-5-2015 9:46:20","160"
"1613","21-5-2015 9:46:00","167"
"1198","21-5-2015 9:45:40","74"
"0","21-5-2015 9:45:20","16"
"2743","21-5-2015 9:45:00","27"
"37239","21-5-2015 9:44:40","64659"
"97382","21-5-2015 9:44:20","82354"
"0","21-5-2015 10:04:00","40"
"1","21-5-2015 10:03:40","22"
"0","21-5-2015 10:03:20","19"
"1","21-5-2015 10:03:00","44"
"369","21-5-2015 10:02:40","4419"
"791","21-5-2015 10:02:20","13477"
"844","21-5-2015 10:02:00","12233"
"1315","21-5-2015 10:01:40","14939"
"886","21-5-2015 10:01:20","7384"
"830","21-5-2015 10:01:00","10430"
"1069","21-5-2015 10:00:40","12258"
"1188","21-5-2015 10:00:20","11739"
"1115","21-5-2015 10:00:00","8955"
"1202","21-5-2015 9:59:40","11821"
"1686","21-5-2015 9:59:20","12562"
"1114","21-5-2015 9:59:00","9850"
"913","21-5-2015 9:58:40","9070"
"1248","21-5-2015 9:58:20","14375"
"1128","21-5-2015 9:58:00","13083"
"1376","21-5-2015 9:57:40","9393"
"1059","21-5-2015 9:57:20","10854"
"1645","21-5-2015 9:57:00","13586"
"1529","21-5-2015 9:56:40","21682"
"1392","21-5-2015 9:56:20","15929"
"1556","21-5-2015 9:56:00","13566"
"1700","21-5-2015 9:55:40","13762"
"1825","21-5-2015 9:55:20","10053"
"2061","21-5-2015 9:55:00","13275"
"1962","21-5-2015 9:54:40","10692"
"1600","21-5-2015 9:54:20","12579"
"2438","21-5-2015 9:54:00","15168"
