"Reads","TimeStamp","Writes"
"0","7-5-2015 15:24:20","129"
"1","7-5-2015 15:24:00","77"
"0","7-5-2015 15:23:40","425"
"3","7-5-2015 15:23:20","786"
"5","7-5-2015 15:23:00","672"
"9","7-5-2015 15:22:40","1046"
"11","7-5-2015 15:22:20","1264"
"14","7-5-2015 15:22:00","846"
"15","7-5-2015 15:21:40","1223"
"12","7-5-2015 15:21:20","1234"
"15","7-5-2015 15:21:00","1673"
"19","7-5-2015 15:20:40","1649"
"28","7-5-2015 15:20:20","1581"
"20","7-5-2015 15:20:00","1880"
"23","7-5-2015 15:19:40","1745"
"22","7-5-2015 15:19:20","1943"
"24","7-5-2015 15:19:00","1656"
"26","7-5-2015 15:18:40","1443"
"22","7-5-2015 15:18:20","1797"
"22","7-5-2015 15:18:00","1666"
"27","7-5-2015 15:17:40","1795"
"22","7-5-2015 15:17:20","1456"
"23","7-5-2015 15:17:00","1770"
"24","7-5-2015 15:16:40","1877"
"30","7-5-2015 15:16:20","1838"
"24","7-5-2015 15:16:00","1282"
"21","7-5-2015 15:15:40","1650"
"19","7-5-2015 15:15:20","1957"
"24","7-5-2015 15:15:00","1420"
"22","7-5-2015 15:14:40","2172"
"24","7-5-2015 15:14:20","1618"
"130","7-5-2015 15:14:00","1872"
"31","7-5-2015 15:13:40","2039"
"30","7-5-2015 15:13:20","1799"
"25","7-5-2015 15:13:00","1984"
"25","7-5-2015 15:12:40","1648"
"35","7-5-2015 15:12:20","1438"
"23","7-5-2015 15:12:00","1352"
"27","7-5-2015 15:11:40","31"
"11","7-5-2015 15:11:20","215"
"2","7-5-2015 15:11:00","724"
"24","7-5-2015 15:10:40","819"
"16","7-5-2015 15:10:20","227"
"12","7-5-2015 15:10:00","120"
"12","7-5-2015 15:09:40","3"
"0","7-5-2015 15:24:20","129"
"1","7-5-2015 15:24:00","77"
"0","7-5-2015 15:23:40","425"
"3","7-5-2015 15:23:20","786"
"5","7-5-2015 15:23:00","672"
"9","7-5-2015 15:22:40","1046"
"11","7-5-2015 15:22:20","1264"
"14","7-5-2015 15:22:00","846"
"15","7-5-2015 15:21:40","1223"
"12","7-5-2015 15:21:20","1234"
"15","7-5-2015 15:21:00","1673"
"19","7-5-2015 15:20:40","1649"
"28","7-5-2015 15:20:20","1581"
"20","7-5-2015 15:20:00","1880"
"23","7-5-2015 15:19:40","1745"
"22","7-5-2015 15:19:20","1943"
"24","7-5-2015 15:19:00","1656"
"26","7-5-2015 15:18:40","1443"
"22","7-5-2015 15:18:20","1797"
"22","7-5-2015 15:18:00","1666"
"27","7-5-2015 15:17:40","1795"
"22","7-5-2015 15:17:20","1456"
"23","7-5-2015 15:17:00","1770"
"24","7-5-2015 15:16:40","1877"
"30","7-5-2015 15:16:20","1838"
"24","7-5-2015 15:16:00","1282"
"21","7-5-2015 15:15:40","1650"
"19","7-5-2015 15:15:20","1957"
"24","7-5-2015 15:15:00","1420"
"22","7-5-2015 15:14:40","2172"
"24","7-5-2015 15:14:20","1618"
"130","7-5-2015 15:14:00","1872"
"31","7-5-2015 15:13:40","2039"
"30","7-5-2015 15:13:20","1799"
"25","7-5-2015 15:13:00","1984"
"25","7-5-2015 15:12:40","1648"
"35","7-5-2015 15:12:20","1438"
"23","7-5-2015 15:12:00","1352"
"27","7-5-2015 15:11:40","31"
"11","7-5-2015 15:11:20","215"
"2","7-5-2015 15:11:00","724"
"24","7-5-2015 15:10:40","819"
"16","7-5-2015 15:10:20","227"
"12","7-5-2015 15:10:00","120"
"12","7-5-2015 15:09:40","3"
"0","7-5-2015 10:31:40","82"
"0","7-5-2015 10:31:20","10"
"0","7-5-2015 10:31:00","318"
"1","7-5-2015 10:30:40","530"
"5","7-5-2015 10:30:20","382"
"3","7-5-2015 10:30:00","898"
"4","7-5-2015 10:29:40","1073"
"6","7-5-2015 10:29:20","959"
"9","7-5-2015 10:29:00","890"
"7","7-5-2015 10:28:40","1245"
"22","7-5-2015 10:28:20","933"
"10","7-5-2015 10:28:00","1374"
"18","7-5-2015 10:27:40","1111"
"12","7-5-2015 10:27:20","1797"
"19","7-5-2015 10:27:00","1942"
"29","7-5-2015 10:26:40","1795"
"18","7-5-2015 10:26:20","1739"
"24","7-5-2015 10:26:00","1855"
"23","7-5-2015 10:25:40","1575"
"21","7-5-2015 10:25:20","2297"
"18","7-5-2015 10:25:00","1556"
"25","7-5-2015 10:24:40","1745"
"19","7-5-2015 10:24:20","2138"
"25","7-5-2015 10:24:00","2096"
"25","7-5-2015 10:23:40","1701"
"24","7-5-2015 10:23:20","2103"
"18","7-5-2015 10:23:00","2095"
"29","7-5-2015 10:22:40","1983"
"25","7-5-2015 10:22:20","1794"
