"Reads","TimeStamp","Writes"
"0","7-5-2015 15:24:20","25"
"0","7-5-2015 15:24:00","31"
"0","7-5-2015 15:23:40","0"
"0","7-5-2015 15:23:20","81"
"0","7-5-2015 15:23:00","102"
"0","7-5-2015 15:22:40","110"
"0","7-5-2015 15:22:20","124"
"0","7-5-2015 15:22:00","138"
"0","7-5-2015 15:21:40","140"
"0","7-5-2015 15:21:20","140"
"0","7-5-2015 15:21:00","151"
"0","7-5-2015 15:20:40","172"
"0","7-5-2015 15:20:20","185"
"0","7-5-2015 15:20:00","197"
"0","7-5-2015 15:19:40","199"
"0","7-5-2015 15:19:20","186"
"0","7-5-2015 15:19:00","201"
"0","7-5-2015 15:18:40","182"
"0","7-5-2015 15:18:20","171"
"0","7-5-2015 15:18:00","187"
"0","7-5-2015 15:17:40","195"
"0","7-5-2015 15:17:20","201"
"0","7-5-2015 15:17:00","182"
"0","7-5-2015 15:16:40","175"
"0","7-5-2015 15:16:20","201"
"0","7-5-2015 15:16:00","191"
"0","7-5-2015 15:15:40","184"
"0","7-5-2015 15:15:20","179"
"0","7-5-2015 15:15:00","197"
"0","7-5-2015 15:14:40","196"
"0","7-5-2015 15:14:20","190"
"163","7-5-2015 15:14:00","165"
"0","7-5-2015 15:13:40","177"
"0","7-5-2015 15:13:20","169"
"0","7-5-2015 15:13:00","182"
"0","7-5-2015 15:12:40","187"
"0","7-5-2015 15:12:20","175"
"0","7-5-2015 15:12:00","186"
"0","7-5-2015 15:11:40","160"
"0","7-5-2015 15:11:20","10"
"21","7-5-2015 15:11:00","5"
"0","7-5-2015 15:10:40","105"
"0","7-5-2015 15:10:20","123"
"0","7-5-2015 15:10:00","70"
"0","7-5-2015 15:09:40","45"
"0","7-5-2015 15:24:20","25"
"0","7-5-2015 15:24:00","31"
"0","7-5-2015 15:23:40","0"
"0","7-5-2015 15:23:20","81"
"0","7-5-2015 15:23:00","102"
"0","7-5-2015 15:22:40","110"
"0","7-5-2015 15:22:20","124"
"0","7-5-2015 15:22:00","138"
"0","7-5-2015 15:21:40","140"
"0","7-5-2015 15:21:20","140"
"0","7-5-2015 15:21:00","151"
"0","7-5-2015 15:20:40","172"
"0","7-5-2015 15:20:20","185"
"0","7-5-2015 15:20:00","197"
"0","7-5-2015 15:19:40","199"
"0","7-5-2015 15:19:20","186"
"0","7-5-2015 15:19:00","201"
"0","7-5-2015 15:18:40","182"
"0","7-5-2015 15:18:20","171"
"0","7-5-2015 15:18:00","187"
"0","7-5-2015 15:17:40","195"
"0","7-5-2015 15:17:20","201"
"0","7-5-2015 15:17:00","182"
"0","7-5-2015 15:16:40","175"
"0","7-5-2015 15:16:20","201"
"0","7-5-2015 15:16:00","191"
"0","7-5-2015 15:15:40","184"
"0","7-5-2015 15:15:20","179"
"0","7-5-2015 15:15:00","197"
"0","7-5-2015 15:14:40","196"
"0","7-5-2015 15:14:20","190"
"163","7-5-2015 15:14:00","165"
"0","7-5-2015 15:13:40","177"
"0","7-5-2015 15:13:20","169"
"0","7-5-2015 15:13:00","182"
"0","7-5-2015 15:12:40","187"
"0","7-5-2015 15:12:20","175"
"0","7-5-2015 15:12:00","186"
"0","7-5-2015 15:11:40","160"
"0","7-5-2015 15:11:20","10"
"21","7-5-2015 15:11:00","5"
"0","7-5-2015 15:10:40","105"
"0","7-5-2015 15:10:20","123"
"0","7-5-2015 15:10:00","70"
"0","7-5-2015 15:09:40","45"
"0","7-5-2015 10:31:40","0"
"0","7-5-2015 10:31:20","25"
"0","7-5-2015 10:31:00","2"
"0","7-5-2015 10:30:40","59"
"0","7-5-2015 10:30:20","78"
"0","7-5-2015 10:30:00","104"
"0","7-5-2015 10:29:40","124"
"0","7-5-2015 10:29:20","127"
"0","7-5-2015 10:29:00","133"
"0","7-5-2015 10:28:40","148"
"0","7-5-2015 10:28:20","166"
"0","7-5-2015 10:28:00","150"
"0","7-5-2015 10:27:40","170"
"0","7-5-2015 10:27:20","145"
"0","7-5-2015 10:27:00","195"
"0","7-5-2015 10:26:40","203"
"0","7-5-2015 10:26:20","203"
"0","7-5-2015 10:26:00","183"
"0","7-5-2015 10:25:40","192"
"0","7-5-2015 10:25:20","199"
"0","7-5-2015 10:25:00","199"
"0","7-5-2015 10:24:40","204"
"0","7-5-2015 10:24:20","201"
"0","7-5-2015 10:24:00","200"
"0","7-5-2015 10:23:40","201"
"0","7-5-2015 10:23:20","203"
"0","7-5-2015 10:23:00","200"
"0","7-5-2015 10:22:40","201"
"0","7-5-2015 10:22:20","204"
"0","7-5-2015 10:22:00","187"
"0","7-5-2015 10:21:40","197"
"0","7-5-2015 10:21:20","201"
"0","7-5-2015 10:21:00","204"
"0","7-5-2015 10:20:40","204"
"0","7-5-2015 10:20:20","187"
"0","7-5-2015 10:20:00","176"
"0","7-5-2015 10:19:40","187"
"0","7-5-2015 10:19:20","188"
"0","7-5-2015 10:19:00","187"
"0","7-5-2015 10:18:40","171"
"0","7-5-2015 10:18:20","164"
"0","7-5-2015 10:18:00","130"
"0","7-5-2015 10:17:40","119"
"0","7-5-2015 10:17:20","126"
"0","7-5-2015 10:17:00","76"
"0","7-5-2015 10:31:40","0"
"0","7-5-2015 10:31:20","25"
"0","7-5-2015 10:31:00","2"
"0","7-5-2015 10:30:40","59"
"0","7-5-2015 10:30:20","78"
"0","7-5-2015 10:30:00","104"
"0","7-5-2015 10:29:40","124"
"0","7-5-2015 10:29:20","127"
"0","7-5-2015 10:29:00","133"
"0","7-5-2015 10:28:40","148"
"0","7-5-2015 10:28:20","166"
"0","7-5-2015 10:28:00","150"
"0","7-5-2015 10:27:40","170"
"0","7-5-2015 10:27:20","145"
"0","7-5-2015 10:27:00","195"
"0","7-5-2015 10:26:40","203"
"0","7-5-2015 10:26:20","203"
"0","7-5-2015 10:26:00","183"
"0","7-5-2015 10:25:40","192"
"0","7-5-2015 10:25:20","199"
"0","7-5-2015 10:25:00","199"
"0","7-5-2015 10:24:40","204"
"0","7-5-2015 10:24:20","201"
"0","7-5-2015 10:24:00","200"
"0","7-5-2015 10:23:40","201"
"0","7-5-2015 10:23:20","203"
"0","7-5-2015 10:23:00","200"
"0","7-5-2015 10:22:40","201"
"0","7-5-2015 10:22:20","204"
"0","7-5-2015 10:22:00","187"
"0","7-5-2015 10:21:40","197"
"0","7-5-2015 10:21:20","201"
"0","7-5-2015 10:21:00","204"
"0","7-5-2015 10:20:40","204"
"0","7-5-2015 10:20:20","187"
"0","7-5-2015 10:20:00","176"
"0","7-5-2015 10:19:40","187"
"0","7-5-2015 10:19:20","188"
"0","7-5-2015 10:19:00","187"
"0","7-5-2015 10:18:40","171"
"0","7-5-2015 10:18:20","164"
"0","7-5-2015 10:18:00","130"
"0","7-5-2015 10:17:40","119"
"0","7-5-2015 10:17:20","126"
"0","7-5-2015 10:17:00","76"
