"TimeStamp","CPU","POWER","MEM"
"7-5-2015 15:24:20","0.56","8","29.99"
"7-5-2015 15:24:00","2.23","9","33.99"
"7-5-2015 15:23:40","0.27","7","33.99"
"7-5-2015 15:23:20","2.86","15","33.99"
"7-5-2015 15:23:00","6.09","17","35.99"
"7-5-2015 15:22:40","8.3","21","35.99"
"7-5-2015 15:22:20","9.08","21","35.99"
"7-5-2015 15:22:00","10.57","23","33.99"
"7-5-2015 15:21:40","11.81","23","33.99"
"7-5-2015 15:21:20","13.01","26","33.99"
"7-5-2015 15:21:00","14.2","25","39.99"
"7-5-2015 15:20:40","15.4","29","39.99"
"7-5-2015 15:20:20","17.86","28","39.99"
"7-5-2015 15:20:00","17.86","28","34.99"
"7-5-2015 15:19:40","20.34","30","34.99"
"7-5-2015 15:19:20","20.19","29","34.99"
"7-5-2015 15:19:00","20.24","29","34.99"
"7-5-2015 15:18:40","20.39","30","34.99"
"7-5-2015 15:18:20","20.64","30","34.99"
"7-5-2015 15:18:00","19.18","29","37.99"
"7-5-2015 15:17:40","20.15","29","37.99"
"7-5-2015 15:17:20","20.58","31","37.99"
"7-5-2015 15:17:00","20.52","30","40.99"
"7-5-2015 15:16:40","19.04","29","40.99"
"7-5-2015 15:16:20","20.85","30","40.99"
"7-5-2015 15:16:00","20.2","30","46.99"
"7-5-2015 15:15:40","18.53","29","46.99"
"7-5-2015 15:15:20","19.41","31","46.99"
"7-5-2015 15:15:00","21.1","30","50"
"7-5-2015 15:14:40","20.65","29","50"
"7-5-2015 15:14:20","20.76","32","50"
"7-5-2015 15:14:00","21.61","30","50.99"
"7-5-2015 15:13:40","21.54","30","50.99"
"7-5-2015 15:13:20","21.9","30","50.99"
"7-5-2015 15:13:00","23.07","25","53.99"
"7-5-2015 15:12:40","22.63","34","53.99"
"7-5-2015 15:12:20","26.61","34","53.99"
"7-5-2015 15:12:00","26.35","34","58.99"
"7-5-2015 15:11:40","30.48","30","58.99"
"7-5-2015 15:11:20","17.03","9","58.99"
"7-5-2015 15:11:00","1.19","12","68.99"
"7-5-2015 15:10:40","9.77","28","68.99"
"7-5-2015 15:10:20","20.98","26","68.99"
"7-5-2015 15:10:00","15.12","23","93.99"
"7-5-2015 15:09:40","15.42","20","93.99"
"7-5-2015 10:31:40","0.1","3","31.99"
"7-5-2015 10:31:20","0.32","5","31.99"
"7-5-2015 10:31:00","0.9","6","31.99"
"7-5-2015 10:30:40","1.54","11","32.99"
"7-5-2015 10:30:20","4.26","14","32.99"
"7-5-2015 10:30:00","5.38","16","32.99"
"7-5-2015 10:29:40","7.05","18","36.99"
"7-5-2015 10:29:20","8.48","21","36.99"
"7-5-2015 10:29:00","9.87","20","36.99"
"7-5-2015 10:28:40","10.03","21","36.99"
"7-5-2015 10:28:20","11.46","23","36.99"
"7-5-2015 10:28:00","12.82","23","36.99"
"7-5-2015 10:27:40","13.77","25","38.99"
"7-5-2015 10:27:20","14.08","26","38.99"
"7-5-2015 10:27:00","16.23","27","38.99"
"7-5-2015 10:26:40","18.94","29","39.99"
"7-5-2015 10:26:20","17.67","27","39.99"
"7-5-2015 10:26:00","18.34","28","39.99"
"7-5-2015 10:25:40","18.37","29","43.99"
"7-5-2015 10:25:20","20.28","29","43.99"
"7-5-2015 10:25:00","18.25","29","43.99"
"7-5-2015 10:24:40","19.39","28","38.99"
"7-5-2015 10:24:20","18.98","27","38.99"
"7-5-2015 10:24:00","18.81","29","38.99"
"7-5-2015 10:23:40","20.13","29","39.99"
"7-5-2015 10:23:20","19.69","28","39.99"
"7-5-2015 10:23:00","19.51","29","39.99"
"7-5-2015 10:22:40","20.85","28","43.99"
"7-5-2015 10:22:20","18.98","29","43.99"
"7-5-2015 10:22:00","19.78","28","43.99"
"7-5-2015 10:21:40","19.74","29","45.99"
"7-5-2015 10:21:20","21.12","29","45.99"
"7-5-2015 10:21:00","19.5","29","45.99"
"7-5-2015 10:20:40","20.15","30","51.99"
"7-5-2015 10:20:20","22.07","28","51.99"
"7-5-2015 10:20:00","19.21","30","51.99"
"7-5-2015 10:19:40","23.55","30","56.99"
"7-5-2015 10:19:20","22.64","30","56.99"
"7-5-2015 10:19:00","25.12","31","56.99"
"7-5-2015 10:18:40","22.86","30","66.99"
"7-5-2015 10:18:20","20.29","30","66.99"
"7-5-2015 10:18:00","19.02","27","66.99"
"7-5-2015 10:17:40","17.45","28","93.99"
"7-5-2015 10:17:20","16.11","28","93.99"
"7-5-2015 10:17:00","16.07","27","93.99"
