"Reads","TimeStamp","Writes"
"83","21-5-2015 13:02:00","0"
"63","21-5-2015 13:01:40","0"
"20","21-5-2015 13:01:20","0"
"19","21-5-2015 13:01:00","0"
"64","21-5-2015 13:00:40","0"
"20","21-5-2015 13:00:20","0"
"93","21-5-2015 13:00:00","0"
"64","21-5-2015 12:59:40","0"
"19","21-5-2015 12:59:20","0"
"103","21-5-2015 12:59:00","0"
"233","21-5-2015 12:58:40","0"
"19","21-5-2015 12:58:20","0"
"20","21-5-2015 12:58:00","0"
"127","21-5-2015 12:57:40","0"
"20","21-5-2015 12:57:20","0"
"19","21-5-2015 12:57:00","0"
"0","21-5-2015 12:56:40","0"
"20","21-5-2015 12:56:20","0"
"83","21-5-2015 12:56:00","0"
"64","21-5-2015 12:55:40","0"
"19","21-5-2015 12:55:20","0"
"20","21-5-2015 12:55:00","0"
"64","21-5-2015 12:54:40","0"
"12","21-5-2015 12:54:20","0"
"32","21-5-2015 12:54:00","0"
"297","21-5-2015 12:53:40","0"
"20","21-5-2015 12:53:20","0"
"83","21-5-2015 12:53:00","0"
"0","21-5-2015 12:52:40","0"
"20","21-5-2015 12:52:20","0"
"19","21-5-2015 12:52:00","0"
"61","21-5-2015 12:51:40","0"
"83","21-5-2015 12:51:20","0"
"20","21-5-2015 12:51:00","0"
"0","21-5-2015 12:50:40","0"
"19","21-5-2015 12:50:20","0"
"83","21-5-2015 12:50:00","0"
"20","21-5-2015 12:49:40","0"
"57","21-5-2015 12:49:20","0"
"32","21-5-2015 12:49:00","0"
"0","21-5-2015 12:48:40","0"
"316","21-5-2015 12:48:20","0"
"20","21-5-2015 12:48:00","0"
"0","21-5-2015 12:47:40","0"
"89","21-5-2015 12:47:20","0"
"83","21-5-2015 12:47:00","0"
"0","21-5-2015 12:46:40","0"
"20","21-5-2015 12:46:20","0"
"19","21-5-2015 12:46:00","0"
"0","21-5-2015 12:45:40","0"
"147","21-5-2015 12:45:20","0"
"20","21-5-2015 12:45:00","0"
"0","21-5-2015 12:44:40","0"
"19","21-5-2015 12:44:20","0"
"273","21-5-2015 12:44:00","0"
"0","21-5-2015 12:43:40","0"
"77","21-5-2015 12:43:20","0"
"252","21-5-2015 12:43:00","0"
"0","21-5-2015 12:42:40","0"
"83","21-5-2015 12:42:20","0"
"0","21-5-2015 13:02:00","20"
"0","21-5-2015 13:01:40","0"
"0","21-5-2015 13:01:20","20"
"0","21-5-2015 13:01:00","20"
"0","21-5-2015 13:00:40","0"
"0","21-5-2015 13:00:20","20"
"0","21-5-2015 13:00:00","38"
"0","21-5-2015 12:59:40","7"
"0","21-5-2015 12:59:20","23"
"0","21-5-2015 12:59:00","49"
"0","21-5-2015 12:58:40","0"
"0","21-5-2015 12:58:20","20"
"0","21-5-2015 12:58:00","20"
"0","21-5-2015 12:57:40","1"
"0","21-5-2015 12:57:20","22"
"0","21-5-2015 12:57:00","22"
"0","21-5-2015 12:56:40","0"
"0","21-5-2015 12:56:20","20"
"0","21-5-2015 12:56:00","20"
"0","21-5-2015 12:55:40","2"
"0","21-5-2015 12:55:20","21"
"0","21-5-2015 12:55:00","22"
"0","21-5-2015 12:54:40","0"
"0","21-5-2015 12:54:20","13"
"0","21-5-2015 12:54:00","33"
"0","21-5-2015 12:53:40","0"
"0","21-5-2015 12:53:20","23"
"0","21-5-2015 12:53:00","20"
"0","21-5-2015 12:52:40","0"
"0","21-5-2015 12:52:20","20"
"0","21-5-2015 12:52:00","20"
"0","21-5-2015 12:51:40","0"
"0","21-5-2015 12:51:20","20"
"0","21-5-2015 12:51:00","20"
"0","21-5-2015 12:50:40","0"
"0","21-5-2015 12:50:20","20"
"0","21-5-2015 12:50:00","20"
"0","21-5-2015 12:49:40","0"
"0","21-5-2015 12:49:20","13"
"0","21-5-2015 12:49:00","36"
"0","21-5-2015 12:48:40","0"
"0","21-5-2015 12:48:20","20"
"0","21-5-2015 12:48:00","23"
"0","21-5-2015 12:47:40","0"
"0","21-5-2015 12:47:20","28"
"0","21-5-2015 12:47:00","21"
"0","21-5-2015 12:46:40","1"
"0","21-5-2015 12:46:20","21"
