"Reads","TimeStamp","Writes"
"0","7-5-2015 13:44:20","0"
"0","7-5-2015 13:44:00","2"
"0","7-5-2015 13:43:40","0"
"0","7-5-2015 13:43:20","0"
"0","7-5-2015 13:43:00","0"
"0","7-5-2015 13:42:40","0"
"0","7-5-2015 13:42:20","0"
"0","7-5-2015 13:42:00","0"
"0","7-5-2015 13:41:40","0"
"0","7-5-2015 13:41:20","0"
"0","7-5-2015 13:41:00","0"
"9760","7-5-2015 13:40:40","31373"
"8288","7-5-2015 13:40:20","37998"
"4448","7-5-2015 13:40:00","42557"
"2963","7-5-2015 13:39:40","12764"
"3211","7-5-2015 13:39:20","2872"
"5475","7-5-2015 13:39:00","4273"
"5969","7-5-2015 13:38:40","4775"
"6067","7-5-2015 13:38:20","4892"
"5944","7-5-2015 13:38:00","5284"
"5978","7-5-2015 13:37:40","5507"
"5914","7-5-2015 13:37:20","5524"
"5937","7-5-2015 13:37:00","5194"
"5906","7-5-2015 13:36:40","4898"
"5869","7-5-2015 13:36:20","4517"
"6012","7-5-2015 13:36:00","4007"
"5995","7-5-2015 13:35:40","4366"
"6057","7-5-2015 13:35:20","5379"
"3696","7-5-2015 13:35:00","3776"
"3311","7-5-2015 13:34:40","3049"
"3282","7-5-2015 13:34:20","3295"
"3896","7-5-2015 13:34:00","3954"
"5933","7-5-2015 13:33:40","6110"
"6007","7-5-2015 13:33:20","5469"
"5787","7-5-2015 13:33:00","3364"
"6103","7-5-2015 13:32:40","2822"
"5919","7-5-2015 13:32:20","3723"
"6016","7-5-2015 13:32:00","4969"
"6064","7-5-2015 13:31:40","6162"
"5972","7-5-2015 13:31:20","7252"
"5979","7-5-2015 13:31:00","8597"
"5940","7-5-2015 13:30:40","7038"
"6022","7-5-2015 13:30:20","1634"
"5477","7-5-2015 13:30:00","1493"
"3352","7-5-2015 13:29:40","931"
"3287","7-5-2015 13:29:20","925"
"3400","7-5-2015 13:29:00","934"
"4875","7-5-2015 13:28:40","1311"
"6151","7-5-2015 13:28:20","1633"
"6300","7-5-2015 13:28:00","1635"
"6450","7-5-2015 13:27:40","1658"
"6398","7-5-2015 13:27:20","1658"
"6683","7-5-2015 13:27:00","1732"
"6744","7-5-2015 13:26:40","1797"
"6808","7-5-2015 13:26:20","1793"
"6879","7-5-2015 13:26:00","1806"
"6856","7-5-2015 13:25:40","1852"
"6736","7-5-2015 13:25:20","1674"
"6870","7-5-2015 13:25:00","1618"
"3791","7-5-2015 13:24:40","313"
"0","7-5-2015 13:44:20","0"
"0","7-5-2015 13:44:00","2"
"0","7-5-2015 13:43:40","0"
"0","7-5-2015 13:43:20","0"
"0","7-5-2015 13:43:00","0"
"0","7-5-2015 13:42:40","0"
"0","7-5-2015 13:42:20","0"
"0","7-5-2015 13:42:00","0"
"0","7-5-2015 13:41:40","0"
"0","7-5-2015 13:41:20","0"
"0","7-5-2015 13:41:00","0"
"9760","7-5-2015 13:40:40","31373"
"8288","7-5-2015 13:40:20","37998"
"4448","7-5-2015 13:40:00","42557"
"2963","7-5-2015 13:39:40","12764"
"3211","7-5-2015 13:39:20","2872"
"5475","7-5-2015 13:39:00","4273"
"5969","7-5-2015 13:38:40","4775"
"6067","7-5-2015 13:38:20","4892"
"5944","7-5-2015 13:38:00","5284"
"5978","7-5-2015 13:37:40","5507"
"5914","7-5-2015 13:37:20","5524"
"5937","7-5-2015 13:37:00","5194"
"5906","7-5-2015 13:36:40","4898"
"5869","7-5-2015 13:36:20","4517"
"6012","7-5-2015 13:36:00","4007"
"5995","7-5-2015 13:35:40","4366"
"6057","7-5-2015 13:35:20","5379"
"3696","7-5-2015 13:35:00","3776"
"3311","7-5-2015 13:34:40","3049"
"3282","7-5-2015 13:34:20","3295"
"3896","7-5-2015 13:34:00","3954"
"5933","7-5-2015 13:33:40","6110"
"6007","7-5-2015 13:33:20","5469"
"5787","7-5-2015 13:33:00","3364"
"6103","7-5-2015 13:32:40","2822"
"5919","7-5-2015 13:32:20","3723"
"6016","7-5-2015 13:32:00","4969"
"6064","7-5-2015 13:31:40","6162"
"5972","7-5-2015 13:31:20","7252"
"5979","7-5-2015 13:31:00","8597"
"5940","7-5-2015 13:30:40","7038"
"6022","7-5-2015 13:30:20","1634"
"5477","7-5-2015 13:30:00","1493"
"3352","7-5-2015 13:29:40","931"
"3287","7-5-2015 13:29:20","925"
"3400","7-5-2015 13:29:00","934"
"4875","7-5-2015 13:28:40","1311"
"6151","7-5-2015 13:28:20","1633"
"6300","7-5-2015 13:28:00","1635"
"6450","7-5-2015 13:27:40","1658"
"6398","7-5-2015 13:27:20","1658"
"6683","7-5-2015 13:27:00","1732"
"6744","7-5-2015 13:26:40","1797"
"6808","7-5-2015 13:26:20","1793"
"6879","7-5-2015 13:26:00","1806"
"6856","7-5-2015 13:25:40","1852"
"6736","7-5-2015 13:25:20","1674"
