"Reads","TimeStamp","Writes"
"13","7-5-2015 14:29:20","0"
"183","7-5-2015 14:29:00","0"
"127","7-5-2015 14:28:40","0"
"20","7-5-2015 14:28:20","0"
"107","7-5-2015 14:28:00","0"
"145","7-5-2015 14:27:40","0"
"25","7-5-2015 14:27:20","0"
"83","7-5-2015 14:27:00","0"
"63","7-5-2015 14:26:40","0"
"13","7-5-2015 14:26:20","0"
"1345","7-5-2015 14:26:00","0"
"9646","7-5-2015 14:25:40","0"
"7652","7-5-2015 14:25:20","0"
"4512","7-5-2015 14:25:00","0"
"2832","7-5-2015 14:24:40","0"
"3784","7-5-2015 14:24:20","0"
"6120","7-5-2015 14:24:00","0"
"5802","7-5-2015 14:23:40","0"
"5968","7-5-2015 14:23:20","0"
"5959","7-5-2015 14:23:00","0"
"6345","7-5-2015 14:22:40","0"
"5973","7-5-2015 14:22:20","0"
"6092","7-5-2015 14:22:00","0"
"5846","7-5-2015 14:21:40","0"
"5960","7-5-2015 14:21:20","0"
"5955","7-5-2015 14:21:00","0"
"5955","7-5-2015 14:20:40","0"
"5768","7-5-2015 14:20:20","0"
"3335","7-5-2015 14:20:00","0"
"3239","7-5-2015 14:19:40","0"
"3244","7-5-2015 14:19:20","0"
"4555","7-5-2015 14:19:00","0"
"6099","7-5-2015 14:18:40","0"
"5805","7-5-2015 14:18:20","0"
"6172","7-5-2015 14:18:00","0"
"5979","7-5-2015 14:17:40","0"
"6286","7-5-2015 14:17:20","0"
"5977","7-5-2015 14:17:00","0"
"5999","7-5-2015 14:16:40","0"
"5777","7-5-2015 14:16:20","0"
"6130","7-5-2015 14:16:00","0"
"6253","7-5-2015 14:15:40","0"
"6089","7-5-2015 14:15:20","0"
"4660","7-5-2015 14:15:00","0"
"3404","7-5-2015 14:14:40","0"
"3438","7-5-2015 14:14:20","0"
"3515","7-5-2015 14:14:00","0"
"4991","7-5-2015 14:13:40","0"
"5454","7-5-2015 14:13:20","0"
"5708","7-5-2015 14:13:00","0"
"5551","7-5-2015 14:12:40","0"
"6031","7-5-2015 14:12:20","0"
"5921","7-5-2015 14:12:00","0"
"5977","7-5-2015 14:11:40","0"
"5872","7-5-2015 14:11:20","0"
"6021","7-5-2015 14:11:00","0"
"6156","7-5-2015 14:10:40","0"
"5931","7-5-2015 14:10:20","0"
"6146","7-5-2015 14:10:00","0"
"2196","7-5-2015 14:09:40","0"
"0","7-5-2015 14:29:20","14"
"0","7-5-2015 14:29:00","151"
"0","7-5-2015 14:28:40","0"
"0","7-5-2015 14:28:20","20"
"0","7-5-2015 14:28:00","23"
"0","7-5-2015 14:27:40","0"
"0","7-5-2015 14:27:20","27"
"0","7-5-2015 14:27:00","20"
"0","7-5-2015 14:26:40","0"
"0","7-5-2015 14:26:20","14"
"0","7-5-2015 14:26:00","4362"
"0","7-5-2015 14:25:40","30578"
"0","7-5-2015 14:25:20","40343"
"0","7-5-2015 14:25:00","42942"
"0","7-5-2015 14:24:40","6282"
"0","7-5-2015 14:24:20","3072"
"0","7-5-2015 14:24:00","5038"
"0","7-5-2015 14:23:40","5131"
"0","7-5-2015 14:23:20","5561"
"0","7-5-2015 14:23:00","5613"
"0","7-5-2015 14:22:40","5954"
"0","7-5-2015 14:22:20","5328"
"0","7-5-2015 14:22:00","5109"
"0","7-5-2015 14:21:40","4004"
"0","7-5-2015 14:21:20","4239"
"0","7-5-2015 14:21:00","5189"
"0","7-5-2015 14:20:40","5547"
"0","7-5-2015 14:20:20","5964"
"0","7-5-2015 14:20:00","3638"
"0","7-5-2015 14:19:40","3441"
"0","7-5-2015 14:19:20","3333"
"0","7-5-2015 14:19:00","4544"
"0","7-5-2015 14:18:40","4427"
"0","7-5-2015 14:18:20","2953"
"0","7-5-2015 14:18:00","3715"
"0","7-5-2015 14:17:40","4471"
"0","7-5-2015 14:17:20","5771"
"0","7-5-2015 14:17:00","7315"
"0","7-5-2015 14:16:40","8091"
"0","7-5-2015 14:16:20","8678"
"0","7-5-2015 14:16:00","2922"
"0","7-5-2015 14:15:40","1798"
"0","7-5-2015 14:15:20","1991"
"0","7-5-2015 14:15:00","1398"
"0","7-5-2015 14:14:40","1033"
"0","7-5-2015 14:14:20","1011"
"0","7-5-2015 14:14:00","1091"
"0","7-5-2015 14:13:40","1651"
"0","7-5-2015 14:13:20","1732"
"35","7-5-2015 14:13:00","1806"
"0","7-5-2015 14:12:40","1804"
"0","7-5-2015 14:12:20","1720"
"0","7-5-2015 14:12:00","1901"
"0","7-5-2015 14:11:40","1951"
"0","7-5-2015 14:11:20","1904"
"0","7-5-2015 14:11:00","2055"
"0","7-5-2015 14:10:40","1953"
"0","7-5-2015 14:10:20","1825"
"0","7-5-2015 14:10:00","1873"
"0","7-5-2015 14:09:40","263"
"14","7-5-2015 14:29:20","14"
"183","7-5-2015 14:29:00","151"
"127","7-5-2015 14:28:40","0"
"20","7-5-2015 14:28:20","20"
"107","7-5-2015 14:28:00","23"
"145","7-5-2015 14:27:40","0"
"25","7-5-2015 14:27:20","27"
"84","7-5-2015 14:27:00","20"
"64","7-5-2015 14:26:40","0"
"14","7-5-2015 14:26:20","14"
"1346","7-5-2015 14:26:00","4362"
"9646","7-5-2015 14:25:40","30578"
"7653","7-5-2015 14:25:20","40344"
"4512","7-5-2015 14:25:00","42942"
"2833","7-5-2015 14:24:40","6282"
"3784","7-5-2015 14:24:20","3072"
"6120","7-5-2015 14:24:00","5038"
"5802","7-5-2015 14:23:40","5131"
"5969","7-5-2015 14:23:20","5561"
"5959","7-5-2015 14:23:00","5613"
"6345","7-5-2015 14:22:40","5954"
"5973","7-5-2015 14:22:20","5328"
"6092","7-5-2015 14:22:00","5110"
"5846","7-5-2015 14:21:40","4004"
"5960","7-5-2015 14:21:20","4240"
"5956","7-5-2015 14:21:00","5189"
"5955","7-5-2015 14:20:40","5547"
"5768","7-5-2015 14:20:20","5964"
"3336","7-5-2015 14:20:00","3638"
"3239","7-5-2015 14:19:40","3441"
"3245","7-5-2015 14:19:20","3334"
"4555","7-5-2015 14:19:00","4544"
"6100","7-5-2015 14:18:40","4427"
"5805","7-5-2015 14:18:20","2953"
"6173","7-5-2015 14:18:00","3716"
"5979","7-5-2015 14:17:40","4472"
"6287","7-5-2015 14:17:20","5771"
"5977","7-5-2015 14:17:00","7315"
"5999","7-5-2015 14:16:40","8091"
"5777","7-5-2015 14:16:20","8679"
"6130","7-5-2015 14:16:00","2922"
"6254","7-5-2015 14:15:40","1798"
"6089","7-5-2015 14:15:20","1991"
"4660","7-5-2015 14:15:00","1399"
"3404","7-5-2015 14:14:40","1033"
"3439","7-5-2015 14:14:20","1011"
"3516","7-5-2015 14:14:00","1091"
"4991","7-5-2015 14:13:40","1651"
"5454","7-5-2015 14:13:20","1732"
"5744","7-5-2015 14:13:00","1806"
"5552","7-5-2015 14:12:40","1805"
"6031","7-5-2015 14:12:20","1720"
"5922","7-5-2015 14:12:00","1901"
"5977","7-5-2015 14:11:40","1951"
"5873","7-5-2015 14:11:20","1904"
"6022","7-5-2015 14:11:00","2055"
"6156","7-5-2015 14:10:40","1953"
"5932","7-5-2015 14:10:20","1825"
"6146","7-5-2015 14:10:00","1873"
"2196","7-5-2015 14:09:40","263"
"13","7-5-2015 14:29:20","0"
"183","7-5-2015 14:29:00","0"
"127","7-5-2015 14:28:40","0"
"20","7-5-2015 14:28:20","0"
"107","7-5-2015 14:28:00","0"
"145","7-5-2015 14:27:40","0"
"25","7-5-2015 14:27:20","0"
"83","7-5-2015 14:27:00","0"
"63","7-5-2015 14:26:40","0"
"13","7-5-2015 14:26:20","0"
"1345","7-5-2015 14:26:00","0"
"9646","7-5-2015 14:25:40","0"
"7652","7-5-2015 14:25:20","0"
"4512","7-5-2015 14:25:00","0"
"2832","7-5-2015 14:24:40","0"
"3784","7-5-2015 14:24:20","0"
"6120","7-5-2015 14:24:00","0"
"5802","7-5-2015 14:23:40","0"
"5968","7-5-2015 14:23:20","0"
