"TimeStamp","CPU","POWER","MEM"
"7-5-2015 13:44:20","0.12","1","2.99"
"7-5-2015 13:44:00","0.14","0","2.99"
"7-5-2015 13:43:40","0.08","0","2.99"
"7-5-2015 13:43:20","0.06","0","2.99"
"7-5-2015 13:43:00","0.1","1","1.99"
"7-5-2015 13:42:40","0.05","0","0"
"7-5-2015 13:42:20","0.08","0","0.99"
"7-5-2015 13:42:00","0.08","1","0.99"
"7-5-2015 13:41:40","0.09","0","0.99"
"7-5-2015 13:41:20","0.08","1","2.99"
"7-5-2015 13:41:00","0.03","0","2.99"
"7-5-2015 13:40:40","0.09","0","2.99"
"7-5-2015 13:40:20","0.1","0","1.99"
"7-5-2015 13:40:00","0.07","0","1.99"
"7-5-2015 13:39:40","0.11","0","1.99"
"7-5-2015 13:39:20","0.09","0","1.99"
"7-5-2015 13:39:00","18.2","9","1.99"
"7-5-2015 13:38:40","22.21","10","1.99"
"7-5-2015 13:38:20","21.94","10","3.99"
"7-5-2015 13:38:00","21.94","10","3.99"
"7-5-2015 13:37:40","22.26","10","3.99"
"7-5-2015 13:37:20","22.43","10","0.99"
"7-5-2015 13:37:00","22.48","10","0.99"
"7-5-2015 13:36:40","21.79","9","0.99"
"7-5-2015 13:36:20","21.84","10","2.99"
"7-5-2015 13:36:00","22.31","10","2.99"
"7-5-2015 13:35:40","22.42","10","2.99"
"7-5-2015 13:35:20","22.24","8","2.99"
"7-5-2015 13:35:00","4.02","1","2.99"
"7-5-2015 13:34:40","0.07","0","2.99"
"7-5-2015 13:34:20","0.12","0","2.99"
"7-5-2015 13:34:00","4.59","3","2.99"
"7-5-2015 13:33:40","22.33","10","2.99"
"7-5-2015 13:33:20","21.8","10","3.99"
"7-5-2015 13:33:00","21.62","10","3.99"
"7-5-2015 13:32:40","22.14","10","3.99"
"7-5-2015 13:32:20","21.92","10","3.99"
"7-5-2015 13:32:00","22.25","10","3.99"
"7-5-2015 13:31:40","22.7","9","3.99"
"7-5-2015 13:31:20","21.92","9","1.99"
"7-5-2015 13:31:00","22.14","10","1.99"
"7-5-2015 13:30:40","22.49","10","1.99"
"7-5-2015 13:30:20","22.46","9","3.99"
"7-5-2015 13:30:00","18.65","5","3.99"
"7-5-2015 13:29:40","0.07","0","3.99"
"7-5-2015 13:29:20","0.14","0","1.99"
"7-5-2015 13:29:00","0.15","0","1.99"
"7-5-2015 13:28:40","12.63","7","1.99"
"7-5-2015 13:28:20","22.43","10","2.99"
"7-5-2015 13:28:00","22.63","10","2.99"
"7-5-2015 13:27:40","22.56","10","2.99"
"7-5-2015 13:27:20","22.81","10","2.99"
"7-5-2015 13:27:00","23.36","10","2.99"
"7-5-2015 13:26:40","23.65","8","2.99"
"7-5-2015 13:26:20","23.15","11","4.99"
"7-5-2015 13:26:00","23.46","11","4.99"
"7-5-2015 13:25:40","23.21","11","4.99"
"7-5-2015 13:25:20","21.58","11","5.99"
"7-5-2015 13:25:00","21.85","8","5.99"
"7-5-2015 13:24:40","5.04","1","5.99"
"7-5-2015 14:29:40","0.06","1","0"
"7-5-2015 14:29:20","0.1","1","0"
"7-5-2015 14:29:00","0.13","0","0"
"7-5-2015 14:28:40","0.08","0","0.99"
"7-5-2015 14:28:20","0.06","1","0.99"
"7-5-2015 14:28:00","0.08","0","0.99"
"7-5-2015 14:27:40","0.07","1","0.99"
"7-5-2015 14:27:20","0.08","1","0.99"
"7-5-2015 14:27:00","0.08","0","0.99"
"7-5-2015 14:26:40","0.08","0","2.99"
"7-5-2015 14:26:20","0.07","1","2.99"
"7-5-2015 14:26:00","0.09","1","2.99"
"7-5-2015 14:25:40","0.07","0","2.99"
"7-5-2015 14:25:20","0.07","0","2.99"
"7-5-2015 14:25:00","0.1","0","2.99"
"7-5-2015 14:24:40","0.09","0","2.99"
"7-5-2015 14:24:20","3.3","2","2.99"
"7-5-2015 14:24:00","22.68","10","2.99"
"7-5-2015 14:23:40","22.13","10","2.99"
"7-5-2015 14:23:20","22.52","10","2.99"
"7-5-2015 14:23:00","22.79","10","2.99"
"7-5-2015 14:22:40","22.22","10","3.99"
"7-5-2015 14:22:20","22.4","9","3.99"
"7-5-2015 14:22:00","22.6","10","3.99"
"7-5-2015 14:21:40","22.34","10","1.99"
"7-5-2015 14:21:20","21.93","10","1.99"
"7-5-2015 14:21:00","22.68","10","1.99"
"7-5-2015 14:20:40","22.98","10","2.99"
"7-5-2015 14:20:20","19.49","6","2.99"
"7-5-2015 14:20:00","0.12","0","2.99"
"7-5-2015 14:19:40","0.07","0","2.99"
"7-5-2015 14:19:20","0.09","0","2.99"
"7-5-2015 14:19:00","10.4","6","2.99"
"7-5-2015 14:18:40","21.97","10","1.99"
"7-5-2015 14:18:20","21.55","10","1.99"
"7-5-2015 14:18:00","21.95","10","1.99"
"7-5-2015 14:17:40","21.94","10","2.99"
"7-5-2015 14:17:20","21.74","9","2.99"
"7-5-2015 14:17:00","22.07","10","2.99"
"7-5-2015 14:16:40","21.84","10","2.99"
"7-5-2015 14:16:20","21.31","10","2.99"
"7-5-2015 14:16:00","22.04","10","2.99"
"7-5-2015 14:15:40","23.04","10","2.99"
"7-5-2015 14:15:20","22.61","9","3.99"
"7-5-2015 14:15:00","11.74","3","3.99"
"7-5-2015 14:14:40","0.04","0","3.99"
"7-5-2015 14:14:20","0.09","0","4.99"
"7-5-2015 14:14:00","0.19","0","4.99"
"7-5-2015 14:13:40","15.72","8","4.99"
"7-5-2015 14:13:20","21","10","1.99"
"7-5-2015 14:13:00","21.25","10","1.99"
"7-5-2015 14:12:40","21.12","10","1.99"
