"TimeStamp","CPU","POWER","MEM"
"21-5-2015 10:30:00","0.69","10","2.99"
"21-5-2015 10:29:40","0.61","8","2.99"
"21-5-2015 10:29:20","0.61","10","2.99"
"21-5-2015 10:29:00","0.65","10","4.99"
"21-5-2015 10:28:40","0.57","9","4.99"
"21-5-2015 10:28:20","0.56","10","4.99"
"21-5-2015 10:28:00","0.55","10","2.99"
"21-5-2015 10:27:40","0.58","10","2.99"
"21-5-2015 10:27:20","0.6","10","2.99"
"21-5-2015 10:27:00","0.63","10","2.99"
"21-5-2015 10:26:40","0.63","10","2.99"
"21-5-2015 10:26:20","0.58","10","2.99"
"21-5-2015 10:26:00","0.61","11","2.99"
"21-5-2015 10:25:40","0.59","9","2.99"
"21-5-2015 10:25:20","0.61","10","2.99"
"21-5-2015 10:25:00","0.52","10","2.99"
"21-5-2015 10:24:40","0.65","10","2.99"
"21-5-2015 10:24:20","0.56","11","2.99"
"21-5-2015 10:24:00","0.62","9","1.99"
"21-5-2015 10:23:40","0.61","10","1.99"
"21-5-2015 10:23:20","0.68","10","1.99"
"21-5-2015 10:23:00","0.6","11","3.99"
"21-5-2015 10:22:40","0.64","10","3.99"
"21-5-2015 10:22:20","0.55","9","3.99"
"21-5-2015 10:22:00","0.62","10","1.99"
"21-5-2015 10:21:40","0.61","10","1.99"
"21-5-2015 10:21:20","0.61","10","1.99"
"21-5-2015 10:21:00","0.56","10","3.99"
"21-5-2015 10:20:40","0.61","10","3.99"
"21-5-2015 10:20:20","0.6","9","3.99"
"21-5-2015 10:20:00","0.64","11","2.99"
"21-5-2015 10:19:40","0.63","10","2.99"
"21-5-2015 10:19:20","0.63","8","2.99"
"21-5-2015 10:19:00","0.69","10","4.99"
"21-5-2015 10:18:40","0.71","10","4.99"
"21-5-2015 10:18:20","0.62","10","4.99"
"21-5-2015 10:18:00","0.59","10","1.99"
"21-5-2015 10:17:40","0.94","11","1.99"
"21-5-2015 10:17:20","0.88","11","1.99"
"21-5-2015 10:17:00","0.96","12","1.99"
"21-5-2015 10:16:40","0.87","11","1.99"
"21-5-2015 10:16:20","0.92","11","1.99"
"21-5-2015 10:16:00","0.99","12","2.99"
"21-5-2015 10:15:40","0.92","10","2.99"
"21-5-2015 10:15:20","0.86","11","2.99"
"21-5-2015 10:15:00","0.98","11","3.99"
"21-5-2015 10:14:40","0.91","11","3.99"
"21-5-2015 10:14:20","0.95","12","3.99"
"21-5-2015 10:14:00","0.94","8","4.99"
"21-5-2015 10:13:40","0.94","12","4.99"
"21-5-2015 10:13:20","0.88","10","4.99"
"21-5-2015 10:13:00","0.91","12","4.99"
"21-5-2015 10:12:40","0.92","12","4.99"
"21-5-2015 10:12:20","0.92","11","4.99"
"21-5-2015 10:12:00","0.94","12","5.99"
"21-5-2015 10:11:40","0.85","11","5.99"
"21-5-2015 10:11:20","0.91","10","5.99"
"21-5-2015 10:11:00","0.89","12","7.99"
"21-5-2015 10:10:40","0.96","11","7.99"
"21-5-2015 10:10:20","0.92","11","7.99"
"21-5-2015 10:55:00","0.65","10","1.99"
"21-5-2015 10:54:40","0.61","9","1.99"
"21-5-2015 10:54:20","0.59","9","1.99"
"21-5-2015 10:54:00","0.63","9","1.99"
"21-5-2015 10:53:40","0.59","10","1.99"
"21-5-2015 10:53:20","0.56","10","1.99"
"21-5-2015 10:53:00","0.65","10","4.99"
"21-5-2015 10:52:40","0.6","10","4.99"
"21-5-2015 10:52:20","0.54","10","4.99"
"21-5-2015 10:52:00","0.68","11","1.99"
"21-5-2015 10:51:40","0.58","9","1.99"
"21-5-2015 10:51:20","0.58","9","1.99"
"21-5-2015 10:51:00","0.63","10","1.99"
"21-5-2015 10:50:40","0.61","10","1.99"
"21-5-2015 10:50:20","0.56","11","1.99"
"21-5-2015 10:50:00","0.66","10","2.99"
"21-5-2015 10:49:40","0.66","9","2.99"
"21-5-2015 10:49:20","0.63","10","2.99"
"21-5-2015 10:49:00","0.73","11","3.99"
"21-5-2015 10:48:40","0.72","10","3.99"
"21-5-2015 10:48:20","0.51","9","3.99"
"21-5-2015 10:48:00","0.57","10","2.99"
"21-5-2015 10:47:40","0.59","9","2.99"
"21-5-2015 10:47:20","0.57","10","2.99"
"21-5-2015 10:47:00","0.55","11","2.99"
"21-5-2015 10:46:40","0.57","8","2.99"
"21-5-2015 10:46:20","0.52","10","2.99"
