"TimeStamp","CPU","POWER","MEM"
"21-5-2015 10:29:40","0.4","100","27.88"
"21-5-2015 10:29:20","1.92","100","27.87"
"21-5-2015 10:29:00","0.22","101","27.87"
"21-5-2015 10:28:40","0.14","100","27.87"
"21-5-2015 10:28:20","0.2","100","27.87"
"21-5-2015 10:28:00","0.58","100","27.87"
"21-5-2015 10:27:40","0.18","100","27.87"
"21-5-2015 10:27:20","0.1","100","27.87"
"21-5-2015 10:27:00","0.26","100","27.87"
"21-5-2015 10:26:40","0.08","100","27.87"
"21-5-2015 10:26:20","0.23","100","27.87"
"21-5-2015 10:26:00","0.05","100","27.87"
"21-5-2015 10:25:40","0.04","100","27.87"
"21-5-2015 10:25:20","0.17","100","27.87"
"21-5-2015 10:25:00","0.55","100","27.87"
"21-5-2015 10:24:40","0.14","102","27.87"
"21-5-2015 10:24:20","0.59","101","27.88"
"21-5-2015 10:24:00","0.41","101","27.87"
"21-5-2015 10:23:40","0.43","100","27.87"
"21-5-2015 10:23:20","0.24","100","27.87"
"21-5-2015 10:23:00","0.2","100","27.87"
"21-5-2015 10:22:40","0.08","100","27.87"
"21-5-2015 10:22:20","0.13","99","27.87"
"21-5-2015 10:22:00","0.09","100","27.87"
"21-5-2015 10:21:40","0.01","100","27.87"
"21-5-2015 10:21:20","0.05","100","27.87"
"21-5-2015 10:21:00","0.25","101","27.87"
"21-5-2015 10:20:40","0.2","100","27.87"
"21-5-2015 10:20:20","0.23","99","27.87"
"21-5-2015 10:20:00","0.25","100","27.87"
"21-5-2015 10:19:40","0.18","101","27.87"
"21-5-2015 10:19:20","0.15","101","27.87"
"21-5-2015 10:19:00","1.43","100","27.87"
"21-5-2015 10:18:40","0.19","100","27.87"
"21-5-2015 10:18:20","0.16","100","27.87"
"21-5-2015 10:18:00","0.16","100","27.87"
"21-5-2015 10:17:40","0.21","101","27.87"
"21-5-2015 10:17:20","0.12","100","27.87"
"21-5-2015 10:17:00","0.66","101","27.87"
"21-5-2015 10:16:40","1.25","101","27.87"
"21-5-2015 10:16:20","0.13","101","27.87"
"21-5-2015 10:16:00","0.57","101","27.87"
"21-5-2015 10:15:40","0.17","101","27.87"
"21-5-2015 10:15:20","0.28","100","27.87"
"21-5-2015 10:15:00","0.22","101","27.87"
"21-5-2015 10:14:40","0.21","101","27.87"
"21-5-2015 10:14:20","0.22","101","27.87"
"21-5-2015 10:14:00","0.15","101","27.87"
"21-5-2015 10:13:40","1.69","101","27.87"
"21-5-2015 10:13:20","0.23","101","27.87"
"21-5-2015 10:13:00","0.32","101","27.87"
"21-5-2015 10:12:40","0.29","101","27.87"
"21-5-2015 10:12:20","0.42","100","27.87"
"21-5-2015 10:12:00","0.08","101","27.87"
"21-5-2015 10:11:40","0.35","101","27.87"
"21-5-2015 10:11:20","0.53","101","27.87"
"21-5-2015 10:11:00","0.25","101","27.87"
"21-5-2015 10:10:40","0.4","101","27.87"
"21-5-2015 10:10:20","1.08","101","27.87"
"21-5-2015 10:10:00","0.55","101","27.87"
"21-5-2015 10:55:00","1.46","100","27.87"
"21-5-2015 10:54:40","0.65","99","27.92"
"21-5-2015 10:54:20","0.25","99","27.87"
