"TimeStamp","CPU","POWER","MEM"
"7-5-2015 12:08:20","0.6","11","28.99"
"7-5-2015 12:08:00","0.72","15","33.99"
"7-5-2015 12:07:40","10.67","32","33.99"
"7-5-2015 12:07:20","20.21","33","33.99"
"7-5-2015 12:07:00","21.85","34","33.99"
"7-5-2015 12:06:40","17.68","32","37.99"
"7-5-2015 12:06:20","21.87","32","37.99"
"7-5-2015 12:06:00","17.38","33","30.99"
"7-5-2015 12:05:40","20.9","33","30.99"
"7-5-2015 12:05:20","21.41","32","30.99"
"7-5-2015 12:05:00","23.41","34","31.99"
"7-5-2015 12:04:40","21.55","34","31.99"
"7-5-2015 12:04:20","21.7","37","31.99"
"7-5-2015 12:04:00","25.8","34","31.99"
"7-5-2015 12:03:40","18.4","33","36.99"
"7-5-2015 12:03:20","22.22","35","36.99"
"7-5-2015 12:03:00","23.42","34","36.99"
"7-5-2015 12:02:40","21.06","33","36.99"
"7-5-2015 12:02:20","20.11","34","36.99"
"7-5-2015 12:02:00","21.66","34","34.99"
"7-5-2015 12:01:40","24.14","36","34.99"
"7-5-2015 12:01:20","22.37","34","34.99"
"7-5-2015 12:01:00","21.04","33","32.99"
"7-5-2015 12:00:40","19.02","31","32.99"
"7-5-2015 12:00:20","20.52","35","32.99"
"7-5-2015 12:00:00","22.92","33","32.99"
"7-5-2015 11:59:40","21.61","37","34.99"
"7-5-2015 11:59:20","26.61","32","34.99"
"7-5-2015 11:59:00","17.99","32","35.99"
"7-5-2015 11:58:40","22.43","37","35.99"
"7-5-2015 11:58:20","25.75","33","35.99"
"7-5-2015 11:58:00","19.22","34","35.99"
"7-5-2015 11:57:40","24.69","38","38.99"
"7-5-2015 11:57:20","27.36","34","38.99"
"7-5-2015 11:57:00","20.33","37","42.99"
"7-5-2015 11:56:40","30.97","39","42.99"
"7-5-2015 11:56:20","27.47","34","42.99"
"7-5-2015 11:56:00","17.55","32","42.99"
"7-5-2015 11:55:40","22.54","35","46.99"
"7-5-2015 11:55:20","25.19","28","46.99"
"7-5-2015 11:55:00","19.88","36","56.99"
"7-5-2015 11:54:40","25.88","35","56.99"
"7-5-2015 11:54:20","22.41","40","56.99"
"7-5-2015 11:54:00","34.23","40","56.99"
"7-5-2015 11:53:40","31.79","43","81.99"
"7-5-2015 11:53:20","45.89","38","81.99"
"7-5-2015 11:53:00","23.16","22","84.99"
"7-5-2015 11:52:40","6.6","19","84.99"
"7-5-2015 11:52:20","6.03","19","84.99"
"7-5-2015 11:52:00","5.99","19","78.99"
"7-5-2015 11:51:40","5.95","19","78.99"
"7-5-2015 11:51:20","5.89","19","78.99"
"7-5-2015 11:51:00","5.92","18","78.99"
"7-5-2015 11:50:40","3.42","12","80.99"
"7-5-2015 11:50:20","0.61","12","80.99"
"7-5-2015 11:50:00","7.02","25","80.99"
"7-5-2015 11:49:40","10.64","24","70.99"
"7-5-2015 11:49:20","4.04","22","70.99"
"7-5-2015 11:49:00","4.07","24","70.99"
"7-5-2015 11:48:40","4.06","17","29.99"
"21-5-2015 10:04:00","0.99","9","29.99"
"21-5-2015 10:03:40","0.63","10","29.99"
"21-5-2015 10:03:20","0.66","10","29.99"
"21-5-2015 10:03:00","0.63","13","30.99"
"21-5-2015 10:02:40","10.02","30","30.99"
"21-5-2015 10:02:20","18.77","30","30.99"
"21-5-2015 10:02:00","17.99","35","33.99"
"21-5-2015 10:01:40","24.32","32","33.99"
"21-5-2015 10:01:20","17.65","32","33.99"
"21-5-2015 10:01:00","18.89","32","33.99"
"21-5-2015 10:00:40","19.17","34","32.99"
"21-5-2015 10:00:20","20.2","30","32.99"
"21-5-2015 10:00:00","18.56","32","32.99"
"21-5-2015 9:59:40","20.05","34","34.99"
"21-5-2015 9:59:20","23.12","34","34.99"
"21-5-2015 9:59:00","18.86","31","34.99"
"21-5-2015 9:58:40","16.48","33","34.99"
"21-5-2015 9:58:20","20.45","33","34.99"
"21-5-2015 9:58:00","19.85","33","34.99"
"21-5-2015 9:57:40","19.23","32","39.99"
"21-5-2015 9:57:20","17.94","31","39.99"
"21-5-2015 9:57:00","23.29","36","39.99"
"21-5-2015 9:56:40","25.64","34","36.99"
"21-5-2015 9:56:20","21.68","33","36.99"
