"TimeStamp","CPU","POWER","MEM"
"7-5-2015 12:08:20","0.63","102","27.82"
"7-5-2015 12:08:00","0.22","108","27.79"
"7-5-2015 12:07:40","0.2","118","27.79"
"7-5-2015 12:07:20","2.88","119","27.82"
"7-5-2015 12:07:00","1.87","120","27.8"
"7-5-2015 12:06:40","0.96","119","27.79"
"7-5-2015 12:06:20","5.32","119","27.82"
"7-5-2015 12:06:00","0.57","120","27.79"
"7-5-2015 12:05:40","5.03","119","27.79"
"7-5-2015 12:05:20","2.82","119","27.81"
"7-5-2015 12:05:00","2.6","121","27.79"
"7-5-2015 12:04:40","9.66","121","27.79"
"7-5-2015 12:04:20","0.65","124","27.82"
"7-5-2015 12:04:00","6.81","122","27.79"
"7-5-2015 12:03:40","4.98","120","27.79"
"7-5-2015 12:03:20","2.88","122","27.81"
"7-5-2015 12:03:00","3.6","120","27.79"
"7-5-2015 12:02:40","7.19","120","27.79"
"7-5-2015 12:02:20","7.1","121","27.81"
"7-5-2015 12:02:00","4.08","120","27.79"
"7-5-2015 12:01:40","0.58","124","27.79"
"7-5-2015 12:01:20","0.73","121","27.81"
"7-5-2015 12:01:00","3.91","120","27.79"
"7-5-2015 12:00:40","10.05","118","27.79"
"7-5-2015 12:00:20","6.17","122","27.81"
"7-5-2015 12:00:00","6.04","121","27.8"
"7-5-2015 11:59:40","8.81","123","27.8"
"7-5-2015 11:59:20","7.34","120","27.81"
"7-5-2015 11:59:00","2.51","121","27.79"
"7-5-2015 11:58:40","6.46","124","27.79"
"7-5-2015 11:58:20","20.47","121","27.81"
"7-5-2015 11:58:00","4.58","121","27.8"
"7-5-2015 11:57:40","0.81","125","27.79"
"7-5-2015 11:57:20","2.28","122","27.81"
"7-5-2015 11:57:00","11.41","123","27.8"
"7-5-2015 11:56:40","17.09","126","27.8"
"7-5-2015 11:56:20","3.42","121","27.81"
"7-5-2015 11:56:00","5.85","118","27.8"
"7-5-2015 11:55:40","3.69","124","27.79"
"7-5-2015 11:55:20","3.41","113","27.81"
"7-5-2015 11:55:00","9.16","123","27.8"
"7-5-2015 11:54:40","6.54","121","27.79"
"7-5-2015 11:54:20","14.58","127","27.81"
"7-5-2015 11:54:00","9.19","128","27.79"
