"Reads","TimeStamp","Writes"
"19","7-5-2015 9:52:00","0"
"64","7-5-2015 9:51:40","0"
"12","7-5-2015 9:51:20","0"
"20","7-5-2015 9:51:00","0"
"0","7-5-2015 9:50:40","0"
"380","7-5-2015 9:50:20","0"
"20","7-5-2015 9:50:00","0"
"0","7-5-2015 9:49:40","0"
"13","7-5-2015 9:49:20","0"
"32","7-5-2015 9:49:00","0"
"64","7-5-2015 9:48:40","0"
"83","7-5-2015 9:48:20","0"
"19","7-5-2015 9:48:00","0"
"0","7-5-2015 9:47:40","0"
"89","7-5-2015 9:47:20","0"
"20","7-5-2015 9:47:00","0"
"0","7-5-2015 9:46:40","0"
"76","7-5-2015 9:46:20","0"
"20","7-5-2015 9:46:00","0"
"63","7-5-2015 9:45:40","0"
"253","7-5-2015 9:45:20","0"
"19","7-5-2015 9:45:00","0"
"0","7-5-2015 9:44:40","0"
"83","7-5-2015 9:44:20","0"
"96","7-5-2015 9:44:00","0"
"0","7-5-2015 9:43:40","0"
"19","7-5-2015 9:43:20","0"
"20","7-5-2015 9:43:00","0"
"241","7-5-2015 9:42:40","0"
"83","7-5-2015 9:42:20","0"
"20","7-5-2015 9:42:00","0"
"0","7-5-2015 9:41:40","0"
"20","7-5-2015 9:41:20","0"
"83","7-5-2015 9:41:00","0"
"0","7-5-2015 9:40:40","0"
"316","7-5-2015 9:40:20","0"
"19","7-5-2015 9:40:00","0"
"64","7-5-2015 9:39:40","0"
"12","7-5-2015 9:39:20","0"
"32","7-5-2015 9:39:00","0"
"0","7-5-2015 9:38:40","0"
"83","7-5-2015 9:38:20","0"
"96","7-5-2015 9:38:00","0"
"1","7-5-2015 9:37:40","0"
"20","7-5-2015 9:37:20","0"
"19","7-5-2015 9:37:00","0"
"64","7-5-2015 9:36:40","0"
"77","7-5-2015 9:36:20","0"
"19","7-5-2015 9:36:00","0"
"0","7-5-2015 9:35:40","0"
"19","7-5-2015 9:35:20","0"
"316","7-5-2015 9:35:00","0"
"0","7-5-2015 9:34:40","0"
"76","7-5-2015 9:34:20","0"
"32","7-5-2015 9:34:00","0"
"64","7-5-2015 9:33:40","0"
"20","7-5-2015 9:33:20","0"
"19","7-5-2015 9:33:00","0"
"0","7-5-2015 9:32:40","0"
"89","7-5-2015 9:32:20","0"
"0","7-5-2015 9:52:00","20"
"0","7-5-2015 9:51:40","0"
"0","7-5-2015 9:51:20","14"
"0","7-5-2015 9:51:00","20"
"0","7-5-2015 9:50:40","0"
"0","7-5-2015 9:50:20","21"
"0","7-5-2015 9:50:00","21"
"0","7-5-2015 9:49:40","1"
"0","7-5-2015 9:49:20","14"
"0","7-5-2015 9:49:00","34"
"0","7-5-2015 9:48:40","0"
"0","7-5-2015 9:48:20","24"
"0","7-5-2015 9:48:00","20"
"0","7-5-2015 9:47:40","0"
"0","7-5-2015 9:47:20","27"
"0","7-5-2015 9:47:00","21"
"0","7-5-2015 9:46:40","0"
"0","7-5-2015 9:46:20","14"
"0","7-5-2015 9:46:00","21"
"0","7-5-2015 9:45:40","0"
"0","7-5-2015 9:45:20","21"
"0","7-5-2015 9:45:00","21"
"0","7-5-2015 9:44:40","2"
"0","7-5-2015 9:44:20","21"
"0","7-5-2015 9:44:00","42"
"0","7-5-2015 9:43:40","0"
"0","7-5-2015 9:43:20","22"
"0","7-5-2015 9:43:00","21"
"36","7-5-2015 9:42:40","1"
"0","7-5-2015 9:42:20","23"
"0","7-5-2015 9:42:00","21"
"0","7-5-2015 9:41:40","0"
"0","7-5-2015 9:41:20","21"
"0","7-5-2015 9:41:00","21"
"0","7-5-2015 9:40:40","0"
"0","7-5-2015 9:40:20","21"
"0","7-5-2015 9:40:00","21"
"0","7-5-2015 9:39:40","0"
"0","7-5-2015 9:39:20","15"
"0","7-5-2015 9:39:00","33"
"0","7-5-2015 9:38:40","1"
"0","7-5-2015 9:38:20","21"
"0","7-5-2015 9:38:00","34"
"1","7-5-2015 9:37:40","0"
"0","7-5-2015 9:37:20","21"
"0","7-5-2015 9:37:00","20"
"0","7-5-2015 9:36:40","0"
"0","7-5-2015 9:36:20","14"
"0","7-5-2015 9:36:00","20"
"0","7-5-2015 9:35:40","0"
"0","7-5-2015 9:35:20","20"
"0","7-5-2015 9:35:00","21"
"0","7-5-2015 9:34:40","0"
"0","7-5-2015 9:34:20","17"
"0","7-5-2015 9:34:00","34"
"0","7-5-2015 9:33:40","2"
"0","7-5-2015 9:33:20","21"
"0","7-5-2015 9:33:00","21"
"0","7-5-2015 9:32:40","0"
"0","7-5-2015 9:32:20","27"
"19","7-5-2015 9:52:00","21"
"65","7-5-2015 9:51:40","0"
"12","7-5-2015 9:51:20","15"
"20","7-5-2015 9:51:00","21"
"1","7-5-2015 9:50:40","0"
"380","7-5-2015 9:50:20","21"
"20","7-5-2015 9:50:00","21"
"0","7-5-2015 9:49:40","1"
"14","7-5-2015 9:49:20","15"
"32","7-5-2015 9:49:00","34"
"65","7-5-2015 9:48:40","1"
"84","7-5-2015 9:48:20","24"
"19","7-5-2015 9:48:00","20"
"1","7-5-2015 9:47:40","0"
"89","7-5-2015 9:47:20","27"
"20","7-5-2015 9:47:00","21"
"1","7-5-2015 9:46:40","0"
"76","7-5-2015 9:46:20","14"
"20","7-5-2015 9:46:00","21"
"63","7-5-2015 9:45:40","0"
"253","7-5-2015 9:45:20","22"
"19","7-5-2015 9:45:00","21"
"1","7-5-2015 9:44:40","2"
"84","7-5-2015 9:44:20","22"
"96","7-5-2015 9:44:00","42"
"1","7-5-2015 9:43:40","1"
"19","7-5-2015 9:43:20","22"
"20","7-5-2015 9:43:00","21"
"277","7-5-2015 9:42:40","1"
"83","7-5-2015 9:42:20","24"
"20","7-5-2015 9:42:00","21"
"0","7-5-2015 9:41:40","0"
"20","7-5-2015 9:41:20","21"
"83","7-5-2015 9:41:00","21"
"1","7-5-2015 9:40:40","0"
"317","7-5-2015 9:40:20","21"
"19","7-5-2015 9:40:00","21"
"65","7-5-2015 9:39:40","1"
"12","7-5-2015 9:39:20","15"
"33","7-5-2015 9:39:00","34"
"1","7-5-2015 9:38:40","1"
"83","7-5-2015 9:38:20","21"
"97","7-5-2015 9:38:00","35"
"3","7-5-2015 9:37:40","0"
"20","7-5-2015 9:37:20","21"
"19","7-5-2015 9:37:00","20"
"65","7-5-2015 9:36:40","0"
"78","7-5-2015 9:36:20","14"
"19","7-5-2015 9:36:00","20"
"1","7-5-2015 9:35:40","0"
"19","7-5-2015 9:35:20","21"
"317","7-5-2015 9:35:00","21"
"1","7-5-2015 9:34:40","0"
"76","7-5-2015 9:34:20","17"
"33","7-5-2015 9:34:00","34"
"64","7-5-2015 9:33:40","2"
"20","7-5-2015 9:33:20","21"
"19","7-5-2015 9:33:00","21"
"1","7-5-2015 9:32:40","0"
"89","7-5-2015 9:32:20","28"
"83","21-5-2015 11:20:20","0"
"19","21-5-2015 11:20:00","0"
"0","21-5-2015 11:19:40","0"
"76","21-5-2015 11:19:20","0"
"33","21-5-2015 11:19:00","0"
"64","21-5-2015 11:18:40","0"
"20","21-5-2015 11:18:20","0"
"20","21-5-2015 11:18:00","0"
"0","21-5-2015 11:17:40","0"
"154","21-5-2015 11:17:20","0"
"19","21-5-2015 11:17:00","0"
"0","21-5-2015 11:16:40","0"
"13","21-5-2015 11:16:20","0"
"19","21-5-2015 11:16:00","0"
"297","21-5-2015 11:15:40","0"
"83","21-5-2015 11:15:20","0"
"20","21-5-2015 11:15:00","0"
"0","21-5-2015 11:14:40","0"
"20","21-5-2015 11:14:20","0"
"1566","21-5-2015 11:14:00","0"
"0","21-5-2015 11:13:40","0"
"83","21-5-2015 11:13:20","0"
"19","21-5-2015 11:13:00","0"
"64","21-5-2015 11:12:40","0"
"20","21-5-2015 11:12:20","0"
"19","21-5-2015 11:12:00","0"
"0","21-5-2015 11:11:40","0"
"83","21-5-2015 11:11:20","0"
"83","21-5-2015 11:11:00","0"
"233","21-5-2015 11:10:40","0"
"20","21-5-2015 11:10:20","0"
"20","21-5-2015 11:10:00","0"
"64","21-5-2015 11:09:40","0"
"77","21-5-2015 11:09:20","0"
"38","21-5-2015 11:09:00","0"
"2","21-5-2015 11:08:40","0"
"20","21-5-2015 11:08:20","0"
"83","21-5-2015 11:08:00","0"
"0","21-5-2015 11:07:40","0"
"83","21-5-2015 11:07:20","0"
"20","21-5-2015 11:07:00","0"
"63","21-5-2015 11:06:40","0"
"13","21-5-2015 11:06:20","0"
"20","21-5-2015 11:06:00","0"
"0","21-5-2015 11:05:40","0"
"313","21-5-2015 11:05:20","0"
"83","21-5-2015 11:05:00","0"
"0","21-5-2015 11:04:40","0"
"13","21-5-2015 11:04:20","0"
"32","21-5-2015 11:04:00","0"
"64","21-5-2015 11:03:40","0"
"83","21-5-2015 11:03:20","0"
"1033","21-5-2015 11:03:00","0"
"6100","21-5-2015 11:02:40","0"
"13752","21-5-2015 11:02:20","0"
"7064","21-5-2015 11:02:00","0"
"3339","21-5-2015 11:01:40","0"
"3249","21-5-2015 11:01:20","0"
"4260","21-5-2015 11:01:00","0"
"8041","21-5-2015 11:00:40","0"
"0","21-5-2015 11:20:20","20"
"0","21-5-2015 11:20:00","21"
"0","21-5-2015 11:19:40","1"
"0","21-5-2015 11:19:20","13"
"0","21-5-2015 11:19:00","35"
"0","21-5-2015 11:18:40","1"
"0","21-5-2015 11:18:20","22"
"0","21-5-2015 11:18:00","22"
"0","21-5-2015 11:17:40","0"
"0","21-5-2015 11:17:20","27"
"0","21-5-2015 11:17:00","21"
"0","21-5-2015 11:16:40","0"
"0","21-5-2015 11:16:20","13"
"0","21-5-2015 11:16:00","20"
"0","21-5-2015 11:15:40","1"
"0","21-5-2015 11:15:20","23"
"0","21-5-2015 11:15:00","21"
"0","21-5-2015 11:14:40","73"
"0","21-5-2015 11:14:20","21"
"36","21-5-2015 11:14:00","108"
"0","21-5-2015 11:13:40","0"
"0","21-5-2015 11:13:20","21"
"0","21-5-2015 11:13:00","21"
"0","21-5-2015 11:12:40","1"
"0","21-5-2015 11:12:20","20"
"0","21-5-2015 11:12:00","21"
"0","21-5-2015 11:11:40","0"
"0","21-5-2015 11:11:20","20"
"0","21-5-2015 11:11:00","21"
"0","21-5-2015 11:10:40","0"
"0","21-5-2015 11:10:20","20"
"0","21-5-2015 11:10:00","21"
"0","21-5-2015 11:09:40","1"
"0","21-5-2015 11:09:20","14"
"0","21-5-2015 11:09:00","45"
"2","21-5-2015 11:08:40","1"
"0","21-5-2015 11:08:20","22"
"0","21-5-2015 11:08:00","20"
"0","21-5-2015 11:07:40","0"
"0","21-5-2015 11:07:20","20"
"0","21-5-2015 11:07:00","21"
"0","21-5-2015 11:06:40","0"
