"TimeStamp","CPU","POWER","MEM"
"7-5-2015 9:52:00","0.03","1","0.99"
"7-5-2015 9:51:40","0.05","1","0.99"
"7-5-2015 9:51:20","0.05","1","0"
"7-5-2015 9:51:00","0.05","1","0"
"7-5-2015 9:50:40","0.06","2","0"
"7-5-2015 9:50:20","0.06","1","0"
"7-5-2015 9:50:00","0.06","2","0"
"7-5-2015 9:49:40","0.06","2","0"
"7-5-2015 9:49:20","0.05","1","0"
"7-5-2015 9:49:00","0.05","2","0"
"7-5-2015 9:48:40","0.07","1","0"
"7-5-2015 9:48:20","0.05","1","0"
"7-5-2015 9:48:00","0.04","1","0"
"7-5-2015 9:47:40","0.07","2","0"
"7-5-2015 9:47:20","0.05","1","0.99"
"7-5-2015 9:47:00","0.05","1","0.99"
"7-5-2015 9:46:40","0.04","1","0.99"
"7-5-2015 9:46:20","0.05","1","1.99"
"7-5-2015 9:46:00","0.05","1","1.99"
"7-5-2015 9:45:40","0.04","1","1.99"
"7-5-2015 9:45:20","0.07","2","1.99"
"7-5-2015 9:45:00","0.05","1","1.99"
"7-5-2015 9:44:40","0.06","2","1.99"
"7-5-2015 9:44:20","0.05","1","0"
"7-5-2015 9:44:00","0.08","1","0"
"7-5-2015 9:43:40","0.06","1","0"
"7-5-2015 9:43:20","0.03","1","0"
"7-5-2015 9:43:00","0.07","2","0"
"7-5-2015 9:42:40","0.04","1","0"
"7-5-2015 9:42:20","0.06","1","0"
"7-5-2015 9:42:00","0.04","1","0"
"7-5-2015 9:41:40","0.07","1","0"
"7-5-2015 9:41:20","0.05","2","0"
"7-5-2015 9:41:00","0.06","2","0"
"7-5-2015 9:40:40","0.09","1","0"
"7-5-2015 9:40:20","0.06","1","0.99"
"7-5-2015 9:40:00","0.08","2","0.99"
"7-5-2015 9:39:40","0.05","2","0.99"
"7-5-2015 9:39:20","0.05","1","1.99"
"7-5-2015 9:39:00","0.07","2","1.99"
"7-5-2015 9:38:40","0.06","1","1.99"
"7-5-2015 9:38:20","0.06","2","2.99"
"7-5-2015 9:38:00","0.05","1","2.99"
"7-5-2015 9:37:40","0.06","2","2.99"
"7-5-2015 9:37:20","0.07","2","4.99"
"7-5-2015 9:37:00","0.04","1","4.99"
"7-5-2015 9:36:40","0.05","1","4.99"
"7-5-2015 9:36:20","0.08","2","6.99"
"7-5-2015 9:36:00","0.04","2","6.99"
"7-5-2015 9:35:40","0.09","2","6.99"
"7-5-2015 9:35:20","0.06","2","9.99"
"7-5-2015 9:35:00","0.06","2","9.99"
"7-5-2015 9:34:40","0.08","2","9.99"
"7-5-2015 9:34:20","0.04","1","13.99"
"7-5-2015 9:34:00","0.06","2","13.99"
"7-5-2015 9:33:40","0.07","2","13.99"
"7-5-2015 9:33:20","0.12","2","18.99"
"7-5-2015 9:33:00","0.14","3","18.99"
"7-5-2015 9:32:40","0.4","4","18.99"
"7-5-2015 9:32:20","0.38","4","25"
"21-5-2015 11:20:20","0.03","1","0"
"21-5-2015 11:20:00","0.04","1","0"
"21-5-2015 11:19:40","0.06","1","0"
"21-5-2015 11:19:20","0.05","1","0"
"21-5-2015 11:19:00","0.05","1","0"
"21-5-2015 11:18:40","0.05","1","0"
"21-5-2015 11:18:20","0.06","1","0"
"21-5-2015 11:18:00","0.06","1","2.99"
"21-5-2015 11:17:40","0.05","1","2.99"
"21-5-2015 11:17:20","0.04","1","2.99"
"21-5-2015 11:17:00","0.06","2","2.99"
"21-5-2015 11:16:40","0.06","1","2.99"
"21-5-2015 11:16:20","0.05","2","2.99"
"21-5-2015 11:16:00","0.05","1","0.99"
"21-5-2015 11:15:40","0.08","1","0.99"
"21-5-2015 11:15:20","0.06","1","1.99"
"21-5-2015 11:15:00","0.06","1","1.99"
"21-5-2015 11:14:40","0.07","2","1.99"
"21-5-2015 11:14:20","0.07","2","1.99"
"21-5-2015 11:14:00","0.54","2","1.99"
"21-5-2015 11:13:40","0.07","1","1.99"
"21-5-2015 11:13:20","0.05","1","2.99"
"21-5-2015 11:13:00","0.07","1","2.99"
"21-5-2015 11:12:40","0.08","1","2.99"
"21-5-2015 11:12:20","0.06","2","2.99"
"21-5-2015 11:12:00","0.05","1","4.99"
