"Reads","TimeStamp","Writes"
"252","7-5-2015 15:24:20","0"
"34","7-5-2015 15:24:00","0"
"0","7-5-2015 15:23:40","0"
"87","7-5-2015 15:23:20","0"
"98","7-5-2015 15:23:00","0"
"9","7-5-2015 15:22:40","0"
"31","7-5-2015 15:22:20","0"
"98","7-5-2015 15:22:00","0"
"16","7-5-2015 15:21:40","0"
"25","7-5-2015 15:21:20","0"
"99","7-5-2015 15:21:00","0"
"19","7-5-2015 15:20:40","0"
"112","7-5-2015 15:20:20","0"
"40","7-5-2015 15:20:00","0"
"24","7-5-2015 15:19:40","0"
"43","7-5-2015 15:19:20","0"
"353","7-5-2015 15:19:00","0"
"90","7-5-2015 15:18:40","0"
"41","7-5-2015 15:18:20","0"
"42","7-5-2015 15:18:00","0"
"27","7-5-2015 15:17:40","0"
"112","7-5-2015 15:17:20","0"
"107","7-5-2015 15:17:00","0"
"24","7-5-2015 15:16:40","0"
"43","7-5-2015 15:16:20","0"
"44","7-5-2015 15:16:00","0"
"86","7-5-2015 15:15:40","0"
"32","7-5-2015 15:15:20","0"
"108","7-5-2015 15:15:00","0"
"23","7-5-2015 15:14:40","0"
"108","7-5-2015 15:14:20","0"
"560","7-5-2015 15:14:00","0"
"31","7-5-2015 15:13:40","0"
"50","7-5-2015 15:13:20","0"
"285","7-5-2015 15:13:00","0"
"89","7-5-2015 15:12:40","0"
"55","7-5-2015 15:12:20","0"
"44","7-5-2015 15:12:00","0"
"27","7-5-2015 15:11:40","0"
"95","7-5-2015 15:11:20","0"
"107","7-5-2015 15:11:00","0"
"24","7-5-2015 15:10:40","0"
"29","7-5-2015 15:10:20","0"
"32","7-5-2015 15:10:00","0"
"77","7-5-2015 15:09:40","0"
"0","7-5-2015 15:24:20","175"
"0","7-5-2015 15:24:00","143"
"0","7-5-2015 15:23:40","426"
"0","7-5-2015 15:23:20","894"
"0","7-5-2015 15:23:00","798"
"0","7-5-2015 15:22:40","1157"
"0","7-5-2015 15:22:20","1409"
"0","7-5-2015 15:22:00","1005"
"0","7-5-2015 15:21:40","1363"
"0","7-5-2015 15:21:20","1390"
"0","7-5-2015 15:21:00","1845"
"0","7-5-2015 15:20:40","1822"
"0","7-5-2015 15:20:20","1787"
"0","7-5-2015 15:20:00","2099"
"0","7-5-2015 15:19:40","1945"
"0","7-5-2015 15:19:20","2149"
"0","7-5-2015 15:19:00","1897"
"0","7-5-2015 15:18:40","1625"
"0","7-5-2015 15:18:20","1989"
"0","7-5-2015 15:18:00","1874"
