"TimeStamp","CPU","POWER","MEM"
"7-5-2015 15:24:20","0.46","3","15.99"
"7-5-2015 15:24:00","1.02","2","16.99"
"7-5-2015 15:23:40","0.37","3","16.99"
"7-5-2015 15:23:20","1.09","3","16.99"
"7-5-2015 15:23:00","2.29","3","17.99"
"7-5-2015 15:22:40","3.17","4","17.99"
"7-5-2015 15:22:20","3.7","4","17.99"
"7-5-2015 15:22:00","4.18","4","18.99"
"7-5-2015 15:21:40","4.75","5","18.99"
"7-5-2015 15:21:20","5.23","5","18.99"
"7-5-2015 15:21:00","5.93","5","18.99"
"7-5-2015 15:20:40","6.08","5","18.99"
"7-5-2015 15:20:20","7.03","6","18.99"
"7-5-2015 15:20:00","6.7","5","20.99"
"7-5-2015 15:19:40","7.69","6","20.99"
"7-5-2015 15:19:20","7.54","5","20.99"
"7-5-2015 15:19:00","7.26","6","23.99"
"7-5-2015 15:18:40","7.78","6","23.99"
"7-5-2015 15:18:20","7.8","6","23.99"
"7-5-2015 15:18:00","7.3","6","25"
"7-5-2015 15:17:40","7.78","6","25"
"7-5-2015 15:17:20","8.31","6","25"
"7-5-2015 15:17:00","8.46","6","27.99"
"7-5-2015 15:16:40","7.52","6","27.99"
"7-5-2015 15:16:20","8.15","6","27.99"
"7-5-2015 15:16:00","7.89","6","31.99"
"7-5-2015 15:15:40","7.37","6","31.99"
"7-5-2015 15:15:20","8.08","7","31.99"
"7-5-2015 15:15:00","8.73","6","37.99"
"7-5-2015 15:14:40","8.89","6","37.99"
"7-5-2015 15:14:20","8.77","7","37.99"
"7-5-2015 15:14:00","9.43","6","44.99"
"7-5-2015 15:13:40","8.95","6","44.99"
"7-5-2015 15:13:20","9.57","6","44.99"
"7-5-2015 15:13:00","10.11","6","64.99"
"7-5-2015 15:12:40","10.51","7","64.99"
"7-5-2015 15:12:20","10.55","7","64.99"
"7-5-2015 15:12:00","10.49","7","79.99"
"7-5-2015 15:11:40","12.33","6","79.99"
"7-5-2015 15:11:20","6.18","2","79.99"
"7-5-2015 15:11:00","0.32","2","73.99"
"7-5-2015 15:10:40","4.42","6","73.99"
"7-5-2015 15:10:20","9.55","6","73.99"
"7-5-2015 15:10:00","6.32","5","68.99"
"7-5-2015 15:09:40","3.79","3","68.99"
"7-5-2015 10:31:40","0.16","1","13.99"
"7-5-2015 10:31:20","0.19","1","13.99"
"7-5-2015 10:31:00","0.41","2","13.99"
"7-5-2015 10:30:40","0.72","3","13.99"
"7-5-2015 10:30:20","1.56","3","17.99"
"7-5-2015 10:30:00","1.99","3","17.99"
"7-5-2015 10:29:40","2.7","3","17.99"
"7-5-2015 10:29:20","2.83","3","12.99"
"7-5-2015 10:29:00","3.38","3","12.99"
"7-5-2015 10:28:40","3.39","4","12.99"
"7-5-2015 10:28:20","4.15","4","13.99"
"7-5-2015 10:28:00","4.43","4","13.99"
"7-5-2015 10:27:40","4.91","4","13.99"
"7-5-2015 10:27:20","5.34","5","16.99"
"7-5-2015 10:27:00","5.84","5","16.99"
"7-5-2015 10:26:40","6.28","5","16.99"
"7-5-2015 10:26:20","6.22","5","19.99"
"7-5-2015 10:26:00","6.38","5","19.99"
"7-5-2015 10:25:40","6.85","5","19.99"
"7-5-2015 10:25:20","6.89","5","21.99"
"7-5-2015 10:25:00","6.59","5","21.99"
"7-5-2015 10:24:40","7.33","5","21.99"
"7-5-2015 10:24:20","7.11","5","25"
"7-5-2015 10:24:00","6.77","5","25"
"7-5-2015 10:23:40","6.82","5","25"
"7-5-2015 10:23:20","7.43","5","27.99"
"7-5-2015 10:23:00","7.4","5","27.99"
"7-5-2015 10:22:40","7.69","5","27.99"
"7-5-2015 10:22:20","7.45","5","31.99"
"7-5-2015 10:22:00","7.83","5","31.99"
"7-5-2015 10:21:40","7.65","6","31.99"
"7-5-2015 10:21:20","8.01","6","36.99"
"7-5-2015 10:21:00","7.51","6","36.99"
"7-5-2015 10:20:40","7.45","6","36.99"
"7-5-2015 10:20:20","8.32","5","45.99"
"7-5-2015 10:20:00","7.79","6","45.99"
"7-5-2015 10:19:40","8.53","5","45.99"
"7-5-2015 10:19:20","8.49","5","67.99"
"7-5-2015 10:19:00","8.95","5","67.99"
"7-5-2015 10:18:40","8.71","6","67.99"
"7-5-2015 10:18:20","7.2","5","70.99"
"7-5-2015 10:18:00","6.31","4","70.99"
"7-5-2015 10:17:40","5.74","5","65.99"
"7-5-2015 10:17:20","5.61","5","65.99"
"7-5-2015 10:17:00","6.8","5","65.99"
