"TimeStamp","POWER"
"7-5-2015 15:24:20","11.0"
"7-5-2015 15:24:00","11.0"
"7-5-2015 15:23:40","10.0"
"7-5-2015 15:23:20","18.0"
"7-5-2015 15:23:00","20.0"
"7-5-2015 15:22:40","25.0"
"7-5-2015 15:22:20","25.0"
"7-5-2015 15:22:00","27.0"
"7-5-2015 15:21:40","28.0"
"7-5-2015 15:21:20","31.0"
"7-5-2015 15:21:00","30.0"
"7-5-2015 15:20:40","34.0"
"7-5-2015 15:20:20","34.0"
"7-5-2015 15:20:00","33.0"
"7-5-2015 15:19:40","36.0"
"7-5-2015 15:19:20","34.0"
"7-5-2015 15:19:00","35.0"
"7-5-2015 15:18:40","36.0"
"7-5-2015 15:18:20","36.0"
"7-5-2015 15:18:00","35.0"
"7-5-2015 15:17:40","35.0"
"7-5-2015 15:17:20","37.0"
"7-5-2015 15:17:00","36.0"
"7-5-2015 15:16:40","35.0"
"7-5-2015 15:16:20","36.0"
"7-5-2015 15:16:00","36.0"
"7-5-2015 15:15:40","35.0"
"7-5-2015 15:15:20","38.0"
"7-5-2015 15:15:00","36.0"
"7-5-2015 15:14:40","35.0"
"7-5-2015 15:14:20","39.0"
"7-5-2015 15:14:00","36.0"
"7-5-2015 15:13:40","36.0"
"7-5-2015 15:13:20","36.0"
"7-5-2015 15:13:00","31.0"
"7-5-2015 15:12:40","41.0"
"7-5-2015 15:12:20","41.0"
"7-5-2015 15:12:00","41.0"
"7-5-2015 15:11:40","36.0"
"7-5-2015 15:11:20","11.0"
"7-5-2015 15:11:00","14.0"
"7-5-2015 15:10:40","34.0"
"7-5-2015 15:10:20","32.0"
"7-5-2015 15:10:00","28.0"
"7-5-2015 15:09:40","23.0"
"7-5-2015 10:31:40","4.0"
"7-5-2015 10:31:20","6.0"
"7-5-2015 10:31:00","8.0"
"7-5-2015 10:30:40","14.0"
"7-5-2015 10:30:20","17.0"
"7-5-2015 10:30:00","19.0"
"7-5-2015 10:29:40","21.0"
"7-5-2015 10:29:20","24.0"
"7-5-2015 10:29:00","23.0"
"7-5-2015 10:28:40","25.0"
"7-5-2015 10:28:20","27.0"
"7-5-2015 10:28:00","27.0"
"7-5-2015 10:27:40","29.0"
"7-5-2015 10:27:20","31.0"
"7-5-2015 10:27:00","32.0"
"7-5-2015 10:26:40","34.0"
"7-5-2015 10:26:20","32.0"
"7-5-2015 10:26:00","33.0"
"7-5-2015 10:25:40","34.0"
"7-5-2015 10:25:20","34.0"
"7-5-2015 10:25:00","34.0"
"7-5-2015 10:24:40","33.0"
"7-5-2015 10:24:20","32.0"
"7-5-2015 10:24:00","34.0"
"7-5-2015 10:23:40","34.0"
"7-5-2015 10:23:20","33.0"
"7-5-2015 10:23:00","34.0"
"7-5-2015 10:22:40","33.0"
"7-5-2015 10:22:20","34.0"
"7-5-2015 10:22:00","33.0"
"7-5-2015 10:21:40","35.0"
"7-5-2015 10:21:20","35.0"
"7-5-2015 10:21:00","35.0"
"7-5-2015 10:20:40","36.0"
"7-5-2015 10:20:20","33.0"
"7-5-2015 10:20:00","36.0"
"7-5-2015 10:19:40","35.0"
"7-5-2015 10:19:20","35.0"
"7-5-2015 10:19:00","36.0"
"7-5-2015 10:18:40","36.0"
"7-5-2015 10:18:20","35.0"
"7-5-2015 10:18:00","31.0"
"7-5-2015 10:17:40","33.0"
"7-5-2015 10:17:20","33.0"
"7-5-2015 10:17:00","32.0"
