"TimeStamp","CPU","POWER","MEM"
"21-5-2015 13:27:40","0.07","94","5.47"
"21-5-2015 13:27:20","0.2","94","5.5"
"21-5-2015 13:27:00","0.15","93","5.47"
"21-5-2015 13:26:40","0.2","94","5.47"
"21-5-2015 13:26:20","0.37","94","5.5"
"21-5-2015 13:26:00","0.03","94","5.47"
"21-5-2015 13:25:40","0.05","94","5.47"
"21-5-2015 13:25:20","0.18","94","5.52"
"21-5-2015 13:25:00","0.03","94","5.47"
"21-5-2015 13:24:40","0.02","95","5.47"
"21-5-2015 13:24:20","0.27","94","5.5"
"21-5-2015 13:24:00","0.04","94","5.47"
"21-5-2015 13:23:40","0.04","95","5.47"
"21-5-2015 13:23:20","0.36","94","5.49"
"21-5-2015 13:23:00","0.15","94","5.47"
"21-5-2015 13:22:40","0.13","94","5.47"
"21-5-2015 13:22:20","0.28","94","5.49"
"21-5-2015 13:22:00","0.27","94","5.47"
"21-5-2015 13:21:40","0.06","94","5.47"
"21-5-2015 13:21:20","0.06","94","5.49"
"21-5-2015 13:21:00","0.08","94","5.47"
"21-5-2015 13:20:40","0.05","94","5.47"
"21-5-2015 13:20:20","0.31","94","5.49"
"21-5-2015 13:20:00","0.13","93","5.47"
"21-5-2015 13:19:40","0.06","93","5.47"
"21-5-2015 13:19:20","0.39","95","5.49"
"21-5-2015 13:19:00","1.14","93","5.48"
"21-5-2015 13:18:40","0.18","94","5.47"
"21-5-2015 13:18:20","0.18","94","5.49"
"21-5-2015 13:18:00","0.18","94","5.47"
"21-5-2015 13:17:40","0.22","94","5.47"
"21-5-2015 13:17:20","0.66","94","5.49"
"21-5-2015 13:17:00","1.04","94","5.47"
"21-5-2015 13:16:40","0.26","94","5.47"
"21-5-2015 13:16:20","0.37","94","5.49"
"21-5-2015 13:16:00","0.19","94","5.47"
"21-5-2015 13:15:40","0.21","94","5.48"
"21-5-2015 13:15:20","0.18","94","5.49"
"21-5-2015 13:15:00","0.04","94","5.47"
"21-5-2015 13:14:40","0.06","94","5.47"
"21-5-2015 13:14:20","0.27","95","5.49"
"21-5-2015 13:14:00","0.25","94","5.48"
"21-5-2015 13:13:40","0.11","94","5.47"
"21-5-2015 13:13:20","0.08","94","5.48"
"21-5-2015 13:13:00","0.02","94","5.47"
"21-5-2015 13:12:40","0.14","94","5.47"
"21-5-2015 13:12:20","0.12","94","5.48"
"21-5-2015 13:12:00","0.05","94","5.47"
"21-5-2015 13:11:40","0.09","94","5.47"
"21-5-2015 13:11:20","0.09","94","5.48"
"21-5-2015 13:11:00","0.03","94","5.47"
"21-5-2015 13:10:40","0.06","94","5.47"
"21-5-2015 13:10:20","0.08","94","5.48"
"21-5-2015 13:10:00","0.07","94","5.47"
"21-5-2015 13:09:40","0.16","93","5.47"
"21-5-2015 13:09:20","0.06","94","5.48"
"21-5-2015 13:09:00","0.14","96","5.47"
"21-5-2015 13:08:40","0.33","94","5.47"
"21-5-2015 13:08:20","0.05","94","5.48"
"21-5-2015 13:08:00","0.01","94","5.47"
